,,,"Nov. 8, 2007",
New Hampshire Department of Education,,,,
Bureau of Data Management,,,,
FY09 Adequate Education Aid Summary,,,,
Towns in Split Cooperatives,,,,
,,,,
Note: Budgeting information for towns that are part of two school districts.,,,,
,,,,
,FY2009,$2.14 ,Grant,
,Total ,Retained,and,
District/Town,Grant,State Tax, State Tax,
,,,,
Amherst Sch District                     ,"2,343,192","2,524,325","4,867,517",
Ashland Sch District                      ,"401,909","334,684","736,593",
Bethlehem  Sch District                      ,"543,262","252,875","796,137",
Brentwood Sch District                      ,"738,957","516,435","1,255,392",
Brookline  Sch District    ,"2,092,054","637,161","2,729,215",
Campton Sch District                    ,"1,003,284","588,904","1,592,188",
Dresden (Hanover),0,"2,033,423","2,033,423",
East Kingston Sch District          ,"213,582","288,858","502,440",
,,,,
Exeter Reg Coop (Brentwood),"878,621","596,756","1,475,377",
Exeter Reg Coop (East Kingston),"312,648","407,028","719,676",
Exeter Reg Coop (Exeter),"2,073,344","2,165,028","4,238,372",
Exeter Reg Coop (Kensington),"234,357","396,977","631,334",
Exeter Reg Coop (Newfields),"305,712","288,294","594,006",
Exeter Regional Coop (Stratham),"701,293","1,431,419","2,132,712",
,"4,505,975","5,285,502","9,791,477",
,,,,
Exeter  Sch District                 ,"1,513,812","1,634,224","3,148,036",
Hampton Sch District    ,0,"4,611,005","4,611,005",
Hampton Falls Elem                ,"90,581","686,259","776,840",
Hanover Sch District                          ,0,"2,008,186","2,008,186",
Henniker Sch District               ,"1,625,326","593,764","2,219,090",
Holderness Sch District               ,0,"1,127,203","1,127,203",
Hollis Sch District               ,"945,359","1,490,792","2,436,151",
,,,,
Hollis/Brookline Coop (Brookline),"1,826,057","551,815","2,377,872",
Hollis/Brookline Coop (Hollis),"829,512","1,430,703","2,260,215",
,"2,655,569","1,982,518","4,638,087",
,,,,
John Stark Reg (Henniker),"907,958","354,736","1,262,694",
John Stark Reg (Weare),"2,658,703","647,932","3,306,635",
,"3,566,661","1,002,668","4,569,329",
,,,,
Kensington Sch District               ,"166,759","385,010","551,769",
,,,,
Easton (Lafayette Sch District)                       ,0,"81,413","81,413",
Franconia (Lafayette Sch District),0,"290,230","290,230",
Sugar Hill (Lafayette Sch District),0,"133,816","133,816",
,0,"505,459","505,459",
,,,,
Lyndeborough Sch District    ,"204,063","168,409","372,472",
Mont Vernon Sch District    ,"979,693","396,658","1,376,351",
Newfields Sch District    ,"286,789","275,794","562,583",
North Hampton Sch District    ,0,"1,720,327","1,720,327",
,,,,
Pemi-Baker Coop (Ashland),"248,065","191,010","439,075",
Pemi-Baker Coop (Campton),"471,533","334,132","805,665",
Pemi-Baker Coop (Holderness),0,"451,278","451,278",
Pemi-Baker Coop (Plymouth),"1,160,836","325,939","1,486,775",
Pemi-Baker Coop (Rumney),"304,664","164,230","468,894",
Pemi-Baker Coop (Thornton),"124,656","308,119","432,775",
Pemi-Baker Coop (Wentworth),"233,607","80,017","313,624",
,"2,543,361","1,854,725","4,398,086",
,,,,
Plymouth Sch District                     ,"2,147,658","561,487","2,709,145",
,,,,
Profile Reg (Bethlehem),"716,224","322,066","1,038,290",
Profile Reg (Easton),0,"66,770","66,770",
Profile Regional (Franconia),0,"328,326","328,326",
Profile Regional (Sugar Hill),0,"149,560","149,560",
,"716,224","866,722","1,582,946",
,,,,
Rumney Sch District    ,"486,221","259,099","745,320",
Seabrook Sch District    ,"804,277","2,099,223","2,903,500",
,,,,
Souhegan Coop (Amherst),"1,297,818","1,425,475","2,723,293",
Souhegan Coop (Mont Vernon),"527,286","223,136","750,422",
,"1,825,104","1,648,611","3,473,715",
,,,,
Stratham Sch District    ,"576,958","1,129,230","1,706,188",
Thornton Sch District    ,"312,601","502,196","814,797",
Weare Sch District    ,"5,065,459","1,228,603","6,294,062",
Wentworth Sch District    ,"401,541","119,871","521,412",
Wilton Sch District    ,"528,253","517,642","1,045,895",
,,,,
Wilton-Lyndeboro (Lyndeboro),"203,748","232,344","436,092",
Wilton-Lyndeboro (Wilton),"541,710","463,506","1,005,216",
,"745,458","695,850","1,441,308",
,,,,
Winnacunnet Coop (Hampton),0,"2,122,833","2,122,833",
Winnacunnet (Hampton Falls),"34,908","291,464","326,372",
Winnacunnet Coop (North Hamp),0,"830,570","830,570",
Winnacunnet Coop (Seabrook),"330,432","966,067","1,296,499",
,"365,340","4,210,934","4,576,274",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
