,,,,"Sept. 10, 2009",,,,,
,New Hampshire Department of Education,,,,,,,,
,Bureau of Data Management,,,,,,,,
,FY10 Adequate Education Aid Summary,,,,,,,,
,Towns in Split Cooperatives,,,,,,,,
,,,,,,,,,
,Note: Budgeting information for towns that are part of two school districts.,,,,,,,,
,,,,,,,,,
,,FY2009,$2.14 ,Grant,,,,,
,,Total ,Retained,and,,,,,
,District/Town,Grant,State Tax, State Tax,,,,,
,,,,,,,,,
,Amherst School District                     ,"$2,658,717 ","$2,506,753 ","$5,165,470 ",,,,,
,Ashland School District                      ,"$480,983 ","$331,307 ","$812,290 ",,,,,
,Bethlehem  School District                      ,"$753,361 ","$315,888 ","$1,069,249 ",,,,,
,Brentwood School District                      ,"$824,663 ","$499,284 ","$1,323,947 ",,,,,
,Brookline  School District    ,"$2,059,648 ","$611,333 ","$2,670,981 ",,,,,
,Campton School District                    ,"$995,663 ","$643,446 ","$1,639,109 ",,,,,
,Dresden (Hanover),$0 ,"$2,130,213 ","$2,130,213 ",,,,,
,East Kingston School District          ,"$252,921 ","$286,976 ","$539,897 ",,,,,
,,,,,,,,,
,Exeter Reg Coop (Brentwood),"$1,015,167 ","$596,088 ","$1,611,255 ",,,,,
,Exeter Reg Coop (East Kingston),"$352,244 ","$390,551 ","$742,795 ",,,,,
,Exeter Reg Coop (Exeter),"$1,872,438 ","$2,113,386 ","$3,985,824 ",,,,,
,Exeter Reg Coop (Kensington),"$242,905 ","$373,146 ","$616,051 ",,,,,
,Exeter Reg Coop (Newfields),"$378,717 ","$330,304 ","$709,021 ",,,,,
,Exeter Regional Coop (Stratham),"$797,577 ","$1,465,609 ","$2,263,186 ",,,,,
,,"$4,659,048 ","$5,269,084 ","$9,928,132 ",,,,,
,,,,,,,,,
,Exeter  School District                 ,"$2,252,791 ","$1,648,954 ","$3,901,745 ",,,,,
,Hampton School District    ,$0 ,"$4,244,077 ","$4,244,077 ",,,,,
,Hampton Falls School District                ,"$38,556 ","$670,900 ","$709,456 ",,,,,
,Hanover School District                          ,$0 ,"$1,970,535 ","$1,970,535 ",,,,,
,Henniker School District               ,"$1,687,515 ","$559,839 ","$2,247,354 ",,,,,
,Holderness School District               ,$0 ,"$1,167,378 ","$1,167,378 ",,,,,
,Hollis School District               ,"$998,242 ","$1,403,800 ","$2,402,042 ",,,,,
,,,,,,,,,
,Hollis/Brookline Coop (Brookline),"$1,883,216 ","$552,890 ","$2,436,106 ",,,,,
,Hollis/Brookline Coop (Hollis),"$1,042,860 ","$1,528,768 ","$2,571,628 ",,,,,
,,"$2,926,076 ","$2,081,658 ","$5,007,734 ",,,,,
,,,,,,,,,
,John Stark Reg (Henniker),"$868,768 ","$365,662 ","$1,234,430 ",,,,,
,John Stark Reg (Weare),"$2,431,432 ","$681,999 ","$3,113,431 ",,,,,
,,"$3,300,200 ","$1,047,661 ","$4,347,861 ",,,,,
,,,,,,,,,
,Kensington School District               ,"$218,378 ","$360,356 ","$578,734 ",,,,,
,,,,,,,,,
,Easton (Lafayette School District)                       ,$0 ,"$58,540 ","$58,540 ",,,,,
,Franconia (Lafayette School District),$0 ,"$323,079 ","$323,079 ",,,,,
,Sugar Hill (Lafayette School District),$0 ,"$152,919 ","$152,919 ",,,,,
,,$0 ,"$534,538 ","$534,538 ",,,,,
,,,,,,,,,
,Lyndeborough School District    ,"$213,486 ","$158,499 ","$371,985 ",,,,,
,Mont Vernon School District    ,"$964,588 ","$388,960 ","$1,353,548 ",,,,,
,Newfields School District    ,"$302,659 ","$252,419 ","$555,078 ",,,,,
,North Hampton School District    ,"$207,100 ","$1,445,226 ","$1,652,326 ",,,,,
,,,,,,,,,
,Pemi-Baker Coop (Ashland),"$266,487 ","$182,522 ","$449,009 ",,,,,
,Pemi-Baker Coop (Campton),"$509,135 ","$341,656 ","$850,791 ",,,,,
