,,,,"December 7, 2009",
New Hampshire Department of Education,,,,,
Bureau of Data Management,,,,,
FY11 Adequate Education Aid Summary,,,,,
Towns in Split Cooperatives,,,,,
,,,,,
Note: ,Budgeting information for towns that are part of two school districts.,,,,
,,,,,
,,,FY2011,$2.19 ,Grant
,,,Total ,Retained,and  
District/Town,,,Grant,State Tax, State Tax
,,,,,
Amherst School District                     ,,,"$2,658,676 ","$2,413,776 ","$5,072,452 "
Ashland School District                      ,,,"$465,960 ","$365,770 ","$831,730 "
Bethlehem  School District                      ,,,"$749,454 ","$319,795 ","$1,069,249 "
Brentwood School District                      ,,,"$825,454 ","$498,493 ","$1,323,947 "
Brookline  School District    ,,,"$2,019,562 ","$651,923 ","$2,671,485 "
Campton School District                    ,,,"$1,032,823 ","$606,286 ","$1,639,109 "
Dresden (Hanover),,,$0 ,"$2,328,274 ","$2,328,274 "
East Kingston School District          ,,,"$252,898 ","$272,223 ","$525,121 "
,,,,,
Exeter Reg Coop (Brentwood),,,"$1,016,111 ","$595,144 ","$1,611,255 "
Exeter Reg Coop (East Kingston),,,"$352,267 ","$370,473 ","$722,740 "
Exeter Reg Coop (Exeter),,,"$1,870,502 ","$2,134,424 ","$4,004,926 "
Exeter Reg Coop (Kensington),,,"$242,875 ","$370,942 ","$613,817 "
Exeter Reg Coop (Newfields),,,"$378,706 ","$319,298 ","$698,004 "
Exeter Regional Coop (Stratham),,,"$798,119 ","$1,466,882 ","$2,265,001 "
,,,"$4,658,580 ","$5,257,163 ","$9,915,743 "
,,,,,
Exeter  School District                 ,,,"$2,254,727 ","$1,665,368 ","$3,920,095 "
Hampton School District    ,,,$0 ,"$4,242,760 ","$4,242,760 "
Hampton Falls School District                ,,,"$38,218 ","$665,805 ","$704,023 "
Hanover School District                          ,,,$0 ,"$2,081,669 ","$2,081,669 "
Henniker School District               ,,,"$1,710,711 ","$536,198 ","$2,246,909 "
Holderness School District               ,,,$0 ,"$1,086,840 ","$1,086,840 "
Hollis School District               ,,,"$998,128 ","$1,400,376 ","$2,398,504 "
,,,,,
Hollis/Brookline Coop (Brookline),,,"$1,846,001 ","$589,601 ","$2,435,602 "
Hollis/Brookline Coop (Hollis),,,"$1,042,974 ","$1,525,039 ","$2,568,013 "
,,,"$2,888,975 ","$2,114,640 ","$5,003,615 "
,,,,,
John Stark Reg (Henniker),,,"$884,653 ","$350,222 ","$1,234,875 "
John Stark Reg (Weare),,,"$2,470,005 ","$647,542 ","$3,117,547 "
,,,"$3,354,658 ","$997,764 ","$4,352,422 "
,,,,,
Kensington School District               ,,,"$218,408 ","$358,227 ","$576,635 "
,,,,,
Lafayette Reg School District (Easton)                        ,,,$0 ,"$58,820 ","$58,820 "
Lafayette Reg School District (Franconia)                        ,,,$0 ,"$336,843 ","$336,843 "
Lafayette Reg School District (Sugar Hill)                        ,,,$0 ,"$200,545 ","$200,545 "
,,,$0 ,"$596,208 ","$596,208 "
,,,,,
Mont Vernon School District    ,,,"$957,902 ","$395,983 ","$1,353,885 "
Newfields School District    ,,,"$302,670 ","$244,009 ","$546,679 "
North Hampton School District    ,,,"$83,631 ","$1,568,909 ","$1,652,540 "
,,,,,
Pemi-Baker Coop (Ashland),,,"$258,214 ","$201,507 ","$459,721 "
Pemi-Baker Coop (Campton),,,"$528,866 ","$321,925 ","$850,791 "
Pemi-Baker Coop (Holderness),,,$0 ,"$558,363 ","$558,363 "
Pemi-Baker Coop (Plymouth),,,"$1,280,636 ","$369,416 ","$1,650,052 "
Pemi-Baker Coop (Rumney),,,"$226,659 ","$157,149 ","$383,808 "
Pemi-Baker Coop (Thornton),,,"$240,427 ","$310,513 ","$550,940 "
Pemi-Baker Coop (Wentworth),,,"$262,171 ","$120,073 ","$382,244 "
,,,"$2,796,973 ","$2,038,946 ","$4,835,919 "
,,,,,
Plymouth School District                     ,,,"$2,032,339 ","$587,227 ","$2,619,566 "
,,,,,
Profile Reg (Bethlehem),,,"$649,454 ","$291,026 ","$940,480 "
Profile Reg (Easton),,,$0 ,"$97,564 ","$97,564 "
Profile Regional (Franconia),,,$0 ,"$319,929 ","$319,929 "
Profile Regional (Sugar Hill),,,$0 ,"$156,789 ","$156,789 "
,,,"$649,454 ","$865,308 ","$1,514,762 "
,,,,,
Rumney School District    ,,,"$682,859 ","$269,826 ","$952,685 "
Seabrook School District    ,,,"$1,266,513 ","$2,310,722 ","$3,577,235 "
,,,,,
Souhegan Coop (Amherst),,,"$1,528,486 ","$1,349,060 ","$2,877,546 "
Souhegan Coop (Mont Vernon),,,"$556,958 ","$215,930 ","$772,888 "
,,,"$2,085,444 ","$1,564,990 ","$3,650,434 "
,,,,,
Stratham School District    ,,,"$671,870 ","$1,182,892 ","$1,854,762 "
Thornton School District    ,,,"$262,419 ","$550,821 ","$813,240 "
Weare School District    ,,,"$5,321,267 ","$1,161,883 ","$6,483,150 "
Wentworth School District    ,,,"$324,847 ","$127,945 ","$452,792 "
,,,,,
Winnacunnet Coop (Hampton),,,"$124,436 ","$2,366,642 ","$2,491,078 "
Winnacunnet (Hampton Falls),,,"$106,094 ","$308,495 ","$414,589 "
Winnacunnet Coop (North Hampton),,,"$151,290 ","$747,067 ","$898,357 "
Winnacunnet Coop (Seabrook),,,"$38,402 ","$1,070,703 ","$1,109,105 "
,,,"$420,222 ","$4,492,907 ","$4,913,129 "
