,,,,,,,,
,,Note: ,Budgeting information for towns that are part of two school districts.,,,,,
,,,,,,,,
,,,,,FY2014,$2.435 ,Grant,
,,,,,Total Estimated,Retained,and  ,
Dist,Loc,District/Town,,,Grant,State Tax, State Tax,
,,,,,,,,
17,17,Amherst School District                     ,,," 2,278,424.58 ","$2,415,882 "," 4,694,306.58 ",
23,23,Ashland School District                      ,,," 524,481.62 ","$374,196 "," 898,677.62 ",
53,53,Bethlehem  School District                      ,,," 763,252.27 ","$280,898 "," 1,044,150.27 ",
63,63,Brentwood School District                      ,,," 866,360.48 ","$496,086 "," 1,362,446.48 ",
71,71,Brookline  School District    ,,," 2,078,014.05 ","$560,812 "," 2,638,826.05 ",
75,75,Campton School District                    ,,," 1,108,711.99 ","$682,784 "," 1,791,495.99 ",
142,0,Dresden (Hanover),,, -   ,"$2,606,535 "," 2,606,535.00 ",
153,153,East Kingston School District          ,,," 297,770.14 ","$311,507 "," 609,277.14 ",
,,,,,,,,
172,0,Exeter Reg Coop (Brentwood),,," 1,122,529.52 ","$640,683 "," 1,763,212.52 ",
172,0,Exeter Reg Coop (East Kingston),,," 355,807.86 ","$368,343 "," 724,150.86 ",
172,0,Exeter Reg Coop (Exeter),,," 2,452,613.47 ","$2,139,900 "," 4,592,513.47 ",
172,0,Exeter Reg Coop (Kensington),,," 285,709.67 ","$401,136 "," 686,845.67 ",
172,0,Exeter Reg Coop (Newfields),,," 363,071.48 ","$386,951 "," 750,022.48 ",
172,0,Exeter Regional Coop (Stratham),,," 883,492.72 ","$1,484,650 "," 2,368,142.72 ",
,,,,," 5,463,224.72 "," 5,421,663.00 "," 10,884,887.72 ",
,,,,,,,,
173,173,Exeter  School District                 ,,," 2,002,633.53 ","$1,704,693 "," 3,707,326.53 ",
225,225,Hampton School District    ,,," 88,523.35 ","$4,346,435 "," 4,434,958.35 ",
227,227,Hampton Falls School District                ,,," 114,087.32 ","$727,718 "," 841,805.32 ",
233,233,Hanover School District                          ,,, -   ,"$2,182,248 "," 2,182,248.00 ",
245,245,Henniker School District               ,,," 1,530,430.46 ","$609,008 "," 2,139,438.46 ",
257,257,Holderness School District               ,,, -   ,"$1,227,189 "," 1,227,189.00 ",
259,259,Hollis School District               ,,," 928,489.07 ","$1,225,223 "," 2,153,712.07 ",
,,,,,,,,
260,0,Hollis/Brookline Coop (Brookline),,," 1,998,921.50 ","$564,412 "," 2,563,333.50 ",
260,0,Hollis/Brookline Coop (Hollis),,," 1,275,900.93 ","$1,635,442 "," 2,911,342.93 ",
,,,,," 3,274,822.43 ","$2,199,854 "," 5,474,676.43 ",
,,,,,,,,
275,0,John Stark Reg (Henniker),,," 678,620.43 ","$280,185 "," 958,805.43 ",
275,0,John Stark Reg (Weare),,," 2,730,930.96 ","$670,178 "," 3,401,108.96 ",
,,,,," 3,409,551.39 "," 950,363.00 "," 4,359,914.39 ",
,,,,,,,,
281,281,Kensington School District               ,,," 212,476.33 ","$297,586 "," 510,062.33 ",
,,,,,,,,
288,155,Lafayette Reg School District (Easton)                        ,,, -   ,"$40,523 "," 40,523.00 ",
288,183,Lafayette Reg School District (Franconia)                        ,,, -   ,"$385,950 "," 385,950.00 ",
288,512,Lafayette Reg School District (Sugar Hill)                        ,,, -   ,"$196,220 "," 196,220.00 ",
,,,,, -   ,"$622,693 "," 622,693.00 ",
,,,,,,,,
367,367,Mont Vernon School District    ,,," 883,685.03 ","$429,490 "," 1,313,175.03 ",
387,387,Newfields School District    ,,," 233,202.91 ","$241,216 "," 474,418.91 ",
405,405,North Hampton School District    ,,," 174,334.87 ","$1,811,416 "," 1,985,750.87 ",
,,,,,,,,
428,0,Pemi-Baker Coop (Ashland),,," 257,626.38 ","$186,986 "," 444,612.38 ",
428,0,Pemi-Baker Coop (Campton),,," 474,257.73 ","$293,179 "," 767,436.73 ",
428,0,Pemi-Baker Coop (Holderness),,, -   ,"$446,098 "," 446,098.00 ",
428,0,Pemi-Baker Coop (Plymouth),,," 1,176,286.15 ","$357,087 "," 1,533,373.15 ",
428,0,Pemi-Baker Coop (Rumney),,," 271,711.65 ","$152,555 "," 424,266.65 ",
428,0,Pemi-Baker Coop (Thornton),,," 108,400.09 ","$232,820 "," 341,220.09 ",
428,0,Pemi-Baker Coop (Wentworth),,," 149,867.63 ","$76,286 "," 226,153.63 ",
,,,,," 2,438,149.63 ","$1,745,011 "," 4,183,160.63 ",
,,,,,,,,
447,447,Plymouth School District                     ,,," 2,116,788.19 ","$604,894 "," 2,721,682.19 ",
,,,,,,,,
450,0,Profile Reg (Bethlehem),,," 693,614.05 ","$279,218 "," 972,832.05 ",
450,0,Profile Reg (Easton),,, -   ,"$119,773 "," 119,773.00 ",
450,0,Profile Regional (Franconia),,, -   ,"$300,671 "," 300,671.00 ",
450,0,Profile Regional (Sugar Hill),,, -   ,"$164,213 "," 164,213.00 ",
,,,,," 693,614.05 ","$863,875 "," 1,557,489.05 ",
,,,,,,,,
467,467,Rumney School District    ,,," 527,675.39 ","$267,245 ","$794,920 ",
485,485,Seabrook School District    ,,," 879,032.78 ","$2,110,644 ","$2,989,677 ",
,,,,,,,,
493,0,Souhegan Coop (Amherst),,," 1,364,723.13 ","$1,409,743 "," 2,774,466.13 ",
493,0,Souhegan Coop (Mont Vernon),,," 401,114.37 ","$191,070 "," 592,184.37 ",
,,,,," 1,765,837.50 ","$1,600,813 "," 3,366,650.50 ",
,,,,,,,,
511,511,Stratham School District    ,,," 704,095.28 ","$1,174,583 "," 1,878,678.28 ",
531,531,Thornton School District    ,,," 306,607.93 ","$669,582 "," 976,189.93 ",
555,555,Weare School District    ,,," 4,786,082.42 ","$1,160,909 "," 5,946,991.42 ",
559,559,Wentworth School District    ,,," 301,269.11 ","$145,646 "," 446,915.11 ",
,,,,,,,,
581,0,Winnacunnet Coop (Hampton),,," 45,867.65 ","$2,289,343 "," 2,335,210.65 ",
581,0,Winnacunnet (Hampton Falls),,," 41,769.68 ","$256,349 "," 298,118.68 ",
581,0,Winnacunnet Coop (North Hampton),,," 60,586.13 ","$635,442 "," 696,028.13 ",
581,0,Winnacunnet Coop (Seabrook),,," 478,546.81 ","$1,247,581 "," 1,726,127.81 ",
,,,,," 626,770.27 ","$4,428,715 "," 5,055,485.27 ",
