,,,,"October 6, 2003",
,,,,"Replaces  July 7, 2003",
New Hampshire Department of Education,,,,,
FY04 ADEQUACY AID AND TARGETED AID,,,,,
,,,,,
,FY04,FY04,FY04,Statewide,FY04
FY04 Adequacy,Cost of an, Targeted ,Cost of an,Education,Adequate 
Base Cost,Adequate,Aid,Adequate,Property Tax,Education 
"$3,390 ",Education ,, Education  ,at $4.92,Grant &
 , ,,& Targeted Aid," Per $1,000  ", Targeted Aid 
State Totals,"$885,141,619 ","$10,000,000 ","$895,141,619 ","$473,345,275 (1)","$451,640,255 "
,,,,,
Acworth,"656,723 ","16,408 ","673,131 ","228,479 ","444,652 "
Albany,"546,282 ","2,287 ","548,569 ","249,177 ","299,392 "
Alexandria,"1,126,743 ",0 ,"1,126,743 ","448,299 ","678,444 "
Allenstown,"3,777,417 ","178,788 ","3,956,205 ","846,601 ","3,109,604 "
Alstead,"1,553,346 ","42,725 ","1,596,071 ","407,368 ","1,188,703 "
,,,,,
Alton,"2,841,060 ",0 ,"2,841,060 ","3,851,225 ",0 
Amherst,"10,235,417 ",0 ,"10,235,417 ","5,735,721 ","4,499,696 "
Andover,"1,374,916 ",0 ,"1,374,916 ","720,968 ","653,948 "
Antrim,"2,380,189 ","69,265 ","2,449,454 ","676,673 ","1,772,781 "
Ashland,"1,355,826 ","6,071 ","1,361,897 ","587,770 ","774,127 "
,,,,,
Atkinson,"3,984,653 ",0 ,"3,984,653 ","3,292,819 ","691,834 "
Auburn,"3,724,995 ",0 ,"3,724,995 ","1,818,660 ","1,906,335 "
Barnstead,"3,192,064 ","2,430 ","3,194,494 ","1,278,289 ","1,916,205 "
Barrington,"5,486,158 ","108,824 ","5,594,982 ","2,397,253 ","3,197,729 "
Bartlett,"1,923,529 ",0 ,"1,923,529 ","2,608,806 ",0 
,,,,,
Bath,"730,745 ",0 ,"730,745 ","229,108 ","501,637 "
Bedford,"14,052,049 ",0 ,"14,052,049 ","10,745,456 ","3,306,593 "
Belmont,"5,006,522 ","19,450 ","5,025,972 ","1,962,939 ","3,063,033 "
Bennington,"1,049,111 ","28,163 ","1,077,274 ","309,484 ","767,790 "
Benton,"178,650 ",0 ,"178,650 ","77,413 ","101,237 "
,,,,,
Berlin,"7,348,625 ","240,234 ","7,588,859 ","1,262,138 ","6,326,721 "
Bethlehem,"1,868,294 ","32,099 ","1,900,393 ","692,126 ","1,208,267 "
Boscawen,"2,280,733 ","60,724 ","2,341,457 ","788,885 ","1,552,572 "
Bow,"6,857,877 ",0 ,"6,857,877 ","3,433,939 ","3,423,938 "
Bradford,"1,102,824 ",0 ,"1,102,824 ","538,998 ","563,826 "
,,,,,
Brentwood,"2,263,695 ",0 ,"2,263,695 ","1,374,922 ","888,773 "
Bridgewater,"583,781 ",0 ,"583,781 ","821,372 ",0 
Bristol,"2,388,746 ","1,566 ","2,390,312 ","1,102,212 ","1,288,100 "
Brookfield,"403,842 ",0 ,"403,842 ","291,964 ","111,878 "
Brookline,"3,809,336 ","66,579 ","3,875,915 ","1,529,554 ","2,346,361 "
,,,,,
Cambridge,"2,931 ",0 ,"2,931 ","27,888 ",0 
Campton,"2,249,887 ","24,603 ","2,274,490 ","913,841 ","1,360,649 "
Canaan,"2,577,242 ","61,428 ","2,638,670 ","855,723 ","1,782,947 "
Candia,"2,785,473 ","5,224 ","2,790,697 ","1,371,311 ","1,419,386 "
Canterbury,"1,203,465 ",0 ,"1,203,465 ","729,341 ","474,124 "
,,,,,
Carroll,"442,231 ",0 ,"442,231 ","670,318 ",0 
Center Harbor,"744,585 ",0 ,"744,585 ","1,409,512 ",0 
Charlestown,"3,975,352 ","166,554 ","4,141,906 ","801,049 ","3,340,857 "
Chatham,"244,645 ",0 ,"244,645 ","151,229 ","93,416 "
Chester,"3,005,105 ","10,292 ","3,015,397 ","1,582,875 ","1,432,522 "
,,,,,
Chesterfield,"2,867,403 ",710 ,"2,868,113 ","1,427,555 ","1,440,558 "
Chichester,"1,450,527 ",0 ,"1,450,527 ","744,143 ","706,384 "
Claremont,"9,818,452 ","285,574 ","10,104,026 ","2,505,261 ","7,598,765 "
Clarksville,"168,507 ",0 ,"168,507 ","92,161 ","76,346 "
Colebrook,"1,642,311 ","55,012 ","1,697,323 ","384,106 ","1,313,217 "
,,,,,
Columbia,"539,610 ",0 ,"539,610 ","153,140 ","386,470 "
Concord,"23,174,337 ","222,582 ","23,396,919 ","11,064,202 ","12,332,717 "
Conway,"6,887,896 ",0 ,"6,887,896 ","4,180,088 ","2,707,808 "
Cornish,"1,222,686 ","10,994 ","1,233,680 ","425,548 ","808,132 "
Croydon,"378,375 ",0 ,"378,375 ","194,472 ","183,903 "
,,,,,
Dalton,"741,837 ","11,132 ","752,969 ","218,142 ","534,827 "
Danbury,"799,366 ","4,329 ","803,695 ","313,521 ","490,174 "
Danville,"3,105,459 ","93,895 ","3,199,354 ","1,266,749 ","1,932,605 "
Deerfield,"3,224,613 ","25,076 ","3,249,689 ","1,370,651 ","1,879,038 "
Deering,"1,392,364 ","16,762 ","1,409,126 ","447,218 ","961,908 "
,,,,,
Derry,"28,532,317 ","944,700 ","29,477,017 ","9,540,992 ","19,936,025 "
Dix Grant,0 ,0 ,0 ,"3,979 ",0 
Dixville,0 ,0 ,0 ,"84,941 ",0 
Dorchester,"301,729 ","6,288 ","308,017 ","93,340 ","214,677 "
Dover,"14,291,543 ","4,360 ","14,295,903 ","8,716,438 ","5,579,465 "
,,,,,
Dublin,"690,560 ",0 ,"690,560 ","901,934 ",0 
Dummer,"274,393 ",0 ,"274,393 ","160,978 ","113,415 "
Dunbarton,"1,480,403 ",0 ,"1,480,403 ","822,888 ","657,515 "
Durham,"4,496,042 ","54,421 ","4,550,463 ","2,942,123 ","1,608,340 "
East Kingston,"1,435,086 ","1,467 ","1,436,553 ","805,397 ","631,156 "
,,,,,
Easton,"121,158 ",0 ,"121,158 ","160,588 ",0 
Eaton,"288,231 ",0 ,"288,231 ","226,221 ","62,010 "
Effingham,"948,534 ","10,112 ","958,646 ","445,259 ","513,387 "
Ellsworth,"44,416 ",0 ,"44,416 ","37,433 ","6,983 "
Enfield,"2,604,263 ",0 ,"2,604,263 ","1,317,349 ","1,286,914 "
,,,,,
Epping,"4,106,518 ","100,867 ","4,207,385 ","1,653,438 ","2,553,947 "
Epsom,"2,721,969 ","27,045 ","2,749,014 ","1,175,049 ","1,573,965 "
Errol,"178,525 ",0 ,"178,525 ","194,416 ",0 
Exeter,"9,644,263 ","236,411 ","9,880,674 ","5,227,351 ","4,653,323 "
Farmington,"5,926,533 ","192,457 ","6,118,990 ","1,253,295 ","4,865,695 "
,,,,,
Fitzwilliam,"1,487,417 ",0 ,"1,487,417 ","669,401 ","818,016 "
