"July 13, 2006",NH Department of Education,,,,
,Information Services,,,,
"Per HB100, Excess to ",FY07 Equitable Education Grants,,,,
Remit columns removed.,and Statewide Enhanced Education Tax Assessment,,,,
,,,,,
,A,B,C,D,
FY07,,FY06/FY07,for FY07,FY07,
,,Formula plus,State Tax,Statewide,
,FY03,Transition,Calculation,Enhanced,
,ADM-R,Grants,4/1/04,Education,
,,,Equalized,Tax @,
,K <= 0.5,(See FY06 for,Valuations,$2.515 ,
,,calculations),without Utilities,"per $1,000",
State Total,"200,153.8","472,812,134","144,467,198,903","363,335,002",
,,,,,
Acworth,145.8,"417,154","78,942,118","198,539",
Albany,130.7,"460,844","94,482,662","237,624",
Alexandria,261.6,"660,144","169,319,943","425,840",
Allenstown,782.3,"3,821,672","270,810,954","681,090",
Alstead,335.8,"1,298,605","144,164,586","362,574",
Alton,691.4,,"1,370,794,304","3,447,548",
Amherst,"2,404.3","3,467,629","1,570,414,109","3,949,591",
Andover,335.7,"681,397","270,121,552","679,356",
Antrim,522.5,"2,411,844","225,209,781","566,403",
Ashland,268.8,"619,023","185,122,037","465,582",
Atkinson,"1,017.9","867,442","933,190,629","2,346,974",
Auburn,909.0,"1,546,152","591,581,902","1,487,828",
Barnstead,778.0,"2,298,113","444,038,224","1,116,756",
Barrington,"1,280.3","3,250,783","779,924,122","1,961,509",
Bartlett,449.2,,"863,501,954","2,171,707",
Bath,141.0,"446,778","83,089,668","208,971",
Bedford,"3,515.6","2,866,863","3,019,624,108","7,594,355",
Belmont,"1,192.5","3,961,612","619,068,488","1,556,957",
Bennington,235.5,"938,898","111,289,222","279,892",
Benton,33.8,"117,924","17,080,609","42,958",
Berlin,"1,444.4","8,642,713","346,187,868","870,662",
Bethlehem,386.8,"1,138,101","228,808,654","575,454",
Boscawen,542.2,"2,221,552","231,848,685","583,099",
Bow,"1,766.1","3,368,768","880,341,846","2,214,060",
Bradford,264.6,"547,312","177,489,277","446,386",
Brentwood,632.6,"903,553","440,012,038","1,106,630",
Bridgewater,134.1,,"299,224,154","752,549",
Bristol,492.7,"898,990","437,934,356","1,101,405",
Brookfield,109.5,"112,072","97,623,941","245,524",
Brookline,"1,031.6","3,029,701","473,302,785","1,190,357",
Cambridge,1.0,,"6,381,465","16,049",
Campton,453.5,"1,404,588","317,784,541","799,228",
Canaan,542.5,"1,761,584","279,528,575","703,014",
Candia,650.7,"1,133,580","382,690,857","962,468",
Canterbury,277.5,"349,088","249,265,976","626,904",
Carroll,106.2,,"236,272,966","594,227",
Center Harbor,122.2,,"396,403,631","996,955",
Charlestown,832.0,"4,380,576","221,753,641","557,710",
Chatham,57.3,"71,129","46,224,770","116,255",
Chester,910.5,"2,135,869","487,173,944","1,225,242",
Chesterfield,613.4,"946,628","426,647,688","1,073,019",
Chichester,363.3,"626,769","243,286,256","611,865",
Claremont,"1,907.2","9,507,039","660,865,982","1,662,078",
Clarksville,36.8,"61,988","39,857,773","100,242",
Colebrook,347.8,"1,688,616","130,059,118","327,099",
Columbia,110.7,"361,029","49,980,691","125,701",
Concord,"5,188.3","10,893,596","3,278,261,200","8,244,827",
Conway,"1,358.6","2,428,175","1,280,311,644","3,219,984",
Cornish,247.9,"684,435","136,299,825","342,794",
Croydon,102.9,"282,926","67,430,438","169,588",
Dalton,136.2,"627,537","69,364,955","174,453",
Danbury,199.1,"799,449","117,672,630","295,947",
Danville,793.8,"2,443,956","371,447,583","934,191",
Deerfield,732.6,"1,579,390","456,810,578","1,148,879",
Deering,275.8,"830,337","178,981,239","450,138",
Derry,"6,783.5","24,652,764","2,813,359,368","7,075,599",
Dix Grant,,,"774,047","1,947",
Dixville,1.2,,"18,696,902","47,023",
Dorchester,73.0,"330,085","26,070,095","65,566",
