,,,,"Nov 8, 2007",,,,
NH Deptment of Education,,,,,,,,
Bureau of Data Management,,,,,,,,
 FY09 Adequacy Aid Grants,,,,,,,,
and Statewide Enhanced Education Tax Assessment ,,,,,,,,
,A,B,C,D,,,,
,,,for FY09,FY09,,,,
,, ,State Tax,Statewide,,,,
,FY05,FY08/FY09,Calculation,Enhanced,,,,
,ADM-R,Grants ,4/1/06,Education,,,,
,,,Equalized,Tax @,,,,
,K <= 0.5,(See FY08 for,Valuations,$2.14 ,,,,
,,calculations),without Utilities,"per $1,000",,,,
State Total,"198,968.9","527,360,567","169,931,316,051","363,653,009",,,,
,,,,,,,,
Acworth,127.1,"438,012","100,524,699","215,123",,,,
Albany,118.8,"483,886","105,665,406","226,124",,,,
Alexandria,255.1,"693,151","226,619,005","484,965",,,,
Allenstown,744.9,"4,012,756","309,802,548","662,977",,,,
Alstead,293.7,"1,363,535","194,044,510","415,255",,,,
Alton,756.6,,"1,612,091,758","3,449,876",,,,
Amherst,"2,436.7","3,641,010","1,845,701,019","3,949,800",,,,
Andover,315.1,"715,467","297,262,807","636,142",,,,
Antrim,524.0,"2,532,436","281,026,608","601,397",,,,
Ashland,253.2,"649,974","245,651,579","525,694",,,,
Atkinson,"1,099.9","910,814","1,018,644,049","2,179,898",,,,
Auburn,909.5,"1,623,460","716,636,307","1,533,602",,,,
Barnstead,747.9,"2,413,019","566,893,686","1,213,152",,,,
Barrington,"1,294.2","3,413,322","915,667,461","1,959,528",,,,
Bartlett,409.7,,"1,091,084,721","2,334,921",,,,
Bath,124.5,"469,117","109,395,235","234,106",,,,
Bedford,"3,610.7","3,010,206","3,497,189,696","7,483,986",,,,
Belmont,"1,178.7","4,186,439","755,372,711","1,616,498",,,,
Bennington,247.3,"1,149,347","129,804,469","277,782",,,,
Benton,30.4,"123,820","24,869,925","53,222",,,,
Berlin,"1,409.4","9,466,578","402,306,062","860,935",,,,
Bethlehem,394.7,"1,259,486","268,664,057","574,941",,,,
Boscawen,534.6,"2,341,838","282,023,597","603,530",,,,
Bow,"1,745.7","4,087,208","1,023,217,076","2,189,685",,,,
Bradford,232.6,"574,678","226,037,341","483,720",,,,
Brentwood,738.7,"1,617,578","520,182,788","1,113,191",,,,
Bridgewater,128.5,,"354,448,361","758,519",,,,
Bristol,455.9,"943,940","520,640,259","1,114,170",,,,
Brookfield,115.3,"117,676","109,438,860","234,199",,,,
Brookline,"1,095.0","3,918,111","555,596,320","1,188,976",,,,
Cambridge,,,"8,668,721","18,551",,,,
Campton,447.8,"1,474,817","431,325,021","923,036",,,,
Canaan,510.1,"1,849,663","349,719,303","748,399",,,,
Candia,604.1,"1,190,259","471,997,275","1,010,074",,,,
Canterbury,298.3,"366,542","303,031,093","648,487",,,,
Carroll,91.7,,"369,810,710","791,395",,,,
Center Harbor,133.1,,"432,300,704","925,124",,,,
Charlestown,813.0,"5,099,661","285,127,243","610,172",,,,
Chatham,63.8,"74,685","55,521,287","118,816",,,,
Chester,972.6,"2,982,960","570,308,067","1,220,459",,,,
Chesterfield,583.3,"993,959","551,670,362","1,180,575",,,,
Chichester,390.5,"790,235","300,560,853","643,200",,,,
Claremont,"1,916.4","10,863,620","861,161,142","1,842,885",,,,
Clarksville,40.5,"69,497","44,085,909","94,344",,,,
