,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
State Total,"527,360,567","363,653,009","891,013,576","921,443,751","47,893,278","363,165,834","622,508,926","549,632,725","27,964,417","577,597,142"
,,,,,,,,115%,,
Acworth,"438,012","215,123","653,135","595,909",0,"239,309","356,600","356,600","57,226","413,826 "
Albany,"483,886","226,124","710,010","659,050",0,"228,452","430,598","430,598","50,960","481,558 "
Alexandria,"693,151","484,965","1,178,116","1,334,087",0,"497,411","836,676","797,124",0,"797,124 "
Allenstown,"4,012,756","662,977","4,675,733","3,638,038","1,402,040","638,922","4,401,156","4,401,156",0,"4,401,156 "
Alstead,"1,363,535","415,255","1,778,790","1,496,125",0,"391,382","1,104,743","1,104,743","282,665","1,387,408 "
Alton,0,"3,449,876","3,449,876","3,832,731",0,"3,538,928","293,803",0,0,0 
Amherst,"3,641,010","3,949,800","7,590,810","8,677,513",0,"3,907,778","4,769,735","4,187,162",0,"4,187,162 "
Andover,"715,467","636,142","1,351,609","1,432,417",0,"663,277","769,140","769,140",0,"769,140 "
Antrim,"2,532,436","601,397","3,133,833","2,517,469","628,513","612,412","2,533,570","2,533,570",0,"2,533,570 "
Ashland,"649,974","525,694","1,175,668","1,291,451",0,"513,829","777,622","747,470",0,"747,470 "
Atkinson,"910,814","2,179,898","3,090,712","3,950,800",0,"2,104,406","1,846,394","1,047,436",0,"1,047,436 "
Auburn,"1,623,460","1,533,602","3,157,062","3,508,438",0,"1,556,908","1,951,530","1,866,979",0,"1,866,979 "
Barnstead,"2,413,019","1,213,152","3,626,171","4,014,252",0,"1,214,496","2,799,756","2,774,972",0,"2,774,972 "
Barrington,"3,413,322","1,959,528","5,372,850","6,319,050",0,"2,006,220","4,312,830","3,925,320",0,"3,925,320 "
Bartlett,0,"2,334,921","2,334,921","1,855,273",0,"2,287,957",0,0,"46,964","46,964 "
Bath,"469,117","234,106","703,223","577,290",0,"248,924","328,366","328,366","125,933","454,299 "
Bedford,"3,010,206","7,483,986","10,494,192","14,808,712",0,"7,612,906","7,195,806","3,461,737",0,"3,461,737 "
Belmont,"4,186,439","1,616,498","5,802,937","5,456,133",0,"1,688,398","3,767,735","3,767,735","346,804","4,114,539 "
Bennington,"1,149,347","277,782","1,427,129","1,523,185","544,280","286,018","1,781,447","1,321,749",0,"1,321,749 "
Benton,"123,820","53,222","177,042","178,691",0,"57,252","121,439","121,439",0,"121,439 "
Berlin,"9,466,578","860,935","10,327,513","8,816,828","2,760,960","835,738","10,742,050","10,742,050",0,"10,742,050 "
Bethlehem,"1,259,486","574,941","1,834,427","2,009,729",0,"603,358","1,406,371","1,406,371",0,"1,406,371 "
Boscawen,"2,341,838","603,530","2,945,368","2,474,149","1,069,120","614,911","2,928,358","2,693,114",0,"2,693,114 "
Bow,"4,087,208","2,189,685","6,276,893","6,249,767",0,"2,161,223","4,088,544","4,088,544","27,126","4,115,670 "
Bradford,"574,678","483,720","1,058,398","1,056,513",0,"488,394","568,119","568,119","1,885","570,004 "
Brentwood,"1,617,578","1,113,191","2,730,769","2,935,202",0,"1,095,372","1,839,830","1,839,830",0,"1,839,830 "
Bridgewater,0,"758,519","758,519","632,621",0,"844,775",0,0,0,0 
Bristol,"943,940","1,114,170","2,058,110","2,325,760",0,"1,146,148","1,179,612","1,085,531",0,"1,085,531 "
Brookfield,"117,676","234,199","351,875","486,004",0,"236,936","249,068","135,327",0,"135,327 "
Brookline,"3,918,111","1,188,976","5,107,087","4,087,647",0,"1,164,223","2,923,424","2,923,424","1,019,440","3,942,864 "
Cambridge,0,"18,551","18,551",0,0,"17,905",0,0,646,646 
Campton,"1,474,817","923,036","2,397,853","2,489,900",0,"985,102","1,504,798","1,504,798",0,"1,504,798 "
