,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FY2018 Grants,,,
,,,,,,,,,,,,New for March,New for March,,,,,,,,as of 3-20-18,,,
,,,,,,,,,,,,Calculation,Calculation,,,FY2018,,Stabilization,,, Adequacy Grants = Max of Preliminary Grant plus Stabiliation Grant @ 92% or 95% Preliminary Estimate of 11-15-16 ,,,
,,16-17 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,Special Education Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,"FY2018 First Estimate on 
11-15-16",Minimum First FY18 Estimate as of   11-15-16 X,,,,
,,ADM,"$3,636.06 ",ADM,"$1,818.02 ",ADM,ADM,"$1,956.09 ",$711.40 ,ADM,$711.40 ,ADM,"$3,636.06 ",$,$2.260 ,,,92%,,95%,,,,
,State Total,"167,655.54","609,605,602.76 ","45,153.94","82,090,765.97 ","27,786.65 ","4,010.76","54,353,188.20 ","2,853,254.71 ","2,335.40"," 1,661,403.58 ",28.68,"104,274.95"," 750,668,490.17 "," 363,148,601 "," 416,709,280.15 "," 158,480,276 "," 144,578,083.72 "," 562,488,819.68 "," 534,364,378.69 "," 561,750,904.56 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,
3,Acworth,86.42,"314,228.31 ",37.32,"67,848.51",17.41,1.00 ," 34,055.53 ",711.40, 1.00 , 711.40 , -   , -   ," 417,555.15 "," 218,214 "," 199,341.15 "," 245,385.00 "," 225,754.20 "," 407,586.08 "," 387,206.78 "," 425,095.35 ",,,
5,Albany,100.50,"365,424.03 ",41.96,"76,284.12",12.17, -   ," 23,805.62 ",0.00, 1.00 , 711.40 , 0.30 ," 1,090.82 "," 467,315.99 "," 246,257 "," 221,058.99 "," 315,427.00 "," 290,192.84 "," 502,939.02 "," 477,792.07 "," 511,251.83 ",,,
7,Alexandria,207.33,"753,864.32 ",63.07,"114,662.52",25.68, 2.00 ," 50,232.39 ","1,422.80", 1.00 , 711.40 , -   , -   ," 920,893.43 "," 396,341 "," 524,552.43 "," 283,426.00 "," 260,751.92 "," 857,746.67 "," 814,859.34 "," 814,859.34 ",,,
9,Allenstown,496.91,"1,806,794.57 ",189.14,"343,860.30",90.27, -   ," 176,576.24 ",0.00, 4.00 ," 2,845.60 ", 0.56 ," 2,047.10 "," 2,332,123.81 "," 584,288 "," 1,747,835.81 "," 2,229,085.00 "," 2,050,758.20 "," 3,821,361.53 "," 3,630,293.45 "," 3,798,594.01 ",,,
11,Alstead,209.12,"760,372.87 ",70.15,"127,534.10",43.62, -   ," 85,324.65 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 974,654.42 "," 381,405 "," 593,249.42 "," 721,271.00 "," 663,569.32 "," 1,253,525.61 "," 1,190,849.33 "," 1,256,818.74 ",,,
15,Alton,678.93,"2,468,630.22 ",181.62,"330,188.79",115.28, -   ," 225,498.06 ",0.00, 12.00 ," 8,536.80 ", -   , -   ," 3,032,853.87 "," 3,541,107 ", -   , -   , -   , -   , -   , -   ,,,
17,Amherst,1801.20,"6,549,271.27 ",73.24,"133,151.78",231.04, 12.79 ," 451,935.03 ","9,098.81", 32.00 ," 22,764.80 ", -   , -   ," 7,166,221.69 "," 3,804,722 "," 3,361,499.69 ", -   , -   ," 3,409,282.04 "," 3,238,817.94 "," 3,361,499.69 ",,,
19,Andover,295.79,"1,075,510.19 ",66.59,"121,061.95",42.05, -   ," 82,253.58 ",0.00, 5.66 ," 4,026.52 ", 0.45 ," 1,636.23 "," 1,284,488.47 "," 539,462 "," 745,026.47 "," 212,449.00 "," 195,453.08 "," 941,006.19 "," 893,955.88 "," 940,479.55 ",,,
21,Antrim,313.82,"1,141,068.35 ",124.18,"225,761.72",58.08, 2.00 ," 113,609.71 ","1,422.80", 8.31 ," 5,911.73 ", -   , -   ," 1,487,774.31 "," 496,075 "," 991,699.31 "," 1,207,389.00 "," 1,110,797.88 "," 2,086,153.33 "," 1,981,845.66 "," 2,102,497.19 ",,,
23,Ashland,224.87,"817,640.81 ",108.26,"196,818.85",35.32, 2.00 ," 69,089.10 ","1,422.80", 3.00 ," 2,134.20 ", 1.13 ," 4,090.57 "," 1,091,196.33 "," 527,210 "," 563,986.33 "," 275,155.00 "," 253,142.60 "," 798,468.50 "," 758,545.08 "," 817,128.93 ",,,
27,Atkinson,747.06,"2,716,354.98 ",34.94,"63,521.62",121.93, 0.50 ," 238,506.05 ",355.70, 11.00 ," 7,825.40 ", 0.60 ," 2,181.64 "," 3,028,745.39 "," 2,118,244 "," 910,501.39 ", -   , -   ," 944,104.70 "," 896,899.47 "," 910,501.39 ",,,
29,Auburn,889.19,"3,233,148.19 ",90.21,"164,003.58",137.09, 3.00 ," 268,160.38 ","2,134.20", 12.87 ," 9,155.72 ", -   , -   ," 3,676,602.07 "," 1,584,249 "," 2,092,353.07 "," 69,205.00 "," 63,668.60 "," 2,084,984.83 "," 1,980,735.59 "," 2,156,021.67 ",,,
31,Barnstead,660.19,"2,400,490.45 ",180.14,"327,498.12",116.42, 0.07 ," 227,728.00 ",49.80, 8.00 ," 5,691.20 ", -   , -   ," 2,961,457.57 "," 995,162 "," 1,966,295.57 "," 888,419.00 "," 817,345.48 "," 2,717,383.65 "," 2,581,514.47 "," 2,783,641.05 ",,,
33,Barrington,1286.39,"4,677,391.22 ",185.27,"336,824.57",257.11, 5.50 ," 502,930.30 ","3,912.70", 35.38 ," 25,169.33 ", -   , -   ," 5,546,228.12 "," 2,040,814 "," 3,505,414.12 "," 725,476.00 "," 667,437.92 "," 4,232,353.07 "," 4,020,735.42 "," 4,172,852.04 ",,,
35,Bartlett,244.32,"888,362.18 ",78.11,"142,005.54",41.68, 3.50 ," 81,529.83 ","2,489.90", 2.17 ," 1,543.74 ", 0.30 ," 1,090.82 "," 1,117,022.01 "," 2,344,930 ", -   ," 18,308.00 ", -   , -   , -   , -   ,,,
39,Bath,128.26,"466,361.06 ",43.84,"79,702.00",15.33, -   ," 29,986.86 ",0.00, 1.00 , 711.40 , -   , -   ," 576,761.32 "," 276,639 "," 300,122.32 "," 259,033.00 "," 238,310.36 "," 559,790.54 "," 531,801.01 "," 538,432.68 ",,,
41,Bedford,4360.63,"15,855,512.32 ",242.85,"441,506.16",545.95, 27.44 ," 1,067,927.34 ","19,520.82", 51.00 ," 36,281.40 ", -   , -   ," 17,420,748.04 "," 8,565,053 "," 8,855,695.04 ", -   , -   ," 8,895,287.33 "," 8,450,522.96 "," 8,855,695.04 ",,,
43,Belmont,992.56,"3,609,007.71 ",381.47,"693,520.09",174.15, 6.50 ," 340,653.07 ","4,624.10", 17.00 ," 12,093.80 ", -   , -   ," 4,659,898.77 "," 1,496,265 "," 3,163,633.77 "," 1,233,780.00 "," 1,135,077.60 "," 4,315,099.42 "," 4,099,344.45 "," 4,298,711.37 ",,,
45,Bennington,189.77,"690,015.11 ",71.78,"130,497.48",37.32, -   ," 73,001.28 ",0.00, 7.00 ," 4,979.80 ", -   , -   ," 898,493.67 "," 237,106 "," 661,387.67 "," 489,829.00 "," 450,642.68 "," 1,107,999.98 "," 1,052,599.98 "," 1,112,030.35 ",,,
