 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
State Totals,"138,381.6","71,895.2",31.0,"27,991.1",18.17%,15.44%,"13,372.5","251,671.4","853,166,046","32,012,656",,"885,141,619",,"10,000,000","895,141,619","473,345,275","451,640,255",
Acworth,91.7,66.8,0.1,11.9,25.69%,13.17%,12.1,182.6,"619,014","37,709",,"656,723",,"16,408","673,131","228,479","444,652",
Albany,94.3,36.8,0.0,20.3,12.02%,0.00%,0.0,151.4,"513,246","33,036","1,089,254","546,282",,"2,287","548,569","249,177","299,392",
Alexandria,161.1,96.1,0.0,27.5,26.98%,15.57%,25.1,309.8,"1,050,222","76,521",,"1,126,743",,0,"1,126,743","448,299","678,444",
Allenstown,619.5,291.7,0.0,116.5,24.10%,10.44%,64.6,"1,092.3","3,702,897","74,520",,"3,777,417",,"178,788","3,956,205","846,601","3,109,604",
Alstead,213.7,147.1,0.0,46.6,25.69%,13.17%,28.1,435.5,"1,476,345","77,001",,"1,553,346",,"42,725","1,596,071","407,368","1,188,703",
Alton,463.6,242.5,1.6,76.6,18.38%,2.70%,12.5,796.8,"2,701,152","139,908",,"2,841,060",,0,"2,841,060","3,851,225",0,
Amherst,"1,603.2","1,021.7",0.2,270.8,1.49%,0.00%,0.0,"2,895.9","9,817,101","418,316",,"10,235,417",,0,"10,235,417","5,735,721","4,499,696",
Andover,236.5,84.4,0.0,43.4,20.62%,5.34%,12.6,376.9,"1,277,691","97,225",,"1,374,916",,0,"1,374,916","720,968","653,948",
Antrim,381.0,189.5,0.3,89.7,17.64%,1.94%,7.4,667.9,"2,264,181","116,008",,"2,380,189",,"69,265","2,449,454","676,673","1,772,781",
Ashland,196.9,90.7,0.0,40.2,34.28%,32.29%,63.6,391.4,"1,326,846","28,980",,"1,355,826",,"6,071","1,361,897","587,770","774,127",
