FY06,,,,Targeted Aid for,FY06,,FY06,FY06,To raise,,
Statewide,FY03,Local,Enhanced,"SPED & F/R @ $3,917",Total,FY05,Transition,Formula,"$363,000,000 ",,
Enhanced,ADM-R,Equalization Aid,Equalization Aid,"LEP @ $1,000",Formula,Adequacy,to Reach,Grant,Enhanced,Total,
Ed Tax,,If Local Eval PP <,If Local Eval PP <,Trans @ $190 if,Education ,Grants,85%,plus,Educ Tax @,State Aid,
$2.840 ,K <= 0.5,State Average,State Average,Eval w Util PP & MFI,Grants,,of FY05,Transition,$2.840 ,for Education,
per thousand,,Including Utilities,Without Utilities,< 150% of average,,,Grant,,X 4/1/03 Eval,,
State,"200,153.8","143,401,751","62,331,599","250,394,456","456,127,806","454,432,433","16,684,328","472,812,134","363,392,367","836,204,501",
,,,,,,,,,,,
Acworth,145.8,"189,200","70,599 ","157,355","417,154","446,645",0,"417,154","194,110","611,264",
Albany,130.7,"82,187","7,169 ","371,488","460,844","450,872",0,"460,844","230,125","690,969",
Alexandria,261.6,"233,758","57,413 ","368,973","660,144","715,015",0,"660,144","417,540","1,077,684",
Allenstown,782.3,"1,791,318","781,432 ","1,248,922","3,821,672","3,615,484",0,"3,821,672","638,884","4,460,556",
Alstead,335.8,"491,584","299,423 ","507,598","1,298,605","1,200,217",0,"1,298,605","310,243","1,608,848",
Alton,691.4,0,0 ,0,0,0,0,0,"3,497,317","3,497,317",
Amherst,"2,404.3","512,068","243,916 ",0,"755,984","4,079,563","2,711,645","3,467,629","4,121,243","7,588,872",
Andover,335.7,"229,048",0 ,"452,349","681,397","694,301",0,"681,397","617,423","1,298,820",
Antrim,522.5,"977,702","440,666 ","993,476","2,411,844","2,058,765",0,"2,411,844","507,966","2,919,810",
Ashland,268.8,"92,497",0 ,"469,016","561,513","728,262","57,510","619,023","497,446","1,116,469",
Atkinson,"1,017.9",0,0 ,"867,442","867,442","817,594",0,"867,442","2,486,112","3,353,554",
Auburn,909.0,"458,672","172,492 ","771,228","1,402,392","1,819,002","143,760","1,546,152","1,477,856","3,024,008",
Barnstead,778.0,"943,372","363,116 ","991,625","2,298,113","2,160,375",0,"2,298,113","1,049,399","3,347,512",
Barrington,"1,280.3","1,273,924","395,946 ","1,580,913","3,250,783","3,162,439",0,"3,250,783","1,928,522","5,179,305",
Bartlett,449.2,0,0 ,0,0,0,0,0,"2,092,986","2,092,986",
Bath,141.0,"116,267","51,858 ","278,653","446,778","398,553",0,"446,778","204,136","650,914",
Bedford,"3,515.6",0,0 ,0,0,"3,372,780","2,866,863","2,866,863","8,018,791","10,885,654",
Belmont,"1,192.5","1,369,646","671,747 ","1,920,219","3,961,612","3,502,925",0,"3,961,612","1,493,323","5,454,935",
Bennington,235.5,"406,209","144,206 ","388,483","938,898","875,539",0,"938,898","283,359","1,222,257",
Benton,33.8,"15,021","15,399 ","87,504","117,924","79,393",0,"117,924","45,967","163,891",
Berlin,"1,444.4","3,824,916","1,816,737 ","3,001,060","8,642,713","7,042,647",0,"8,642,713","805,672","9,448,385",
Bethlehem,386.8,"254,955","145,073 ","738,073","1,138,101","1,101,480",0,"1,138,101","557,187","1,695,288",
Boscawen,542.2,"879,335","387,944 ","954,273","2,221,552","1,748,442",0,"2,221,552","596,456","2,818,008",
Bow,"1,766.1","1,630,622","940,731 ","797,415","3,368,768","3,530,845",0,"3,368,768","2,265,743","5,634,511",
Bradford,264.6,"123,849","47,961 ","375,502","547,312","547,912",0,"547,312","432,437","979,749",
Brentwood,632.6,"291,274","90,101 ","522,178","903,553","1,023,436",0,"903,553","1,058,424","1,961,977",
Bridgewater,134.1,0,0 ,0,0,0,0,0,"783,913","783,913",
Bristol,492.7,0,0 ,"898,990","898,990","966,478",0,"898,990","1,149,994","2,048,984",
Brookfield,109.5,0,0 ,"77,510","77,510","131,849","34,562","112,072","242,922","354,994",
Brookline,"1,031.6","1,623,532","680,320 ","725,849","3,029,701","2,940,348",0,"3,029,701","1,192,617","4,222,318",
Cambridge,1.0,0,0 ,0,0,0,0,0,"17,763","17,763",
Campton,453.5,"350,456","110,536 ","943,596","1,404,588","1,373,712",0,"1,404,588","712,824","2,117,412",
