,,FY07,,FY08,,,,,
,FY05,Total Aid,FY07,Total Aid,FY08,FY08,Enhanced,,
,ADM-R,per ,Total Aid,per ,Total Aid,HB2,Educ Tax @,,
,,RSA,X,RSA,X,Compromise,$2.240 ,,
,K <= 0.5,198:41,1.05,198:41,0.946596522,,,,
State,"198,968.9","472,812,134","496,452,740","527,360,565","499,197,680","527,360,567","363,065,989",,
Acworth,127.1,"417,154","438,012","354,581","335,645","438,012","198,518",,
Albany,118.8,"460,844","483,886","391,717","370,798","483,886","230,563",,
Alexandria,255.1,"660,144","693,151","561,122","531,156","693,151","455,727",,
Allenstown,744.9,"3,821,672","4,012,756","4,120,517","3,900,467","4,012,756","673,695",,
Alstead,293.7,"1,298,605","1,363,535","1,223,993","1,158,628","1,363,535","379,787",,
Alton,756.6,0,0,0,0,0,"3,361,803",,
Amherst,"2,436.7","3,467,629","3,641,010","2,947,485","2,790,079","3,641,010","3,969,038",,
Andover,315.1,"681,397","715,467","579,187","548,256","715,467","610,907",,
Antrim,524.0,"2,411,844","2,532,436","2,630,053","2,489,599","2,532,436","555,461",,
Ashland,253.2,"619,023","649,974","526,170","498,071","649,974","513,448",,
Atkinson,"1,099.9","867,442","910,814","926,777","877,284","910,814","2,297,097",,
Auburn,909.5,"1,546,152","1,623,460","1,498,238","1,418,227","1,623,460","1,571,187",,
Barnstead,747.9,"2,298,113","2,413,019","1,994,687","1,888,164","2,413,019","1,207,751",,
Barrington,"1,294.2","3,250,783","3,413,322","3,421,184","3,238,481","3,413,322","1,960,589",,
Bartlett,409.7,0,0,0,0,0,"2,315,480",,
Bath,124.5,"446,778","469,117","379,761","359,480","469,117","249,404",,
Bedford,"3,610.7","2,866,863","3,010,206","2,436,834","2,306,699","3,010,206","7,479,772",,
Belmont,"1,178.7","3,961,612","4,159,693","4,422,622","4,186,439","4,186,439","1,521,587",,
Bennington,247.3,"938,898","985,843","1,214,189","1,149,347","1,149,347","251,231",,
