,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
(Greater of School Year 2020 & 2021) ",Base Adequacy Aid," 2019-2020 
 F&R Membership "," 2020-2021 
 F&R Membership "," F&R ADM
(Greater of School Year 2020 & 2021) ",Free or Reduced Differentiated Aid," 2019-2020 
SPED Membership "," 2020-2021 
SPED Membership "," SPED ADM
(Greater of School Year 2020 & 2021) ",Special Education Differentiated Aid," 2019-2020 
ELL Membership "," 2020-2021 
ELL Membership "," ELL
ADM
(Greater of School Year 2020 & 2021) ",ELL Differentiated Aid," 2018-2019
3rd Grade Reading Membership "," 2020-2021 
3rd Grade Reading Membership "," 3rd Grade
ADM
(Greater of School Year 2020 & 2021) ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
Over 48.00% F&R = $600 Grant Per F&R Pupil
Between 12% & 48% = Sliding Scale Grant of $0.125 Per .01%
Total Grant Proprated Up/Down To $17.5 Million
(No Excess SWEPT Town Appears Eligible At This Time)",,,,,,,,
,,,,,ADM,ADM,ADM,"$3,786.66 ",ADM,ADM,ADM,"$1,893.32 ",ADM,ADM,ADM,"$2,037.11 ",ADM,ADM,ADM,$740.87 ,ADM,ADM,ADM,$740.87 ,,,% of F&R Eligible Pupils,"17,500,000",,,,,,,
,,,Loc #,State Total,"167,284.28","160,380.09","167,498.58","634,260,168.69","45,684.59","38,774.26","45,985.18","87,064,662.02","29,374.16","29,714.66","30,151.61","61,422,151.60","4,970.88","4,644.79","5,069.05","3,755,507.18","2,289.49","2,483.07","2,815.40","2,085,841.75","788,588,331.24","363,283,230",,"19,654,161.86","17,500,000","467,355,639.54","158,480,276","157,467,805.00","531,414,149.17","624,823,444.62","988,106,669.62"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Acworth,91.78,86.29,91.78,"347,545.33",46.91,34.71,46.91,"88,821.13",18.78,21.68,21.68,"44,159.66", -   , -   , -   , -   , -   ,1,1,740.87,"481,266.99","180,769",51.11%,"28,147.74","25,062.65","325,560.64","245,385.00","245,385.00","469,255.26","570,945.64","751,714.64"
5,Albany,TRUE,5,Albany,97.42,89.29,97.42,"368,905.13",41.08,29.83,41.08,"77,779.86",17.02,15,17.02,"34,664.69", -   , -   , -   , -   ,3,1,3,"2,222.61","483,572.29","219,219",42.17%,"21,654.93","19,281.48","283,634.77","315,427.00","315,427.00","499,462.73","599,061.77","818,280.77"
7,Alexandria,TRUE,7,Alexandria,219.39,190.71,219.39,"830,741.33",63.09,40.05,63.09,"119,451.07",29.68,28.56,29.68,"60,464.89",2,1.01,2,"1,481.74",4,4,4,"2,963.48","1,015,102.51","397,898",28.76%,"22,681.14","20,195.21","637,399.72","283,426.00","283,426.00","722,997.98","920,825.72","1,318,723.72"
9,Allenstown,TRUE,9,Allenstown,524.29,479.51,524.29,"1,985,323.12",216.32,211.76,216.32,"409,561.85",99.9,95.88,99.9,"203,498.73",7,9.23,9.23,"6,834.53",8,7,8,"5,926.96","2,611,145.19","596,805",41.26%,"111,566.73","99,338.64","2,113,678.83","2,229,085.00","2,229,085.00","3,920,338.53","4,342,763.83","4,939,568.83"
11,Alstead,TRUE,11,Alstead,202.36,190.05,202.36,"766,255.26",85.17,75.25,85.17,"161,261.07",40.54,36.42,40.54,"82,590.35", -   , -   , -   , -   ,1,3,3,"2,222.61","1,012,329.29","334,573",42.09%,"44,812.01","39,900.46","717,656.75","721,271.00","721,271.00","1,235,115.14","1,438,927.75","1,773,500.75"
15,Alton,TRUE,15,Alton,617.09,610.86,617.09,"2,336,691.46",143.22,132.77,143.22,"271,162.24",118.19,116.88,118.19,"240,764.81", -   , -   , -   , -   ,11,11,11,"8,149.57","2,856,768.08","3,602,058",23.21%, -   , -   , -   , -   , -   ,0, -   ,"3,602,058.00"
17,Amherst,TRUE,17,Amherst,"1,828.94","1,762.71","1,828.94","6,925,589.47",97.1,99.58,99.58,"188,530.18",266.32,272.27,272.27,"554,644.55",16.28,12.97,16.28,"12,063.59",27.73,28,28,"20,744.36","7,701,572.15","3,672,792",5.44%, -   , -   ,"4,028,780.15", -   , -   ,"3,534,133.15","4,028,780.15","7,701,572.15"
19,Andover,TRUE,19,Andover,309.46,298.15,309.46,"1,171,809.96",101.63,65.29,101.63,"192,411.48",54.26,60.17,60.17,"122,570.06", -   , -   , -   , -   ,3,5,5,"3,704.35","1,490,495.85","534,415",32.84%,"41,717.68","37,145.28","993,226.13","212,449.00","212,449.00","942,157.66","1,205,675.13","1,740,090.13"
21,Antrim,TRUE,21,Antrim,305.58,294.95,305.58,"1,157,115.82",102.98,97.16,102.98,"194,974.66",65.37,70.66,70.66,"143,945.45",3,3,3,"2,222.61",3,6,6,"4,445.22","1,502,703.76","499,931",33.70%,"43,380.45","38,625.81","1,041,398.57","1,207,389.00","1,207,389.00","1,969,563.53","2,248,787.57","2,748,718.57"
23,Ashland,TRUE,23,Ashland,217.22,231.48,231.48,"876,541.36",85.45,74.21,85.45,"161,786.47",35.28,37.83,37.83,"77,073.24",1, -   ,1,740.87, -   ,3,3,"2,222.61","1,118,364.55","465,725",36.91%,"39,425.05","35,103.93","687,743.48","275,155.00","275,155.00","782,767.22","962,898.48","1,428,623.48"
27,Atkinson,TRUE,27,Atkinson,736.17,710.94,736.17,"2,787,628.52",36.98,13.01,36.98,"70,013.84",125.93,124.5,125.93,"256,532.04",4,2,4,"2,963.48",12.59,20.54,20.54,"15,215.69","3,132,353.57","2,167,525",5.02%, -   , -   ,"964,828.57", -   , -   ,"808,658.67","964,828.57","3,132,353.57"
