"Breakdown For Towns That Are Part of Two School Districts, FY 2022",,,,,,,
,,,,,,,
Dist,Loc,District/Town,,,Adequacy Grant,"SWEPT  Grant
(Retained $1.825 State Tax)",Total Adequacy & SWEPT Grant
,,,,,,,
,,,,,,,
,,,,,,,
17,17,Amherst School District                     ,,,"2,723,455.38","2,477,298.00","5,200,753.38"
23,23,Ashland School District                      ,,,"717,166.79","333,273.00","1,050,439.79"
53,53,Bethlehem  School District                      ,,,"629,904.96","268,230.00","898,134.96"
63,63,Brentwood School District                      ,,,"797,846.97","491,050.00","1,288,896.97"
71,71,Brookline  School District    ,,,"2,178,665.93","619,234.00","2,797,899.93"
75,75,Campton School District                    ,,,"1,331,783.42","532,171.00","1,863,954.42"
142,233,Dresden (Hanover),,,"122,670.08","2,275,253.00","2,397,923.08"
153,153,East Kingston School District          ,,,"314,272.24","266,934.00","581,206.24"
 -   ,,,,,,,
172,63,Exeter Reg Coop (Brentwood),,,"1,122,362.34","742,744.00","1,865,106.34"
172,153,Exeter Reg Coop (East Kingston),,,"465,172.81","425,862.00","891,034.81"
172,173,Exeter Reg Coop (Exeter),,,"2,542,703.03","2,475,817.00","5,018,520.03"
172,281,Exeter Reg Coop (Kensington),,,"302,580.54","382,966.00","685,546.54"
172,387,Exeter Reg Coop (Newfields),,,"284,627.14","300,428.00","585,055.14"
172,511,Exeter Regional Coop (Stratham),,,"1,284,314.95","1,670,002.00","2,954,316.95"
Exeter Reg Coop Total,,,,,"6,001,760.81","5,997,819.00","11,999,579.81"
 -   ,,,,,,,
173,173,Exeter  School District                 ,,,"2,026,394.95","1,857,837.00","3,884,231.95"
225,225,Hampton School District    ,,, -   ,"4,557,805.00","4,557,805.00"
227,227,Hampton Falls School District                ,,,"223,310.74","638,263.00","861,573.74"
233,233,Hanover School District                          ,,,"136,619.87","2,307,332.00","2,443,951.87"
245,245,Henniker School District               ,,,"1,870,289.54","642,329.00","2,512,618.54"
257,257,Holderness School District               ,,, -   ,"1,100,471.00","1,100,471.00"
259,259,Hollis School District               ,,,"1,216,850.70","1,378,901.00","2,595,751.70"
 -   ,,,,,,,
260,71,Hollis/Brookline Coop (Brookline),,,"2,095,742.41","641,679.00","2,737,421.41"
260,259,Hollis/Brookline Coop (Hollis),,,"1,191,800.72","1,424,313.00","2,616,113.72"
Holls/Brookline CoopTotal,,,,,"3,287,543.13","2,065,992.00","5,353,535.13"
,,,,,,,
275,245,John Stark Reg (Henniker),,,"622,765.03","236,611.00","859,376.03"
275,555,John Stark Reg (Weare),,,"2,485,776.26","644,261.00","3,130,037.26"
John Stark Reg Total,,,,,"3,108,541.29","880,872.00","3,989,413.29"
,,,,,,,
281,281,Kensington School District               ,,,"262,568.02","346,355.00","608,923.02"
,,,,,,,
288,155,Lafayette Reg School District (Easton)                        ,,, -   ,"93,116.00","93,116.00"
288,183,Lafayette Reg School District (Franconia)                        ,,, -   ,"277,821.00","277,821.00"
288,512,Lafayette Reg School District (Sugar Hill)                        ,,, -   ,"145,709.00","145,709.00"
Lafayette Reg Total,,,,, -   ,"516,646.00","516,646.00"
,,,,,,,
367,367,Mont Vernon School District    ,,,"891,251.14","380,496.00","1,271,747.14"
