,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"District
Public School
Adequacy

SFY 2024",,Calculated Cost of an Adequate Education,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Extraordinary Needs",Additional Aid Continued ,,,Adequacy Grant,,Final Total State Grant,,,,,,,,,,,,,,,
,,,,,Base Adequacy,,,,Special Education Aid,,English Language Learner Aid,,Total Calculated Cost of an Adequate Education,,Extraordinary Grant,,,,,November 2022 Grant Estimate of FY 2024,104 Percent of the November 2022 Grant Estimate for FY 2024,"Hold Harmless Grant

(Ensures a District Receives At least 104 percent of the 11/15/22 estimate. "," Adequacy Grant = Cost of an Adequacy Education, Minus SWEPT, Plus Extraordinary Needs Grant, Plus Hold Harmless Grant ",,"   
Adequacy Grant

&

SWEPT Grant",,,,,,,,,,,,,,,
,From EOY Data Excl Charter And OOS,,,, 2022-2023 Membership ,Base Adequacy Aid," 2022-2023
 F&R Membership ",Free or Reduced Differentiated Aid," 2022-2023
SPED Membership ",Special Education Differentiated Aid," 2022-2023
ELL Membership ",ELL Differentiated Aid,,,Equalized Valuation,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $8,500 per F&R for EVFRP Under $1.6 million and $0 for EVFRP over $6.6 million",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADM,"$4,100.00 ",ADM,"$2,300.00 ",ADM,"$2,100.00 ",ADM,$800.00 ,,,,EV Per F&R,Aid Per F&R ADMR,Total,,,104.00%,,,,,,,,,,,,,,,,,,,
,,,Loc #,State Total,"157,396.84","645,327,039.49 ","41,665.69","95,831,076.88 ","30,963.11 ","65,022,521.55 ","5,127.48","4,101,986.56 "," 810,282,624.48 "," 363,786,975 ","264,083,787,588",,," $178,655,456.60 "," 651,484,993.35 "," 598,639,134.52 "," 622,584,699.90 "," 49,995,831.66 "," 701,480,824.97 ",,"1,065,267,799.97 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Acworth, 90.21 ," 369,865.10 ", 32.24 ," 74,149.24 ", 20.00 ," 42,000.00 ", -   , -   ," 486,014.34 "," 221,350 "," 158,509,549.35 "," 4,916,732.30 "," 2,861.56 "," 92,253.10 "," 356,917.44 "," 469,404.31 "," 488,180.48 ","131,263.04"," 488,180.48 ",," 709,530.48 ",,,,,,,,,,,,,,,
5,Albany,TRUE,5,Albany, 71.88 ," 294,694.88 ", 35.42 ," 81,468.99 ", 15.73 ," 33,039.93 ", -   , -   ," 409,203.80 "," 236,874 "," 168,991,486.75 "," 4,770,900.19 "," 3,109.47 "," 110,141.46 "," 282,471.26 "," 501,333.96 "," 521,387.32 ","238,916.06"," 521,387.32 ",," 758,261.32 ",,,,,,,,,,,,,,,
7,Alexandria,TRUE,7,Alexandria, 181.90 ," 745,785.90 ", 54.21 ," 124,679.09 ", 30.22 ," 63,458.01 ", 1.00 , 800.00 ," 934,723.00 "," 412,113 "," 299,526,882.98 "," 5,525,480.10 "," 1,826.68 "," 99,021.42 "," 621,631.42 "," 716,324.71 "," 744,977.70 ","123,346.28"," 744,977.70 ",," 1,157,090.70 ",,,,,,,,,,,,,,,
9,Allenstown,TRUE,9,Allenstown, 483.02 ," 1,980,363.96 ", 224.05 ," 515,323.51 ", 105.14 ," 220,795.47 ", 11.00 ," 8,800.00 "," 2,725,282.94 "," 648,055 "," 461,588,271.85 "," 2,060,168.04 "," 7,717.71 "," 1,729,182.45 "," 3,806,410.39 "," 4,313,608.12 "," 4,486,152.44 ","679,742.05"," 4,486,152.44 ",," 5,134,207.44 ",,,,,,,,,,,,,,,
11,Alstead,TRUE,11,Alstead, 164.36 ," 673,879.69 ", 80.31 ," 184,711.85 ", 39.80 ," 83,580.00 ", -   , -   ," 942,171.54 "," 308,456 "," 220,312,711.92 "," 2,743,295.77 "," 6,556.40 "," 526,540.98 "," 1,160,256.52 "," 1,403,997.15 "," 1,460,157.04 ","299,900.52"," 1,460,157.04 ",," 1,768,613.04 ",,,,,,,,,,,,,,,
15,Alton,TRUE,15,Alton, 570.03 ," 2,337,119.31 ", 114.22 ," 262,705.31 ", 132.01 ," 277,230.24 ", -   , -   ," 2,877,054.86 "," 3,766,908 "," 2,630,566,834.12 "," 23,030,762.94 ", -   , -   , -   , -   , -   ,0.00, -   ,," 3,766,908.00 ",,,,,,,,,,,,,,,
17,Amherst,TRUE,17,Amherst," 1,826.29 "," 7,487,802.12 ", 114.31 ," 262,910.01 ", 305.53 ," 641,616.99 ", 13.54 ," 10,829.92 "," 8,403,159.04 "," 3,568,268 "," 2,546,288,152.78 "," 22,275,541.17 ", -   , -   ," 4,834,891.04 "," 4,212,115.74 "," 4,380,600.37 ",0.00," 4,834,891.04 ",," 8,403,159.04 ",,,,,,,,,,,,,,,
19,Andover,TRUE,19,Andover, 267.09 ," 1,095,073.92 ", 82.78 ," 190,382.50 ", 64.79 ," 136,049.13 ", -   , -   ," 1,421,505.55 "," 521,697 "," 398,479,177.98 "," 4,814,003.96 "," 3,036.19 "," 251,320.90 "," 1,151,129.45 "," 1,018,250.18 "," 1,058,980.19 ",0.00," 1,151,129.45 ",," 1,672,826.45 ",,,,,,,,,,,,,,,
21,Antrim,TRUE,21,Antrim, 281.06 ," 1,152,361.99 ", 80.74 ," 185,704.76 ", 71.12 ," 149,353.47 ", 2.00 ," 1,600.00 "," 1,489,020.22 "," 497,520 "," 382,434,077.62 "," 4,736,541.91 "," 3,167.88 "," 255,778.33 "," 1,247,278.55 "," 2,062,513.05 "," 2,145,013.57 ","897,735.02"," 2,145,013.57 ",," 2,642,533.57 ",,,,,,,,,,,,,,,
23,Ashland,TRUE,23,Ashland, 213.98 ," 877,309.39 ", 68.71 ," 158,043.81 ", 33.19 ," 69,702.57 ", 1.59 ," 1,275.36 "," 1,106,331.13 "," 541,572 "," 387,010,889.08 "," 5,632,141.14 "," 1,645.36 "," 113,060.42 "," 677,819.55 "," 783,972.32 "," 815,331.21 ","137,511.66"," 815,331.21 ",," 1,356,903.21 ",,,,,,,,,,,,,,,
27,Atkinson,TRUE,27,Atkinson, 683.71 ," 2,803,220.84 ", 30.64 ," 70,467.17 ", 125.68 ," 263,935.98 ", 2.00 ," 1,600.00 "," 3,139,223.99 "," 2,218,437 "," 1,557,517,006.57 "," 50,836,284.69 ", -   , -   ," 920,786.99 "," 645,760.17 "," 671,590.58 ",0.00," 920,786.99 ",," 3,139,223.99 ",,,,,,,,,,,,,,,
29,Auburn,TRUE,29,Auburn, 910.07 ," 3,731,278.80 ", 50.56 ," 116,280.41 ", 119.23 ," 250,392.45 ", 10.56 ," 8,445.44 "," 4,106,397.10 "," 1,697,281 "," 1,193,449,444.56 "," 23,606,157.93 ", -   , -   ," 2,409,116.10 "," 2,271,363.36 "," 2,362,217.89 ",0.00," 2,409,116.10 ",," 4,106,397.10 ",,,,,,,,,,,,,,,
31,Barnstead,TRUE,31,Barnstead, 641.94 ," 2,631,938.83 ", 178.22 ," 409,916.12 ", 138.47 ," 290,776.92 ", -   , -   ," 3,332,631.87 "," 1,164,782 "," 825,578,026.93 "," 4,632,239.06 "," 3,345.19 "," 596,195.12 "," 2,764,044.99 "," 2,897,182.28 "," 3,013,069.57 ","249,024.58"," 3,013,069.57 ",," 4,177,851.57 ",,,,,,,,,,,,,,,
33,Barrington,TRUE,33,Barrington," 1,367.82 "," 5,608,073.48 ", 161.55 ," 371,565.00 ", 279.74 ," 587,461.98 ", 5.50 ," 4,402.24 "," 6,571,502.70 "," 2,159,419 "," 1,528,161,686.34 "," 9,459,372.87 ", -   , -   ," 4,412,083.70 "," 4,715,737.65 "," 4,904,367.16 ","492,283.46"," 4,904,367.16 ",," 7,063,786.16 ",,,,,,,,,,,,,,,
35,Bartlett,TRUE,35,Bartlett, 224.45 ," 920,261.40 ", 72.53 ," 166,826.13 ", 45.96 ," 96,517.89 ", -   , -   ," 1,183,605.42 "," 2,507,966 "," 1,758,884,640.06 "," 24,249,406.69 ", -   , -   , -   , -   , -   ,0.00, -   ,," 2,507,966.00 ",,,,,,,,,,,,,,,
39,Bath,TRUE,39,Bath, 120.89 ," 495,633.83 ", 28.73 ," 66,077.39 ", 23.02 ," 48,350.61 ", -   , -   ," 610,061.83 "," 195,990 "," 168,535,971.23 "," 5,866,344.51 "," 1,247.21 "," 35,831.59 "," 449,903.42 "," 640,212.75 "," 665,821.26 ","215,917.84"," 665,821.26 ",," 861,811.26 ",,,,,,,,,,,,,,,
41,Bedford,TRUE,41,Bedford," 3,989.53 "," 16,357,064.80 ", 253.46 ," 582,961.45 ", 617.21 ," 1,296,133.65 ", 79.30 ," 63,440.24 "," 18,299,600.14 "," 7,614,828 "," 5,374,110,890.20 "," 21,202,868.64 ", -   , -   ," 10,684,772.14 "," 9,727,478.59 "," 10,116,577.73 ",0.00," 10,684,772.14 ",," 18,299,600.14 ",,,,,,,,,,,,,,,
43,Belmont,TRUE,43,Belmont, 907.60 ," 3,721,150.16 ", 328.36 ," 755,219.49 ", 181.77 ," 381,718.26 ", 7.10 ," 5,680.88 "," 4,863,768.79 "," 1,599,682 "," 1,132,497,557.08 "," 3,448,989.88 "," 5,356.72 "," 1,758,911.84 "," 5,022,998.63 "," 4,434,754.40 "," 4,612,144.58 ",0.00," 5,022,998.63 ",," 6,622,680.63 ",,,,,,,,,,,,,,,
45,Bennington,TRUE,45,Bennington, 197.53 ," 809,857.83 ", 63.41 ," 145,841.39 ", 59.06 ," 124,017.81 ", -   , -   ," 1,079,717.03 "," 253,502 "," 182,770,143.78 "," 2,882,387.03 "," 6,319.94 "," 400,743.10 "," 1,226,958.13 "," 1,277,040.15 "," 1,328,121.76 ","101,163.63"," 1,328,121.76 ",," 1,581,623.76 ",,,,,,,,,,,,,,,
47,Benton,TRUE,47,Benton, 20.13 ," 82,512.50 ", 11.13 ," 25,587.50 ", 9.00 ," 18,900.00 ", -   , -   ," 127,000.00 "," 47,739 "," 34,722,799.66 "," 3,121,150.53 "," 5,914.04 "," 65,793.74 "," 145,054.74 "," 129,544.34 "," 134,726.11 ",0.00," 145,054.74 ",," 192,793.74 ",,,,,,,,,,,,,,,
51,Berlin,TRUE,51,Berlin, 940.19 ," 3,854,772.85 ", 546.19 ," 1,256,227.11 ", 205.80 ," 432,189.87 ", 4.76 ," 3,805.68 "," 5,546,995.51 "," 658,906 "," 768,328,754.99 "," 1,406,717.08 "," 8,500.00 "," 4,642,578.45 "," 9,530,667.96 "," 10,453,466.90 "," 10,871,605.58 ","1,340,937.62"," 10,871,605.58 ",," 11,530,511.58 ",,,,,,,,,,,,,,,
53,Bethlehem,TRUE,53,Bethlehem, 254.78 ," 1,044,594.72 ", 79.60 ," 183,079.08 ", 48.46 ," 101,759.49 ", 1.00 , 800.00 ," 1,330,233.29 "," 572,331 "," 409,335,796.89 "," 5,142,435.35 "," 2,477.86 "," 197,236.66 "," 955,138.95 "," 1,203,989.05 "," 1,252,148.61 ","297,009.66"," 1,252,148.61 ",," 1,824,479.61 ",,,,,,,,,,,,,,,
55,Boscawen,TRUE,55,Boscawen, 464.45 ," 1,904,251.56 ", 160.66 ," 369,527.89 ", 113.80 ," 238,975.80 ", 2.00 ," 1,600.00 "," 2,514,355.25 "," 530,707 "," 386,372,813.34 "," 2,404,845.47 "," 7,131.76 "," 1,145,819.66 "," 3,129,467.91 "," 3,066,101.87 "," 3,188,745.94 ","59,278.03"," 3,188,745.94 ",," 3,719,452.94 ",,,,,,,,,,,,,,,
57,Bow,TRUE,57,Bow," 1,428.07 "," 5,855,083.31 ", 87.20 ," 200,563.68 ", 213.51 ," 448,376.04 ", 10.12 ," 8,093.36 "," 6,512,116.39 "," 2,124,000 "," 1,598,425,798.36 "," 18,330,234.75 ", -   , -   ," 4,388,116.39 "," 4,309,246.31 "," 4,481,616.16 ","93,499.77"," 4,481,616.16 ",," 6,605,616.16 ",,,,,,,,,,,,,,,
59,Bradford,TRUE,59,Bradford, 199.27 ," 817,004.54 ", 44.18 ," 101,607.10 ", 38.76 ," 81,387.18 ", -   , -   ," 999,998.82 "," 445,462 "," 315,397,671.99 "," 7,139,409.01 ", -   , -   ," 554,536.82 "," 759,414.80 "," 789,791.39 ","235,254.57"," 789,791.39 ",," 1,235,253.39 ",,,,,,,,,,,,,,,
63,Brentwood,TRUE,63,Brentwood, 644.62 ," 2,642,947.74 ", 38.08 ," 87,591.59 ", 128.13 ," 269,079.93 ", 4.00 ," 3,200.00 "," 3,002,819.26 "," 1,272,301 "," 921,291,902.38 "," 24,191,493.45 ", -   , -   ," 1,730,518.26 "," 1,554,460.35 "," 1,616,638.76 ",0.00," 1,730,518.26 ",," 3,002,819.26 ",,,,,,,,,,,,,,,
65,Bridgewater,TRUE,65,Bridgewater, 84.00 ," 344,387.29 ", 25.24 ," 58,041.65 ", 10.70 ," 22,470.00 ", -   , -   ," 424,898.94 "," 900,521 "," 636,591,868.95 "," 25,226,045.41 ", -   , -   , -   , -   , -   ,0.00, -   ,," 900,521.00 ",,,,,,,,,,,,,,,
67,Bristol,TRUE,67,Bristol, 342.73 ," 1,405,195.87 ", 134.10 ," 308,432.99 ", 47.07 ," 98,846.37 ", -   , -   ," 1,812,475.23 "," 1,092,716 "," 788,413,093.76 "," 5,879,235.28 "," 1,225.30 "," 164,314.33 "," 884,073.56 "," 855,142.35 "," 889,348.04 ","5,274.48"," 889,348.04 ",," 1,982,064.04 ",,,,,,,,,,,,,,,
69,Brookfield,TRUE,69,Brookfield, 73.93 ," 303,122.43 ", 18.79 ," 43,216.31 ", 6.00 ," 12,600.00 ", -   , -   ," 358,938.74 "," 224,069 "," 157,809,177.25 "," 8,398,706.59 ", -   , -   ," 134,869.74 "," 209,001.78 "," 217,361.85 ","82,492.11"," 217,361.85 ",," 441,430.85 ",,,,,,,,,,,,,,,
71,Brookline,TRUE,71,Brookline," 1,091.13 "," 4,473,620.70 ", 53.81 ," 123,753.11 ", 187.82 ," 394,431.87 ", 8.77 ," 7,017.12 "," 4,998,822.80 "," 1,260,886 "," 889,260,490.01 "," 16,527,254.36 ", -   , -   ," 3,737,936.80 "," 4,204,790.90 "," 4,372,982.54 ","635,045.74"," 4,372,982.54 ",," 5,633,868.54 ",,,,,,,,,,,,,,,
