,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Breakdown For Towns That Are Part of Two School Districts, FY 2024",,,,,,,,,,,,,,,,,,,,,
Dist,Loc,District/Town,,, Adequacy Grant,SWEPT Grant (Retained $1.44 State Ed Tax,Total Adequacy & SWEPT Grant,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
17,17,Amherst School District                     ,,," 3,293,527.78 "," 2,435,700.00 "," 5,729,227.78 ",,,,,,,,,,,,,,
23,23,Ashland School District                      ,,," 631,881.69 "," 404,392.00 "," 1,036,273.69 ",,,,,,,,,,,,,,
53,53,Bethlehem  School District                      ,,," 690,685.17 "," 312,779.00 "," 1,003,464.17 ",,,,,,,,,,,,,,
63,63,Brentwood School District                      ,,," 775,618.28 "," 548,998.00 "," 1,324,616.28 ",,,,,,,,,,,,,,
71,71,Brookline  School District    ,,," 2,329,925.10 "," 651,248.00 "," 2,981,173.10 ",,,,,,,,,,,,,,
75,75,Campton School District                    ,,," 1,275,605.60 "," 637,725.00 "," 1,913,330.60 ",,,,,,,,,,,,,,
142,233,Dresden (Hanover),,,,, -   ,,,,,,,,,,,,,,
153,153,East Kingston School District          ,,," 340,194.05 "," 287,475.00 "," 627,669.05 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
172,63,Exeter Reg Coop (Brentwood),,," 954,899.98 "," 723,303.00 "," 1,678,202.98 ",,,,,,,,,,,,,,
172,153,Exeter Reg Coop (East Kingston),,," 418,998.20 "," 369,912.00 "," 788,910.20 ",,,,,,,,,,,,,,
172,173,Exeter Reg Coop (Exeter),,," 2,599,201.57 "," 2,305,192.00 "," 4,904,393.57 ",,,,,,,,,,,,,,
172,281,Exeter Reg Coop (Kensington),,," 281,502.09 "," 351,619.00 "," 633,121.09 ",,,,,,,,,,,,,,
172,387,Exeter Reg Coop (Newfields),,," 293,452.74 "," 289,399.00 "," 582,851.74 ",,,,,,,,,,,,,,
172,511,Exeter Regional Coop (Stratham),,," 1,125,058.23 "," 1,508,265.00 "," 2,633,323.23 ",,,,,,,,,,,,,,
,,,,," 5,673,112.81 "," 5,547,690.00 "," 11,220,802.81 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
173,173,Exeter  School District                 ,,," 2,162,112.90 "," 1,802,420.00 "," 3,964,532.90 ",,,,,,,,,,,,,,
225,225,Hampton School District    ,,, -   ," 4,617,967.00 "," 4,617,967.00 ",,,,,,,,,,,,,,
227,227,Hampton Falls School District                ,,," 258,792.78 "," 606,101.00 "," 864,893.78 ",,,,,,,,,,,,,,
233,233,Hanover School District                          ,,," 792,932.78 "," 4,109,734.00 "," 4,902,666.78 ",,,,,,,,,,,,,,
245,245,Henniker School District               ,,," 1,859,500.07 "," 644,994.00 "," 2,504,494.07 ",,,,,,,,,,,,,,
257,257,Holderness School District               ,,, -   ," 1,081,515.00 "," 1,081,515.00 ",,,,,,,,,,,,,,
259,259,Hollis School District               ,,," 1,496,344.70 "," 1,438,457.00 "," 2,934,801.70 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
260,71,Hollis/Brookline Coop (Brookline),,," 2,043,057.44 "," 609,638.00 "," 2,652,695.44 ",,,,,,,,,,,,,,
260,259,Hollis/Brookline Coop (Hollis),,," 1,351,665.76 "," 1,363,913.00 "," 2,715,578.76 ",,,,,,,,,,,,,,
,,,,," 3,394,723.20 "," 1,973,551.00 "," 5,368,274.20 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
275,245,John Stark Reg (Henniker),,," 722,780.26 "," 278,405.00 "," 1,001,185.26 ",,,,,,,,,,,,,,
275,555,John Stark Reg (Weare),,," 2,358,052.82 "," 604,708.00 "," 2,962,760.82 ",,,,,,,,,,,,,,
,,,,," 3,080,833.08 "," 883,113.00 "," 3,963,946.08 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
281,281,Kensington School District               ,,," 262,148.14 "," 356,576.00 "," 618,724.14 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
288,155,Lafayette Reg School District (Easton)                        ,,, -   ," 80,729.00 "," 80,729.00 ",,,,,,,,,,,,,,
