,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"District
Public School
Adequacy

SFY 2025",,Calculated Cost of an Adequate Education,,,,,,,,,,,"Statewide Education Property Tax (SWEPT)

($1.220 Equalized Tax)",Additional Aid,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Extraordinary Needs",Hold Harmless 104% of 2024,,,Hold Harmless 95% of 2025,,Adequacy Grant,,Final Total State Grant,,,,,,,,,
,,,,,Base Adequacy,,,,Special Education Aid,,English Language Learner Aid,,Home Education Aid,,Total Calculated Cost of an Adequate Education,,Extraordinary Grant,,,,,November 2022 Grant Estimate of FY 2024,104 Percent of the November 2022 Grant Estimate for FY 2024,"Hold Harmless Grant

(Ensures a District Receives At least 104 percent of the 11/15/22 estimate. ",Districts Guaranteed 95% of November 2023 Estiamte of FY 2025,95 Percent Hold Harmless," Adequacy Grant = Cost of an Adequacy Education, Minus SWEPT, Plus Extraordinary Needs Grant, Plus Hold Harmless Grant ",,"   
Adequacy Grant

&

SWEPT Grant",,,,,,,,,
,From EOY Data Excl Charter And OOS,,,, 2023-2024 Membership ,Base Adequacy Aid," 2023-2024
 F&R Membership ",Free or Reduced Differentiated Aid," 2023-2024
SPED Membership ",Special Education Differentiated Aid," 2023-2024
ELL Membership ",ELL Differentiated Aid,"2023-2024
Home Education Membership",Home Education Aid,,,Equalized Valuation,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $8,670 per F&R for EVFRP Under $1.632 million and $0 for EVFRP over $6.732 million",,Extraordinary Needs Grant Award,,,,,,,,,,,                                   ,,,,,,,
,,,,,ADM,"$4,182.00 ",ADM,"$2,346.00 ",ADM,"$2,142.00 ",ADM,$816.00 ,ADM,"$4,182.00 ",,,,EV Per F&R,Aid Per F&R ADMR,Total,,,104.00%,,,,,,,,,,,,,,,
,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Acworth, 93.52 ," 391,086.42 ", 32.01 ," 75,098.04 ", 20.00 ," 42,840.00 ", -   , -   , -   , -   ," 509,024.46 "," 194,093 "," 164,192,007.88 "," 5,129,221.05 "," 2,724.72 "," 87,221.42 "," 402,152.88 "," 469,404.31 "," 488,180.48 ","86,027.60","488,180.48", -   ," 488,180.48 ",," 682,273.48 ",,,,,,,,,
5,Albany,TRUE,5,Albany, 69.56 ," 290,904.52 ", 36.09 ," 84,664.56 ", 16.67 ," 35,711.85 ", -   , -   , -   , -   ," 411,280.93 "," 228,375 "," 191,650,688.44 "," 5,310,516.21 "," 2,416.52 "," 87,209.64 "," 270,115.57 "," 501,333.96 "," 521,387.32 ","251,271.75","521,387.32", -   ," 521,387.32 ",," 749,762.32 ",,,,,,,,,
7,Alexandria,TRUE,7,Alexandria, 188.11 ," 786,680.62 ", 61.08 ," 143,290.16 ", 31.03 ," 66,462.19 ", 2.00 ," 1,632.00 ", -   , -   ," 998,064.97 "," 424,211 "," 369,943,351.57 "," 6,056,850.64 "," 1,147.75 "," 70,103.09 "," 643,957.06 "," 716,324.71 "," 744,977.70 ","101,020.64","744,977.70", -   ," 744,977.70 ",," 1,169,188.70 ",,,,,,,,,
9,Allenstown,TRUE,9,Allenstown, 481.18 ," 2,012,309.82 ", 189.96 ," 445,645.46 ", 105.58 ," 226,143.36 ", 7.00 ," 5,712.00 ", -   , -   ," 2,689,810.64 "," 636,500 "," 531,993,149.48 "," 2,800,557.96 "," 6,683.45 "," 1,269,586.44 "," 3,322,897.08 "," 4,313,608.12 "," 4,486,152.44 ","1,163,255.36","4,486,152.44", -   ," 4,486,152.44 ",," 5,122,652.44 ",,,,,,,,,
11,Alstead,TRUE,11,Alstead, 159.58 ," 667,353.94 ", 71.12 ," 166,852.68 ", 39.61 ," 84,847.19 ", -   , -   , -   , -   ," 919,053.81 "," 346,448 "," 291,524,014.57 "," 4,098,917.28 "," 4,476.24 "," 318,360.08 "," 890,965.89 "," 1,403,997.15 "," 1,460,157.04 ","569,191.15","1,460,157.04", -   ," 1,460,157.04 ",," 1,806,605.04 ",,,,,,,,,
