"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
Over 48.00% F&R = $600 Grant Per F&R Pupil
Between 12% & 48% = Sliding Scale Grant of $0.125 Per .01%
Total Grant Proprated Up/Down To $17.5 Million
(No Excess SWEPT Town Appears Eligible At This Time)",,,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $650 per F&R for EVFRP Under $1 million and  $0 for EVFRP over $6 million",,Accountability Plan Required?,"Accountability Plan Received?

",,,,,,,,,,,
,,ADM,"$3,786.66 ",19-20 ADM,19-20 F&R,19-20 F&R%,ADM,ADM,,"$1,893.32 ",ADM,"$2,037.11 ",ADM,$740.87 ,ADM,$740.87 ,,,% of F&R Eligible Pupils,"17,500,000",,EV Per F&R,Total,,,,,,,,,,,,,
Loc #,State Total,"159,396.57","603,580,626.69","167,284.28","45,684.59",,"43,307.51","37,134.40","43,507.37","82,373,373.77","30,388.62","61,904,967.57","4,851.84","3,594,579.89","2,680.55","1,985,941.05","753,439,488.97","263,098,498",,"18,875,405.02","17,500,000",,"$14,318,853.93 ",108,,"533,139,480.11","796,237,979.11","363,632,069.00","16,345,024.38","158,475,445","157,965,052.00","656,969,128.40","70,024.34","707,519,580.86",,"970,618,079.86"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Acworth,81.37,"308,136.43",91.78,46.91,51.11%,41.59,32.25,41.59,"78,743.18",18.79,"38,275.06", -   , -   ,1,740.87,"425,895.54","129,226",51.11%,"24,954.00","23,135.66","2,621,114.92","18,268.62", Required , Yes ,"338,073.82","467,299.82","178,606.00", -   ,"245,385.00","245,385.00","528,907.66",,"583,458.82",,"712,684.82"
5,Albany,82.69,"313,123.46",97.42,41.08,42.17%,34.87,31.52,34.87,"66,020.07",16,"32,589.48", -   , -   ,1.73,"1,280.08","413,013.09","157,935",42.17%,"18,380.85","17,041.48","3,740,264.53","10,243.61", Required , Yes ,"282,363.18","440,298.18","218,284.00", -   ,"315,427.00","315,427.00","557,124.88",,"597,790.18",,"755,725.18"
7,Alexandria,189.98,"719,379.82",219.39,63.09,28.76%,54.64,39.51,54.64,"103,451.00",27.03,"55,053.71",1.35,"1,000.17",2,"1,481.74","880,366.44","296,982",28.76%,"19,643.08","18,211.74","4,761,027.81","8,800.67", Required , Yes ,"610,396.84","907,378.84","410,463.00", -   ,"283,426.00","283,426.00","820,964.00",,"893,822.84",,"1,190,804.84"
9,Allenstown,477.46,"1,807,965.43",524.29,216.32,41.26%,197,149.85,197,"372,984.04",110.75,"225,608.30",9.44,"6,991.07",6.17,"4,572.80","2,418,121.64","446,852",41.26%,"101,602.75","94,199.20","1,896,063.45","105,101.82", Required , Yes ,"2,170,570.66","2,617,422.66","617,600.00", -   ,"2,229,085.00","2,229,085.00","4,064,344.47",,"4,399,655.66",,"4,846,507.66"
11,Alstead,190.44,"721,129.26",202.36,85.17,42.09%,80.16,60.29,80.16,"151,768.53",37.83,"77,069.78", -   , -   ,3,"2,222.61","952,190.18","234,355",42.09%,"42,174.18","39,101.05","2,435,756.25","37,142.27", Required , Yes ,"794,078.50","1,028,433.50","323,906.00", -   ,"721,271.00","721,271.00","1,404,094.88",,"1,515,349.50",,"1,749,704.50"
15,Alton,590.08,"2,234,438.77",617.09,143.22,23.21%,136.96,123.88,136.96,"259,309.11",130.28,"265,387.76", -   , -   ,15.99,"11,849.77","2,770,985.41","2,686,142",23.21%,"39,735.52","36,840.09","16,029,767.78", -   ,  , N/A ,"121,683.50","2,807,825.50","3,712,554.00","904,728.50", -   , -   ,"975,091.40",,"1,026,412.00",,"3,712,554.00"
17,Amherst,"1,805.89","6,838,283.48","1,828.94",97.1,5.31%,95.89,98.37,98.37,"186,245.89",290.23,"591,222.08",12.94,"9,585.60",30.27,"22,426.21","7,647,763.26","2,684,927",5.45%, -   , -   ,"22,796,740.89", -   ,  , N/A ,"4,962,836.26","7,647,763.26","3,710,874.00", -   , -   , -   ,"4,785,560.65",,"4,962,836.26",,"7,647,763.26"
19,Andover,292.52,"1,107,673.03",309.46,101.63,32.84%,96.06,63.59,96.06,"181,872.32",68.39,"139,322.43", -   , -   ,1,740.87,"1,429,608.65","380,118",32.84%,"39,432.63","36,559.27","3,459,148.21","31,729.65", Required , Yes ,"1,117,779.57","1,497,897.57","525,366.00", -   ,"212,449.00","212,449.00","1,257,597.47",,"1,330,228.57",,"1,710,346.57"
21,Antrim,292.85,"1,108,913.54",305.58,102.98,33.70%,98.69,85.58,98.69,"186,851.75",74.35,"151,458.72",2,"1,481.74",6,"4,445.22","1,453,150.97","355,344",33.70%,"41,573.16","38,543.82","3,034,531.13","38,046.08", Required , Yes ,"1,174,396.87","1,529,740.87","491,126.00", -   ,"1,207,389.00","1,207,389.00","2,255,396.98",,"2,381,785.87",,"2,737,129.87"
23,Ashland,217.97,"825,380.93",217.22,85.45,39.34%,85.75,77.31,85.75,"162,352.19",35.09,"71,485.65",1.33,982.25,6,"4,445.22","1,064,646.24","362,653",39.34%,"42,167.56","39,094.91","3,509,884.34","27,758.56", Required , Yes ,"768,846.72","1,131,499.72","501,228.00", -   ,"275,155.00","275,155.00","994,655.09",,"1,044,001.72",,"1,406,654.72"
27,Atkinson,683.06,"2,586,512.57",736.17,36.98,5.02%,34.29,18.97,34.29,"64,921.94",123.71,"252,019.43",2,"1,481.74",20,"14,817.40","2,919,753.08","1,559,609",5.02%, -   , -   ,"37,437,923.73", -   ,  , N/A ,"1,360,144.08","2,919,753.08","2,155,557.00", -   , -   , -   ,"1,305,834.68",,"1,360,144.08",,"2,919,753.08"
29,Auburn,913.8,"3,460,264.68",918.86,49.21,5.36%,48.98,46.34,48.98,"92,734.81",125.94,"256,557.10",7.97,"5,901.03",26.89,"19,923.48","3,835,381.10","1,195,274",5.36%, -   , -   ,"19,773,438.29", -   ,  , N/A ,"2,640,107.10","3,835,381.10","1,652,005.00", -   ,"69,205.00","69,205.00","2,450,649.29",,"2,709,312.10",,"3,904,586.10"
31,Barnstead,666.85,"2,525,141.79",686.58,189.24,27.56%,183.78,162.19,183.78,"347,954.35",142.36,"290,005.22", -   , -   ,15.99,"11,845.77","3,174,947.13","846,333",27.56%,"63,312.21","58,698.80","3,808,183.71","52,365.56", Required , Yes ,"2,439,678.49","3,286,011.49","1,169,728.00", -   ,"888,419.00","888,419.00","3,152,508.99",,"3,328,097.49",,"4,174,430.49"
33,Barrington,"1,387.61","5,254,425.46","1,353.41",172.93,12.78%,177.34,140.7,177.34,"335,761.37",283.54,"577,600.34",4.01,"2,967.63",28.78,"21,319.72","6,192,074.52","1,564,779",12.78%,"28,330.07","26,265.73","7,300,419.31", -   ,  , N/A ,"4,653,561.25","6,218,340.25","2,162,702.00", -   ,"725,476.00","725,476.00","5,106,147.59",,"5,379,037.25",,"6,943,816.25"
