"Breakdown For Towns That Are Part of Two School Districts, FY 2023",,,,,,,
Dist,Loc,District/Town,,, Adequacy Grant,SWEPT Grant (Retained $1.230 State Ed Tax,Total Adequacy & SWEPT Grant
,,,,,,,
17,17,Amherst School District                     ,,,"3,390,609.73","1,830,315.00","5,220,924.73"
23,23,Ashland School District                      ,,,"814,321.34","266,441.00","1,080,762.34"
53,53,Bethlehem  School District                      ,,,"679,357.58","211,975.00","891,332.58"
63,63,Brentwood School District                      ,,,"855,761.93","384,489.00","1,240,250.93"
71,71,Brookline  School District    ,,,"2,448,347.20","466,136.00","2,914,483.20"
75,75,Campton School District                    ,,,"1,473,695.85","395,339.00","1,869,034.85"
142,233,Dresden (Hanover),,,"626,639.30","1,682,381.00","2,309,020.30"
153,153,East Kingston School District          ,,,"386,163.37","215,992.00","602,155.37"
,,,,,,,
172,63,Exeter Reg Coop (Brentwood),,,"1,075,544.62","508,632.00","1,584,176.62"
172,153,Exeter Reg Coop (East Kingston),,,"460,871.87","274,787.00","735,658.87"
172,173,Exeter Reg Coop (Exeter),,,"2,874,535.03","1,795,301.00","4,669,836.03"
172,281,Exeter Reg Coop (Kensington),,,"312,977.39","269,536.00","582,513.39"
172,387,Exeter Reg Coop (Newfields),,,"339,362.01","205,543.00","544,905.01"
172,511,Exeter Regional Coop (Stratham),,,"1,410,427.63","1,104,363.00","2,514,790.63"
,,,,,"6,473,718.55","4,158,162.00","10,631,880.55"
,,,,,,,
173,173,Exeter  School District                 ,,,"2,355,696.10","1,379,975.00","3,735,671.10"
225,225,Hampton School District    ,,,"1,293,526.79","3,323,544.00","4,617,070.79"
227,227,Hampton Falls School District                ,,,"356,275.41","427,615.00","783,890.41"
233,233,Hanover School District                          ,,,"681,584.70","1,741,268.00","2,422,852.70"
245,245,Henniker School District               ,,,"2,053,733.22","454,157.00","2,507,890.22"
257,257,Holderness School District               ,,,"351,960.56","887,876.00","1,239,836.56"
259,259,Hollis School District               ,,,"1,619,640.88","963,567.00","2,583,207.88"
,,,,,,,
260,71,Hollis/Brookline Coop (Brookline),,,"2,193,069.30","453,809.00","2,646,878.30"
260,259,Hollis/Brookline Coop (Hollis),,,"1,564,241.32","985,001.00","2,549,242.32"
,,,,,"3,757,310.62","1,438,810.00","5,196,120.62"
,,,,,,,
275,245,John Stark Reg (Henniker),,,"674,392.74","173,825.00","848,217.74"
275,555,John Stark Reg (Weare),,,"2,316,581.30","458,167.00","2,774,748.30"
,,,,,"2,990,974.04","631,992.00","3,622,966.04"
,,,,,,,
281,281,Kensington School District               ,,,"288,902.20","263,670.00","552,572.20"
,,,,,,,
288,155,Lafayette Reg School District (Easton)                        ,,,"24,870.90","66,055.00","90,925.90"
288,183,Lafayette Reg School District (Franconia)                        ,,,"73,886.21","192,141.00","266,027.21"
288,512,Lafayette Reg School District (Sugar Hill)                        ,,,"40,961.02","104,396.00","145,357.02"
,,,,,"139,718.13","362,592.00","502,310.13"
,,,,,,,
367,367,Mont Vernon School District    ,,,"1,117,127.29","315,426.00","1,432,553.29"
387,387,Newfields School District    ,,,"311,130.63","187,240.00","498,370.63"
405,405,North Hampton School District    ,,,"581,991.06","1,102,919.00","1,684,910.06"
,,,,,,,
428,23,Pemi-Baker Coop (Ashland),,,"229,680.38","96,212.00","325,892.38"
428,75,Pemi-Baker Coop (Campton),,,"610,444.80","175,136.00","785,580.80"
428,257,Pemi-Baker Coop (Holderness),,,"119,836.44","346,829.00","466,665.44"
428,447,Pemi-Baker Coop (Plymouth),,,"1,189,750.62","212,168.00","1,401,918.62"
428,467,Pemi-Baker Coop (Rumney),,,"263,820.49","105,641.00","369,461.49"
428,531,Pemi-Baker Coop (Thornton),,,"333,074.76","198,475.00","531,549.76"
428,559,Pemi-Baker Coop (Wentworth),,,"178,370.75","39,732.00","218,102.75"
,,,,,"2,924,978.24","1,174,193.00","4,099,171.24"
,,,,,,,
447,447,Plymouth School District                     ,,,"2,688,184.91","431,936.00","3,120,120.91"
,,,,,,,
450,53,Profile Reg (Bethlehem),,,"716,773.91","216,257.00","933,030.91"
450,155,Profile Reg (Easton),,,"13,187.10","33,545.00","46,732.10"
450,183,Profile Regional (Franconia),,,"92,711.79","243,850.00","336,561.79"
450,512,Profile Regional (Sugar Hill),,,"40,715.98","109,354.00","150,069.98"
,,,,,"863,388.78","603,006.00","1,466,394.78"
,,,,,,,
467,467,Rumney School District    ,,,"487,162.98","158,528.00","645,690.98"
485,485,Seabrook School District    ,,,"1,753,307.47","1,620,102.00","3,373,409.47"
,,,,,,,
493,17,Souhegan Coop (Amherst),,,"1,572,226.53","854,612.00","2,426,838.53"
493,367,Souhegan Coop (Mont Vernon),,,"406,712.96","115,131.00","521,843.96"
,,,,,"1,978,939.49","969,743.00","2,948,682.49"
,,,,,,,
511,511,Stratham School District    ,,,"1,270,484.04","912,738.00","2,183,222.04"
531,531,Thornton School District    ,,,"659,105.05","368,435.00","1,027,540.05"
555,555,Weare School District    ,,,"5,192,596.34","888,591.00","6,081,187.34"
559,559,Wentworth School District    ,,,"497,788.28","92,975.00","590,763.28"
,,,,,,,
581,225,Winnacunnet Coop (Hampton),,,"685,856.21","1,856,543.00","2,542,399.21"
581,227,Winnacunnet (Hampton Falls),,,"218,084.43","264,206.00","482,290.43"
581,405,Winnacunnet Coop (North Hampton),,,"291,475.94","568,170.00","859,645.94"
581,485,Winnacunnet Coop (Seabrook),,,"733,653.48","798,682.00","1,532,335.48"
,,,,,"1,929,070.06","3,487,601.00","5,416,671.06"
