,,5-Jan-22
,New Hampshire Department of Education,
,Office of School Finance,
,"25 Hall Street, Concord, NH 03301",
,Telephone 731-6514,
,,
, Allocation For Special Education ADM-R In ,
,Adequate Education Aid,
,For FY2022,
,,
,,Allocation for Special Education
Loc ID,District Name,Pupils for Adequacy Aid
,,
5,Albany,"34,664.69"
9,Allenstown,"203,498.73"
15,Alton,"240,764.81"
17,Amherst,"365,816.47"
19,Andover,"122,570.06"
23,Ashland,"64,850.58"
29,Auburn,"284,941.58"
31,Barnstead,"308,740.52"
33,Barrington,"545,817.35"
35,Bartlett,"95,212.28"
39,Bath,"37,537.62"
41,Bedford,"1,170,494.28"
47,Benton,"20,382.51"
51,Berlin,"482,876.76"
53,Bethlehem,"42,360.48"
57,Bow,"440,513.02"
63,Brentwood,"112,415.67"
71,Brookline,"192,547.43"
75,Campton,"98,682.91"
79,Candia,"152,392.33"
91,Chatham,"16,296.88"
93,Chester,"280,316.32"
95,Chesterfield,"97,962.38"
99,Chichester,"109,557.81"
101,Claremont,"681,883.26"
103,Clarksville,"10,185.55"
105,Colebrook,"94,086.17"
107,Columbia,"26,482.43"
111,Concord,"1,392,935.69"
112,Con Val Reg.,"765,698.94"
113,Conway,"354,056.03"
114,Coos,"2,037.11"
115,Cornish,"42,054.91"
117,Croydon,"31,574.59"
127,Deerfield,"288,430.74"
131,Derry,"2,127,058.80"
141,Dover,"1,481,437.32"
142,Dresden,"118,176.22"
147,Dummer,"6,111.33"
149,Dunbarton,"186,204.69"
153,East Kingston,"42,752.83"
159,Eaton,"9,585.82"
162,Ellsworth,"4,074.22"
165,Epping,"307,453.07"
167,Epsom,"183,740.60"
171,Errol,748.03
172,Exeter Reg Coop,"826,077.89"
173,Exeter,"280,240.33"
174,Fall Mountain Reg,"549,796.85"
175,Farmington,"386,613.53"
185,Franklin,"452,221.31"
187,Freedom,"51,884.38"
189,Fremont,"199,458.53"
191,Gilford,"290,652.41"
195,Gilmanton,"123,727.95"
199,Goffstown,"874,313.76"
203,G-R-S Coop,"178,791.64"
204,Goshen,"33,483.57"
208,Governor Wentworth Reg.,"655,094.02"
211,Grantham,"97,555.16"
215,Greenland,"118,654.32"
222,Hale's Location, -   
223,Hampstead,"439,062.39"
225,Hampton,"294,462.21"
227,Hampton Falls,"65,187.52"
233,Hanover,"199,642.68"
235,Harrisville,"25,122.25"
236,Hart's Location,"2,037.11"
238,Haverhill,"223,697.90"
245,Henniker,"168,686.15"
247,Hill,"42,431.17"
251,Hillsboro-Deering Coop,"434,502.12"
255,Hinsdale,"238,352.26"
257,Holderness,"55,306.72"
259,Hollis,"182,134.18"
260,Hollis-Brookline Coop,"301,612.63"
261,Hooksett,"575,821.94"
263,Hopkinton,"341,097.98"
267,Hudson,"1,008,446.45"
269,Inter-Lakes Coop,"346,335.18"
271,Jackson,"37,081.11"
274,Jaffrey-Rindge Coop,"449,505.64"
275,John Stark Regional,"162,581.96"
276,Kearsarge Regional,"440,609.19"
279,Keene,"1,054,928.21"
281,Kensington,"36,761.07"
285,Laconia,"767,210.87"
288,Lafayette Regional,"31,121.30"
291,Landaff,"26,108.82"
295,Lebanon,"453,897.85"
299,Lempster,"69,105.90"
305,Lincoln-Woodstock Coop,"107,646.39"
306,Lisbon Regional,"133,050.17"
315,Litchfield,"462,580.83"
317,Littleton,"295,145.26"
319,Londonderry,"1,421,105.05"
327,Lyme,"116,838.24"
333,Madison,"80,583.39"
335,Manchester,"5,038,189.21"
339,Marlborough,"87,086.45"
341,Marlow,"49,297.65"
342,Mascenic Regional,"242,798.45"
343,Mascoma Valley,"530,374.63"
345,Mason,"44,725.56"
351,Merrimack,"1,390,467.12"
352,Merrimack Valley,"1,055,089.14"
353,Middleton,"89,038.41"
355,Milan,"60,805.49"
357,Milford,"799,376.83"
359,Milton,"237,859.48"
363,Monadnock Regional,"619,838.59"
365,Monroe,"46,017.70"
367,Mont Vernon,"87,595.73"
369,Moultonborough,"203,498.12"
371,Nashua,"3,763,694.36"
