,,9-May-23,,
,New Hampshire Department of Education,,,
,Office of School Finance,,,
,"25 Hall Street, Concord, NH 03301",,,
,Telephone 731-6514,,,
,,,,
, Allocation For Special Education ADM-R In ,,,
,Adequate Education Aid,,,
,For FY2023,,,
,,,,
,,Allocation for Special Education,,
Loc ID,District Name,Pupils for Adequacy Aid,,
,,,,
5,Albany,"32,589.48",,
9,Allenstown,"225,608.30",,
15,Alton,"265,387.76",,
17,Amherst,"399,877.77",,
19,Andover,"139,322.43",,
23,Ashland,"57,515.36",,
29,Auburn,"256,557.10",,
31,Barnstead,"290,005.22",,
33,Barrington,"577,600.34",,
35,Bartlett,"90,886.68",,
39,Bath,"40,639.12",,
41,Bedford,"1,237,214.72",,
47,Benton,"16,296.88",,
51,Berlin,"443,354.99",,
53,Bethlehem,"49,639.28",,
57,Bow,"427,402.99",,
63,Brentwood,"121,728.53",,
71,Brookline,"218,148.61",,
75,Campton,"100,986.67",,
79,Candia,"145,944.26",,
91,Chatham,"14,259.77",,
93,Chester,"288,155.52",,
95,Chesterfield,"94,589.74",,
99,Chichester,"104,793.22",,
101,Claremont,"722,089.49",,
103,Clarksville,"8,148.44",,
105,Colebrook,"95,737.65",,
107,Columbia,"25,859.89",,
111,Concord,"1,508,350.19",,
112,Con Val Reg.,"777,575.48",,
113,Conway,"348,411.00",,
114,Coos, -   ,,
115,Cornish,"45,834.98",,
117,Croydon,"28,558.25",,
127,Deerfield,"289,087.91",,
131,Derry,"2,148,660.92",,
141,Dover,"1,494,511.08",,
142,Dresden,"138,662.41",,
147,Dummer,"6,111.33",,
149,Dunbarton,"180,738.92",,
153,East Kingston,"52,964.86",,
159,Eaton,"12,222.66",,
162,Ellsworth,"4,074.22",,
165,Epping,"307,282.15",,
167,Epsom,"205,817.17",,
171,Errol,747.01,,
172,Exeter Reg Coop,"846,954.15",,
173,Exeter,"306,523.94",,
174,Fall Mountain Reg,"545,789.85",,
175,Farmington,"337,823.12",,
185,Franklin,"544,809.79",,
187,Freedom,"48,264.43",,
189,Fremont,"207,396.54",,
191,Gilford,"250,118.81",,
195,Gilmanton,"117,690.97",,
199,Goffstown,"894,315.12",,
203,G-R-S Coop,"158,943.47",,
204,Goshen,"27,602.23",,
208,Governor Wentworth Reg.,"632,722.91",,
211,Grantham,"92,154.17",,
215,Greenland,"142,709.74",,
222,Hale's Location, -   ,,
223,Hampstead,"465,926.17",,
225,Hampton,"315,445.67",,
227,Hampton Falls,"73,335.96",,
233,Hanover,"185,981.62",,
235,Harrisville,"28,134.73",,
236,Hart's Location,"2,037.11",,
238,Haverhill,"234,835.39",,
245,Henniker,"166,161.77",,
247,Hill,"41,074.05",,
251,Hillsboro-Deering Coop,"437,058.48",,
255,Hinsdale,"234,670.18",,
257,Holderness,"56,710.90",,
259,Hollis,"165,672.04",,
260,Hollis-Brookline Coop,"305,826.23",,
261,Hooksett,"652,205.62",,
263,Hopkinton,"336,354.16",,
267,Hudson,"960,923.32",,
269,Inter-Lakes Coop,"321,166.49",,
271,Jackson,"31,858.36",,
274,Jaffrey-Rindge Coop,"464,570.48",,
275,John Stark Regional,"139,541.22",,
276,Kearsarge Regional,"460,022.42",,
279,Keene,"998,859.00",,
281,Kensington,"43,684.60",,
285,Laconia,"813,107.57",,
288,Lafayette Regional,"29,470.26",,
291,Landaff,"17,401.20",,
295,Lebanon,"434,279.26",,
299,Lempster,"68,043.75",,
305,Lincoln-Woodstock Coop,"110,995.61",,
306,Lisbon Regional,"142,703.43",,
315,Litchfield,"451,125.95",,
317,Littleton,"301,087.71",,
319,Londonderry,"1,540,521.66",,
327,Lyme,"104,608.86",,
333,Madison,"92,843.12",,
335,Manchester,"5,072,365.19",,
339,Marlborough,"82,058.46",,
341,Marlow,"36,973.55",,
342,Mascenic Regional,"230,494.10",,
343,Mascoma Valley,"504,115.47",,
345,Mason,"29,743.64",,
351,Merrimack,"1,440,015.54",,
352,Merrimack Valley,"1,008,776.67",,
353,Middleton,"95,223.69",,
