,,"April 2, 2024",,,,
,New Hampshire Department of Education,,,,,
,Bureau of School Finance,,,,,
,"25 Hall Street, Concord, NH 03301",,,,,
,Telephone 731-6514,,,,,
,,,,,,
, Allocation For Special Education ADM-R In ,,,,,
,Adequate Education Aid,,,,,
,For FY2024,,,,,
,,,,,,
,,Allocation for Special Education,,,,
Loc ID,District Name,Pupils for Adequacy Aid,,,,
,,,,,,
5,Albany," 33,039.93 ",,,,
9,Allenstown," 220,795.47 ",,,,
15,Alton," 277,230.24 ",,,,
17,Amherst," 443,898.21 ",,,,
19,Andover," 136,049.13 ",,,,
23,Ashland," 59,365.95 ",,,,
29,Auburn," 250,392.45 ",,,,
31,Barnstead," 290,776.92 ",,,,
33,Barrington," 587,461.98 ",,,,
35,Bartlett," 96,517.89 ",,,,
39,Bath," 48,350.61 ",,,,
41,Bedford," 1,296,133.65 ",,,,
47,Benton," 18,900.00 ",,,,
51,Berlin," 432,189.87 ",,,,
53,Bethlehem," 58,836.96 ",,,,
57,Bow," 448,376.04 ",,,,
63,Brentwood," 132,300.00 ",,,,
71,Brookline," 246,696.03 ",,,,
75,Campton," 109,718.91 ",,,,
79,Candia," 149,138.01 ",,,,
91,Chatham," 4,188.24 ",,,,
93,Chester," 298,801.23 ",,,,
95,Chesterfield," 92,472.66 ",,,,
99,Chichester," 109,751.88 ",,,,
101,Claremont," 801,166.38 ",,,,
103,Clarksville," 10,500.00 ",,,,
105,Colebrook," 109,461.03 ",,,,
107,Columbia," 29,789.55 ",,,,
111,Concord," 1,510,008.78 ",,,,
112,Con Val Reg.," 838,497.66 ",,,,
113,Conway," 377,842.08 ",,,,
114,Coos, -   ,,,,
115,Cornish," 58,094.40 ",,,,
117,Croydon," 35,151.69 ",,,,
127,Deerfield," 299,012.91 ",,,,
131,Derry," 2,250,199.98 ",,,,
141,Dover," 1,575,442.05 ",,,,
142,Dresden," 136,847.13 ",,,,
147,Dummer," 12,267.78 ",,,,
149,Dunbarton," 171,283.77 ",,,,
153,East Kingston," 61,378.38 ",,,,
159,Eaton," 10,500.00 ",,,,
162,Ellsworth," 2,100.00 ",,,,
165,Epping," 307,551.30 ",,,,
167,Epsom," 224,286.51 ",,,,
171,Errol," 2,100.00 ",,,,
172,Exeter Reg Coop," 871,351.53 ",,,,
173,Exeter," 324,074.73 ",,,,
174,Fall Mountain Reg," 593,015.43 ",,,,
175,Farmington," 314,246.73 ",,,,
185,Franklin," 609,581.91 ",,,,
187,Freedom," 65,100.00 ",,,,
189,Fremont," 226,629.48 ",,,,
191,Gilford," 283,044.09 ",,,,
195,Gilmanton," 124,553.73 ",,,,
199,Goffstown," 983,621.52 ",,,,
203,G-R-S Coop," 153,687.66 ",,,,
204,Goshen," 26,100.06 ",,,,
208,Governor Wentworth Reg.," 711,174.87 ",,,,
211,Grantham," 110,649.42 ",,,,
215,Greenland," 151,307.10 ",,,,
222,Hale's Location, -   ,,,,
223,Hampstead," 501,392.85 ",,,,
225,Hampton," 351,654.66 ",,,,
227,Hampton Falls," 78,866.34 ",,,,
233,Hanover," 190,225.77 ",,,,
235,Harrisville," 22,050.00 ",,,,
236,Hart's Location, 245.07 ,,,,
238,Haverhill," 245,990.43 ",,,,
245,Henniker," 181,343.40 ",,,,
247,Hill," 38,274.18 ",,,,
251,Hillsboro-Deering Coop," 471,182.46 ",,,,
255,Hinsdale," 252,629.58 ",,,,
257,Holderness," 55,214.46 ",,,,
259,Hollis," 213,287.97 ",,,,
260,Hollis-Brookline Coop," 301,875.84 ",,,,
261,Hooksett," 746,140.92 ",,,,
263,Hopkinton," 363,655.32 ",,,,
267,Hudson," 1,007,375.25 ",,,,
269,Inter-Lakes Coop," 338,173.29 ",,,,
271,Jackson," 37,321.62 ",,,,
274,Jaffrey-Rindge Coop," 507,228.12 ",,,,
275,John Stark Regional," 169,295.07 ",,,,
276,Kearsarge Regional," 513,597.84 ",,,,
279,Keene," 983,808.84 ",,,,
281,Kensington," 49,734.93 ",,,,
285,Laconia," 875,935.20 ",,,,
288,Lafayette Regional," 27,300.00 ",,,,
291,Landaff," 14,700.00 ",,,,
295,Lebanon," 464,563.89 ",,,,
299,Lempster," 62,829.27 ",,,,
305,Lincoln-Woodstock Coop," 116,882.22 ",,,,
306,Lisbon Regional," 138,380.55 ",,,,
315,Litchfield," 473,777.43 ",,,,
317,Littleton," 290,101.14 ",,,,
319,Londonderry," 1,622,590.41 ",,,,
327,Lyme," 105,897.33 ",,,,
333,Madison," 82,652.43 ",,,,
335,Manchester," 5,228,602.68 ",,,,
339,Marlborough," 85,834.35 ",,,,
341,Marlow," 32,503.38 ",,,,
342,Mascenic Regional," 235,484.55 ",,,,
343,Mascoma Valley," 526,828.26 ",,,,
345,Mason," 37,071.72 ",,,,
351,Merrimack," 1,570,213.26 ",,,,
352,Merrimack Valley," 1,096,959.36 ",,,,
353,Middleton," 95,726.61 ",,,,
355,Milan," 42,011.97 ",,,,
357,Milford," 807,060.66 ",,,,
359,Milton," 260,684.97 ",,,,
363,Monadnock Regional," 618,995.16 ",,,,
365,Monroe," 62,988.24 ",,,,
367,Mont Vernon," 107,100.00 ",,,,
369,Moultonborough," 181,670.37 ",,,,
371,Nashua," 4,050,262.23 ",,,,
375,Nelson," 10,861.62 ",,,,
377,New Boston," 343,968.45 ",,,,
381,New Castle," 9,450.00 ",,,,
387,Newfields," 61,471.62 ",,,,
388,Newfound Area," 348,924.87 ",,,,
391,Newington," 23,100.00 ",,,,
399,Newmarket," 370,082.79 ",,,,
401,Newport," 426,194.79 ",,,,
405,North Hampton," 132,413.40 ",,,,
407,Northumberland," 170,516.22 ",,,,
411,Northwood," 221,122.44 ",,,,
413,Nottingham," 180,348.21 ",,,,
423,Oyster River Coop," 732,565.68 ",,,,
425,Pelham," 577,278.03 ",,,,
427,Pembroke," 446,308.59 ",,,,
428,Pemi-Baker Coop," 167,940.36 ",,,,
435,Piermont," 35,222.67 ",,,,
437,Pittsburg," 20,174.28 ",,,,
439,Pittsfield," 289,324.35 ",,,,
441,Plainfield," 85,262.52 ",,,,
447,Plymouth," 174,929.79 ",,,,
449,Portsmouth," 837,115.02 ",,,,
450,Profile Regional," 66,022.53 ",,,,
453,Raymond," 493,422.51 ",,,,
461,Rochester," 1,612,591.89 ",,,,
463,Rollinsford," 80,785.53 ",,,,
467,Rumney," 44,456.37 ",,,,
471,Rye," 122,142.09 ",,,,
473,Salem," 1,193,649.87 ",,,,
476,Sanborn Regional," 653,922.78 ",,,,
485,Seabrook," 251,897.10 ",,,,
486,Shaker Regional," 458,923.29 ",,,,
491,Somersworth," 598,804.92 ",,,,
493,Souhegan Coop," 253,425.69 ",,,,
495,South Hampton," 51,701.16 ",,,,
499,Stark," 8,834.07 ",,,,
501,Stewartstown," 35,127.54 ",,,,
503,Stoddard," 65,682.75 ",,,,
507,Strafford," 213,035.76 ",,,,
509,Stratford," 53,023.53 ",,,,
511,Stratham," 179,293.59 ",,,,
513,Sullivan," 32,958.45 ",,,,
515,Sunapee," 124,817.70 ",,,,
519,Surry," 18,900.00 ",,,,
525,Tamworth," 142,866.99 ",,,,
531,Thornton," 77,510.16 ",,,,
534,Timberlane Regional," 1,470,283.08 ",,,,
539,Unity," 62,351.31 ",,,,
543,Wakefield," 243,187.77 ",,,,
549,Warren," 32,812.50 ",,,,
551,Washington," 44,828.70 ",,,,
553,Waterville Valley," 21,814.17 ",,,,
555,Weare," 434,653.17 ",,,,
559,Wentworth," 32,403.42 ",,,,
563,Westmoreland," 64,288.56 ",,,,
568,White Mountains Regional," 450,675.54 ",,,,
572,Wilton-Lyndeborough Coop," 227,404.80 ",,,,
573,Winchester," 254,001.09 ",,,,
575,Windham," 1,042,456.80 ",,,,
579,Windsor," 6,300.00 ",,,,
581,Winnacunnet Coop," 394,454.34 ",,,,
582,Winnisquam Regional," 547,366.47 ",,,,
417,Orford," 45,694.11 ",,,,
,Total," 65,022,521.55 ",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
