,,,,,,,,,,,,,,,,
BUILDING AID DISTRIBUTION FY10-FY24,,,,,,,,,,,,,,,,
"Last revised: July 1, 2025",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SAU,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024
Allenstown,53, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $15,599,789 ", $-   
Alton,72," $407,192 "," $391,913 "," $454,795 "," $454,795 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Amherst,39," $156,988 "," $157,402 "," $157,402 "," $139,402 "," $96,529 "," $145,416 "," $143,916 "," $143,916 "," $142,416 "," $140,916 "," $139,416 "," $139,416 "," $137,916 "," $85,416 "," $85,416 "
Barnstead,72," $196,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 "," $194,883 ", $-   
Barrington,74," $232,129 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 "," $231,529 ", $-   
Bartlett,9," $12,509 "," $12,509 "," $12,509 "," $12,509 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Bedford,25," $1,181,216 "," $1,140,439 "," $1,105,407 "," $1,067,384 "," $982,454 "," $949,758 "," $915,007 "," $885,228 "," $855,327 "," $667,425 "," $522,699 "," $497,717 "," $473,862 "," $451,701 "," $430,408 "
Berlin,3," $345,787 "," $314,185 "," $374,096 "," $311,513 "," $165,970 "," $171,989 "," $178,244 "," $123,287 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Bow,67," $310,887 "," $310,887 "," $306,507 "," $313,324 "," $313,324 "," $313,324 "," $309,915 "," $323,549 "," $67,290 "," $67,290 "," $67,290 "," $67,290 "," $67,290 "," $67,290 "," $67,290 "
Brentwood,16," $94,006 "," $91,031 "," $87,114 "," $84,262 "," $81,459 "," $78,672 "," $78,314 "," $72,314 "," $71,889 "," $69,128 "," $67,058 "," $64,985 "," $63,505 ", $-   , $-   
Brookline,41," $79,097 "," $82,388 "," $77,616 "," $74,032 "," $70,583 "," $67,504 "," $61,914 "," $51,566 "," $49,650 "," $46,987 "," $44,436 ", $-   , $-   , $-   , $-   
Campton,48," $197,187 "," $154,999 "," $154,999 "," $152,249 "," $152,249 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Chester,82," $146,281 "," $146,281 "," $146,281 "," $144,781 "," $90,000 "," $90,000 "," $90,000 "," $90,000 "," $90,000 "," $84,600 ", $-   , $-   , $-   , $-   , $-   
Chichester,53," $34,002 "," $26,016 "," $26,016 "," $26,016 "," $26,016 "," $26,016 "," $26,016 "," $26,016 "," $26,016 ", $-   , $-   , $-   , $-   , $-   , $-   
Claremont,6," $99,000 "," $99,000 "," $99,000 "," $99,000 "," $99,000 "," $99,000 "," $99,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Colebrook,7," $206,723 "," $206,723 "," $206,723 "," $263,216 "," $158,314 "," $158,314 "," $158,314 "," $158,314 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Concord,8," $500,888 "," $485,888 "," $946,202 "," $1,308,562 "," $1,383,508 "," $1,383,508 "," $1,395,508 "," $1,097,174 "," $1,003,482 "," $1,116,217 "," $932,753 "," $932,753 "," $932,753 "," $932,753 "," $932,753 "
Contookcook Valley,1," $1,228,066 "," $1,238,417 "," $1,480,587 "," $1,258,409 "," $558,187 "," $570,122 "," $678,112 "," $438,590 "," $440,790 ", $-   , $-   , $-   , $-   , $-   , $-   
Conway,9," $1,732,537 "," $1,506,117 "," $1,362,793 "," $1,060,664 "," $1,060,664 "," $1,060,664 "," $1,060,664 "," $1,060,664 "," $1,060,664 "," $1,060,664 "," $1,059,832 "," $1,059,832 "," $1,059,832 "," $1,059,832 "," $1,059,832 "
Cornish,6," $2,160 "," $2,160 "," $17,627 "," $17,627 "," $17,627 "," $15,467 "," $15,467 "," $15,467 "," $15,467 "," $15,467 "," $15,467 ", $-   , $-   , $-   , $-   
Deerfield,53," $27,322 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Derry,10," $762,659 "," $762,659 "," $734,659 "," $734,659 "," $734,659 "," $564,659 "," $564,659 "," $564,659 "," $564,659 "," $564,659 "," $564,659 "," $462,659 "," $462,659 "," $462,659 "," $462,659 "
Dover,11," $656,936 "," $747,158 "," $732,061 "," $718,951 "," $709,050 "," $675,018 "," $665,067 "," $650,873 "," $616,673 "," $581,114 "," $529,088 "," $390,062 "," $389,462 "," $389,462 "," $383,462 "
Dresden,70," $692,616 "," $598,905 "," $570,182 "," $543,525 "," $518,801 "," $492,293 "," $467,272 "," $444,640 "," $425,010 "," $404,588 "," $385,074 "," $366,757 "," $348,882 "," $332,377 "," $315,904 "
Dunbarton,19," $44,932 "," $55,432 "," $21,555 "," $18,172 "," $16,672 "," $16,672 "," $16,672 "," $16,672 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
East Kingston,14," $48,926 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Epping,14," $219,513 "," $192,256 "," $201,875 "," $211,875 "," $221,875 "," $231,875 "," $243,875 "," $255,875 "," $267,875 "," $279,875 "," $291,875 "," $301,875 "," $315,875 "," $327,875 "," $341,875 "
Exeter,16," $21,770 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Exeter Co-op,16," $2,191,341 "," $2,135,133 "," $2,070,785 "," $1,693,574 "," $1,621,916 "," $1,551,848 "," $1,486,873 "," $1,425,594 "," $1,173,052 "," $1,109,820 "," $1,066,184 "," $1,025,645 "," $987,834 "," $942,747 "," $907,081 "
Fall Mountain,60," $57,548 "," $60,717 "," $560,388 "," $560,388 "," $557,118 "," $560,388 "," $558,751 "," $57,447 "," $57,038 "," $57,038 "," $57,038 "," $57,038 "," $57,038 "," $57,038 "," $57,038 "
Farmington,61," $373,817 "," $373,817 "," $373,817 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Franklin,18," $254,838 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $181,944 "," $81,944 "," $81,944 "," $81,944 "," $81,944 "
Freedom,13," $63,158 "," $63,158 "," $31,579 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Fremont,83," $88,486 "," $88,486 "," $88,486 "," $88,486 "," $88,019 "," $77,253 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Gilford,73," $370,350 "," $295,800 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 "," $314,594 ", $-   
Gilmanton,79," $48,614 "," $50,114 "," $51,354 "," $54,354 "," $57,354 "," $60,354 "," $63,354 "," $65,158 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Goffstown,19," $608,240 "," $591,443 "," $214,035 "," $397,939 "," $393,340 "," $321,250 "," $314,567 "," $282,696 "," $282,696 "," $539,196 "," $269,196 "," $266,946 "," $262,446 ", $-   , $-   
Gorham,20," $622,890 "," $622,890 "," $622,890 "," $622,890 "," $622,890 "," $549,117 "," $9,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Governor Wentworth,49," $257,917 "," $1,708,940 "," $2,184,287 "," $2,031,556 "," $1,712,488 "," $1,626,096 "," $1,823,335 "," $1,387,033 "," $1,528,728 "," $1,455,481 "," $1,395,341 "," $1,337,255 "," $1,280,104 "," $1,226,023 "," $1,174,793 "
Grantham,75," $112,031 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $107,513 "
Greenland,50," $139,880 "," $109,908 "," $109,955 "," $110,005 "," $106,964 "," $106,964 "," $106,964 "," $106,964 "," $105,464 "," $105,464 "," $105,464 "," $105,464 "," $105,464 "," $105,464 ", $-   
Hampton,90," $93,238 "," $99,238 "," $103,738 "," $109,738 "," $115,738 "," $123,238 "," $129,238 "," $138,238 "," $38,329 "," $39,829 ", $-   , $-   , $-   , $-   , $-   
Hanover,70," $86,571 "," $170,412 "," $166,924 "," $163,776 "," $159,339 "," $156,037 "," $153,108 "," $85,116 "," $82,742 "," $80,252 "," $77,952 "," $75,807 "," $73,653 "," $71,643 "," $69,689 "
Haverhill Cooperative,23," $432,515 "," $437,756 "," $321,290 "," $207,512 "," $207,512 "," $191,672 "," $191,672 "," $189,753 "," $191,672 "," $191,672 "," $2,763,443 "," $141,091 "," $493,226 "," $75,250 ", $-   
Henniker,24," $64,148 "," $64,148 "," $64,148 "," $64,148 "," $64,148 "," $64,148 "," $64,148 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hill ,18," $19,473 "," $20,973 "," $20,973 "," $22,473 "," $23,973 "," $23,973 "," $25,473 "," $26,973 "," $28,473 "," $29,973 "," $29,973 "," $31,473 "," $32,973 ", $-   , $-   
Hillsboro-Deering,34," $418,556 "," $368,556 "," $368,556 "," $368,556 "," $368,556 "," $369,132 "," $369,132 "," $342,731 "," $342,731 "," $342,731 "," $342,731 "," $342,731 "," $342,731 "," $342,731 ", $-   
Hinsdale,92," $438,364 "," $436,735 "," $462,803 "," $462,803 "," $462,803 "," $462,803 "," $462,803 "," $462,803 "," $2,262,803 "," $888,420 "," $462,803 "," $462,803 "," $462,803 "," $462,803 "," $462,803 "
