,,,,"June 29, 2007",,,
,NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,,
,DIVISION OF PROGRAM SUPPORT,,,,,,
,OFFICE OF SCHOOL BUILDING AID,,,,,,
,,,,,,,
,BUILDING AID DISTRIBUTION 2006-2007,,,,,,
,,,,,,,
, ,FY2007,FY2006 ,Total,,,
,District,@ 93.49451%,Shortfall,Entitlement,,,
,State Totals," $40,854,918.60 "," $880,116.70 "," $41,735,035.30 ", ,,
,,,,,,,
,Alton," 403,557.00 "," 9,597.34 "," 413,154.34 ",,,
,Amherst," 50,928.35 "," 1,001.38 "," 51,929.73 ",,,
,Ashland," 33,467.10 ", 847.95 ," 34,315.05 ",,,
,Barnstead," 185,731.03 "," 5,852.11 "," 191,583.14 ",,,
,Barrington," 215,085.68 "," 5,758.75 "," 220,844.43 ",,,
,,,,,,,
,Bath," 19,162.44 ", 462.54 ," 19,624.98 ",,,
,Bedford," 1,440,704.65 "," 4,480.16 "," 1,445,184.81 ",,,
,Berlin," 210,192.31 "," 5,488.19 "," 215,680.50 ",,,
,Bow," 275,629.74 "," 6,513.78 "," 282,143.52 ",,,
,Brentwood," 119,465.04 "," 2,982.64 "," 122,447.68 ",,,
,,,,,,,
,Bridgewater/Hebron Village District, -   , 250.48 , 250.48 ,,,
,Brookline," 123,512.07 "," 3,061.42 "," 126,573.49 ",,,
,Campton," 41,212.96 ", 994.80 ," 42,207.76 ",,,
,Candia," 24,013.27 ", 579.64 ," 24,592.91 ",,,
,Chester," 137,995.83 "," 3,501.74 "," 141,497.57 ",,,
,,,,,,,
,Chichester," 37,736.30 ", 945.05 ," 38,681.35 ",,,
,Claremont," 105,071.76 "," 2,536.24 "," 107,608.00 ",,,
,Colebrook," 148,798.44 "," 3,604.94 "," 152,403.38 ",,,
,Concord," 549,826.81 "," 12,881.42 "," 562,708.23 ",,,
,Contoocook Valley," 1,087,613.94 "," 25,858.67 "," 1,113,472.61 ",,,
,,,,,,,
