,,,,,"December 4, 2008"
NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,
DIVISION OF PROGRAM SUPPORT,,,,,
OFFICE OF SCHOOL BUILDING AID,,,,,
,,,,,
2008-2009 Building Aid Distribution ,,,,,
,,97.722916%,,,
,,,,,Total Adjusted
District Name,Entitlement,October Payment,April Payment,Shortfall,Annual Aid
,,,,,
State Totals," $44,708,896.95 "," $23,769,651.47 "," $19,071,333.22 "," $1,867,912.26 "," $42,840,984.69 "
,,,,,
Alton,"407,192.21 ","203,596.11 ","184,909.10 ","18,687.01 ","388,505.20 "
Amherst,"76,734.56 ","38,367.28 ","34,845.75 ","3,521.53 ","73,213.03 "
Ashland,"3,414.00 ","1,707.00 ","1,550.32 ",156.68 ,"3,257.32 "
Barnstead,"196,882.82 ","98,441.41 ","89,405.99 ","9,035.42 ","187,847.40 "
Barrington,"232,274.69 ","116,137.35 ","105,477.71 ","10,659.63 ","221,615.06 "
Bartlett,"12,508.92 ","6,254.46 ","5,680.40 ",574.06 ,"11,934.86 "
Bath,"26,313.00 ","13,156.50 ","11,948.93 ","1,207.57 ","25,105.43 "
Bedford,"1,222,239.71 ","611,119.86 ","555,028.40 ","56,091.46 ","1,166,148.25 "
Berlin,"377,937.35 ","188,968.68 ","171,624.24 ","17,344.43 ","360,592.92 "
Bow,"313,396.94 ","156,698.47 ","142,315.95 ","14,382.52 ","299,014.42 "
Brentwood,"119,482.73 ","59,741.37 ","54,258.02 ","5,483.34 ","113,999.39 "
Brookline,"83,040.52 ","41,520.26 ","37,709.34 ","3,810.92 ","79,229.60 "
Campton,"198,686.93 ","99,343.47 ","90,225.25 ","9,118.21 ","189,568.72 "
Candia,"5,006.64 ","2,503.32 ","2,273.55 ",229.77 ,"4,776.87 "
Chester,"146,281.47 ","73,140.74 ","66,427.53 ","6,713.20 ","139,568.27 "
Chichester,"34,002.09 ","17,001.05 ","15,440.61 ","1,560.44 ","32,441.65 "
