,New Hampshire Department of Education,,,,,,,,
,Division of Instruction,,,,,,,,
,Bureau of Special Education,,,,,,,,
,"101 Pleasant Street, Concord,  NH  03301-3860",,,,,,,,
,Telephone (603) 271-3839   Fax (603) 271-1099,,,,,,,,
,,,,,,,,,
,FY 2013 Catastrophic Aid ,,,,,,,,
,,,,,,,,,
,,Expenditures from,,,,,,,
,,3 1/2 - 10 times ,,Expenditures Over,,,,,
,District Name,State Average,,10 times State Average,,Total,FY2013,FY2013 Aid,
,,Student,,Student,,Expended,Entitlement,71.7960%,
,,Count,Cost,Count,Cost,,,,
,State Total,954," $43,611,762.67 ",98," $6,272,350.14 "," $79,541,071.87 "," $29,997,917.39 "," $21,537,304.77 ",
9,Allenstown,," $138,779.66 ",," $81,756.27 "," $335,035.41 "," $173,355.85 "," $124,462.57 ",
15,Alton,," $92,519.77 ",, $-   ," $167,897.93 "," $60,302.53 "," $43,294.80 ",
17,Amherst,," $532,878.31 ",," $4,117.01 "," $1,027,058.11 "," $396,167.24 "," $284,432.23 ",
19,Andover,," $46,259.89 ",, $-   ," $52,226.75 "," $4,773.49 "," $3,427.17 ",
29,Auburn,," $185,039.55 ",, $-   ," $257,172.97 "," $57,706.74 "," $41,431.13 ",
33,Barrington,," $647,638.41 ",, $-   ," $898,292.66 "," $200,523.40 "," $143,967.78 ",
35,Bartlett,," $46,259.89 ",, $-   ," $86,224.34 "," $31,971.56 "," $22,954.30 ",
39,Bath,," $46,259.89 ",, $-   ," $92,184.33 "," $36,739.55 "," $26,377.53 ",
41,Bedford,," $2,057,675.35 ",," $82,245.68 "," $2,887,701.52 "," $680,470.07 "," $488,550.29 ",
51,Berlin,," $138,779.66 ",, $-   ," $242,740.94 "," $83,169.02 "," $59,712.03 ",
57,Bow,," $231,299.43 ",," $20,705.98 "," $403,397.73 "," $141,819.84 "," $101,820.97 ",
71,Brookline,," $92,519.77 ",, $-   ," $155,893.64 "," $50,699.10 "," $36,399.92 ",
75,Campton,," $46,259.89 ",, $-   ," $62,017.08 "," $12,605.75 "," $9,050.43 ",
79,Candia,," $185,039.55 ",, $-   ," $269,336.58 "," $67,437.62 "," $48,417.52 ",
91,Chatham,," $46,259.89 ",, $-   ," $95,334.09 "," $39,259.36 "," $28,186.65 ",
93,Chester,," $46,259.89 ",," $16,980.08 "," $149,151.18 "," $85,709.05 "," $61,535.67 ",
95,Chesterfield,," $185,039.55 ",," $78,216.59 "," $440,807.79 "," $220,257.91 "," $158,136.37 ",
99,Chichester,," $92,519.77 ",, $-   ," $175,607.39 "," $66,470.10 "," $47,722.87 ",
101,Claremont,," $812,979.38 ",," $25,954.69 "," $1,444,012.62 "," $510,017.53 "," $366,172.19 ",
111,Concord,," $1,434,056.49 ",," $18,664.13 "," $2,141,469.23 "," $569,663.02 "," $408,995.26 ",
112,Contoocook Valley,," $832,677.96 ",," $192,982.60 "," $1,588,615.21 "," $643,346.32 "," $461,896.92 ",
113,Conway,," $625,652.26 ",," $138,905.12 "," $1,170,365.95 "," $463,551.97 "," $332,811.77 ",
117,Croydon,," $46,259.89 ",, $-   ," $46,631.76 ", $297.50 , $213.59 ,
127,Deerfield,," $185,039.55 ",, $-   ," $265,381.10 "," $64,273.24 "," $46,145.62 ",
131,Derry Cooperative,," $2,344,512.06 ",," $22,008.36 "," $3,556,756.29 "," $974,197.05 "," $699,434.51 ",
141,Dover,," $501,106.41 ",, $-   ," $800,404.69 "," $239,438.62 "," $171,907.35 ",
142,Dresden,," $185,039.55 ",," $14,587.04 "," $421,470.54 "," $192,062.20 "," $137,892.98 ",
165,Epping,," $46,259.89 ",, $-   ," $101,542.88 "," $44,226.39 "," $31,752.78 ",
167,Epsom,," $92,519.77 ",, $-   ," $174,785.24 "," $65,812.38 "," $47,250.65 ",
173,Exeter,," $138,779.66 ",, $-   ," $173,397.15 "," $27,693.99 "," $19,883.18 ",
172,Exeter Regional Cooperative,," $323,819.21 ",," $232,755.45 "," $846,477.46 "," $464,677.69 "," $333,619.99 ",
174,Fall Mountain Regional,," $313,016.76 ",," $202,962.94 "," $820,842.85 "," $446,853.46 "," $320,822.91 ",
175,Farmington,," $323,819.21 ",, $-   ," $593,649.54 "," $215,864.26 "," $154,981.91 ",
185,Franklin,," $138,779.66 ",," $111,184.65 "," $386,282.21 "," $220,238.97 "," $158,122.77 ",
189,Fremont,," $185,039.55 ",, $-   ," $258,836.49 "," $59,037.55 "," $42,386.60 ",
191,Gilford,," $370,079.09 ",, $-   ," $535,186.15 "," $132,085.65 "," $94,832.21 ",
195,Gilmanton,," $138,779.66 ",," $85,458.39 "," $415,049.84 "," $238,107.82 "," $170,951.89 ",
199,Goffstown,," $370,079.09 ",," $235,484.97 "," $957,725.64 "," $517,214.23 "," $371,339.13 ",
207,Goshen-Lempster Cooperative,," $39,397.16 ",,," $84,031.43 "," $35,707.42 "," $25,636.50 ",
208,Governor Wentworth Regional,," $370,079.09 ",," $36,755.93 "," $736,315.97 "," $300,340.69 "," $215,632.60 ",
211,Grantham,," $46,259.89 ",, $-   ," $81,503.07 "," $28,194.54 "," $20,242.55 ",
223,Hampstead,," $370,079.09 ",," $187,876.68 "," $1,047,637.77 "," $579,622.28 "," $416,145.61 ",
225,Hampton,," $92,519.77 ",, $-   ," $198,042.33 "," $84,418.05 "," $60,608.78 ",
233,Hanover,," $138,779.66 ",, $-   ," $187,212.66 "," $38,746.40 "," $27,818.37 ",
238,Haverhill Cooperative,," $277,559.32 ",," $31,916.96 "," $500,842.75 "," $185,010.14 "," $132,829.88 ",
251,Hillsboro-Deering Cooperative,," $185,039.55 ",," $98,187.28 "," $490,020.47 "," $263,622.19 "," $189,270.19 ",
255,Hinsdale,," $277,559.32 ",," $112,288.02 "," $555,045.30 "," $244,446.39 "," $175,502.73 ",
259,Hollis,," $138,779.66 ",, $-   ," $233,797.79 "," $76,014.50 "," $54,575.37 ",
260,Hollis/Brookline Cooperative,," $416,338.98 ",," $15,056.88 "," $686,210.77 "," $218,908.81 "," $157,167.77 ",
261,Hooksett,," $508,858.75 ",," $122,777.33 "," $958,836.52 "," $384,537.68 "," $276,082.67 ",
267,Hudson,," $462,598.87 ",, $-   ," $789,922.50 "," $261,858.90 "," $188,004.22 ",
269,Inter-Lakes Cooperative,," $46,259.89 ",, $-   ," $81,526.87 "," $28,213.58 "," $20,256.22 ",
274,Jaffrey-Rindge Cooperative,," $323,819.21 ",," $7,146.33 "," $676,096.23 "," $283,250.88 "," $203,362.80 ",
275,John Stark Regional,," $138,779.66 ",," $305,127.25 "," $701,640.54 "," $511,314.15 "," $367,103.11 ",
276,Kearsarge Regional,," $323,819.21 ",," $124,093.50 "," $869,327.67 "," $461,225.47 "," $331,141.44 ",
279,Keene,," $832,677.96 ",," $26,357.74 "," $1,568,692.78 "," $594,083.40 "," $426,528.12 ",
285,Laconia,," $92,519.77 ",, $-   ," $169,397.71 "," $61,502.35 "," $44,156.23 ",
295,Lebanon,," $264,215.12 ",," $310,003.99 "," $945,814.17 "," $607,280.04 "," $436,002.78 ",
305,Lincoln-Woodstock Cooperative,," $46,259.89 ",, $-   ," $131,795.72 "," $68,428.66 "," $49,129.04 ",
306,Lisbon Regional,," $46,259.89 ",," $107,319.58 "," $239,490.68 "," $176,048.55 "," $126,395.82 ",
315,Litchfield,," $323,819.21 ",," $47,094.12 "," $657,252.61 "," $276,165.54 "," $198,275.81 ",
319,Londonderry,," $1,202,757.05 ",," $36,836.72 "," $1,969,972.97 "," $621,140.08 "," $445,953.73 ",
327,Lyme,," $92,519.77 ",, $-   ," $143,971.14 "," $41,161.10 "," $29,552.02 ",
333,Madison,," $21,986.16 ",,," $41,467.94 "," $15,585.43 "," $11,189.71 ",
335,Manchester,," $1,526,576.26 ",," $3,827.27 "," $2,165,899.70 "," $512,224.21 "," $367,756.49 ",
339,Marlborough,," $92,519.77 ",," $113,027.70 "," $369,628.71 "," $244,292.69 "," $175,392.38 ",
341,Marlow,," $138,779.66 ",, $-   ," $183,662.92 "," $35,906.61 "," $25,779.51 ",
342,Mascenic Regional,," $370,079.09 ",," $7,824.36 "," $583,733.79 "," $172,488.63 "," $123,839.94 ",
343,Mascoma Valley Regional,," $431,208.28 ",, $-   ," $670,016.88 "," $191,046.88 "," $137,164.02 ",
345,Mason,," $46,259.89 ",, $-   ," $70,900.35 "," $19,712.37 "," $14,152.69 ",
351,Merrimack,," $3,654,531.05 ",," $431,719.94 "," $5,654,404.35 "," $1,686,242.63 "," $1,210,654.76 ",
352,Merrimack Valley,," $786,418.07 ",, $-   ," $1,055,920.05 "," $215,601.58 "," $154,793.31 ",
355,Milan,," $46,259.89 ",, $-   ," $50,535.80 "," $3,420.73 "," $2,455.95 ",
357,Milford,," $416,338.98 ",," $11,171.90 "," $637,519.55 "," $179,178.84 "," $128,643.24 ",
359,Milton,," $61,002.05 ",, $-   ," $83,416.56 "," $17,931.61 "," $12,874.18 ",
363,Monadnock Regional,," $671,276.71 ",," $120,059.77 "," $1,222,443.24 "," $464,945.18 "," $333,812.04 ",
367,Mont Vernon,," $138,779.66 ",," $32,213.51 "," $359,713.94 "," $183,190.13 "," $131,523.18 ",
369,Moultonborough,," $46,259.89 ",, $-   ," $83,332.00 "," $29,657.69 "," $21,293.03 ",
371,Nashua,," $1,434,056.49 ",," $99,689.86 "," $2,382,423.70 "," $778,631.74 "," $559,026.44 ",
