,Expenditures from,,Expenditures Over,,,,,,,,,,,,,,
District Name,3 1/2 - 10 times ,,10 times State Average,,Total,FY2016,FY2016 Proration,,,,,,,,,,
,State Average,,Student,,Expended,Entitlement,75.22565%,,,,,,,,,,
,Count,Cost,Count,Cost,,,,,,,,,,,,,
State Total,832,"$28,896,391.73",87,"$6,527,048.56","$76,724,443.48","$29,644,161.94","$22,300,013.51", ,,,,,,,,,
Allenstown,,"$93,916.81 ",,"$8,432.43 ","$152,919.83 ","$83,565.88 ","$62,862.97 ",,,,,,,,,,
Amherst,,"$371,182.37 ",,"$6,995.99 ","$833,313.67 ","$303,941.89 ","$228,642.26 ",,,,,,,,,,
Andover,,"$98,636.23 ",,$0.00 ,"$250,348.00 ","$78,908.98 ","$59,359.80 ",,,,,,,,,,
Ashland,,"$9,288.49 ",,$0.00 ,"$59,859.08 ","$7,430.79 ","$5,589.86 ",,,,,,,,,,
Auburn,,"$185,461.07 ",,"$7,610.90 ","$445,924.92 ","$155,979.76 ","$117,336.79 ",,,,,,,,,,
Barnstead,,"$12,961.42 ",,$0.00 ,"$114,102.60 ","$10,369.14 ","$7,800.25 ",,,,,,,,,,
Barrington,,"$250,953.95 ",,$0.00 ,"$807,230.44 ","$200,763.16 ","$151,025.39 ",,,,,,,,,,
Bartlett,,"$43,277.36 ",,$0.00 ,"$93,847.95 ","$34,621.89 ","$26,044.54 ",,,,,,,,,,
Bedford,,"$697,950.23 ",,"$82,244.04 ","$2,550,164.91 ","$640,604.22 ","$481,898.69 ",,,,,,,,,,
Berlin,,"$40,001.14 ",,$0.00 ,"$191,712.91 ","$32,000.91 ","$24,072.89 ",,,,,,,,,,
Bow,,"$320,202.35 ",,"$13,635.10 ","$738,402.17 ","$269,796.98 ","$202,956.53 ",,,,,,,,,,
Brentwood,,"$93,916.81 ",,"$43,460.72 ","$187,948.12 ","$118,594.17 ","$89,213.23 ",,,,,,,,,,
Brookline,,"$95,126.92 ",,$0.00 ,"$191,403.21 ","$76,101.54 ","$57,247.88 ",,,,,,,,,,
Candia,,"$63,918.96 ",,$0.00 ,"$215,630.73 ","$51,135.17 ","$38,466.76 ",,,,,,,,,,
Chatham,,"$21,719.21 ",,$0.00 ,"$72,289.80 ","$17,375.37 ","$13,070.73 ",,,,,,,,,,
Chester,,"$130,741.51 ",,"$5,281.16 ","$237,163.85 ","$109,874.37 ","$82,653.71 ",,,,,,,,,,
Chesterfield,,"$150,510.49 ",,"$8,406.78 ","$310,629.04 ","$128,815.17 ","$96,902.05 ",,,,,,,,,,
Chichester,,"$106,398.26 ",,"$4,193.49 ","$211,732.93 ","$89,312.10 ","$67,185.61 ",,,,,,,,,,
Claremont,,"$529,428.72 ",,"$48,577.17 ","$1,387,135.33 ","$472,120.15 ","$355,155.45 ",,,,,,,,,,
Concord,,"$599,987.24 ",,"$46,354.60 ","$1,354,330.10 ","$526,344.39 ","$395,945.99 ",,,,,,,,,,
Contoocook Valley,,"$575,470.36 ",,"$298,196.15 ","$1,581,654.77 ","$758,572.44 ","$570,641.05 ",,,,,,,,,,
Conway,,"$298,515.98 ",,$0.00 ,"$753,651.29 ","$238,812.78 ","$179,648.47 ",,,,,,,,,,
Cornish,,"$48,745.22 ",,$0.00 ,"$99,315.81 ","$38,996.18 ","$29,335.13 ",,,,,,,,,,
Croydon,,"$53,282.24 ",,$0.00 ,"$103,852.83 ","$42,625.79 ","$32,065.53 ",,,,,,,,,,
Deerfield,,"$25,898.30 ",,$0.00 ,"$134,680.70 ","$20,718.64 ","$15,585.73 ",,,,,,,,,,
Derry Cooperative,,"$1,112,135.54 ",,"$124,073.11 ","$2,955,608.70 ","$1,013,781.54 ","$762,623.75 ",,,,,,,,,,
Dover,,"$426,022.33 ",,$0.00 ,"$1,264,047.81 ","$340,817.87 ","$256,382.46 ",,,,,,,,,,
Dresden,,"$332,151.74 ",,"$245,448.99 ","$881,024.27 ","$511,170.38 ","$384,531.24 ",,,,,,,,,,
Dunbarton,,"$16,719.45 ",,$0.00 ,"$67,290.04 ","$13,375.56 ","$10,061.85 ",,,,,,,,,,
Epping,,"$209,534.77 ",,"$39,144.34 ","$645,602.61 ","$206,772.15 ","$155,545.70 ",,,,,,,,,,
Epsom,,"$56,442.43 ",,$0.00 ,"$107,013.02 ","$45,153.94 ","$33,967.35 ",,,,,,,,,,
Exeter,,"$77,183.48 ",,$0.00 ,"$179,819.91 ","$61,746.78 ","$46,449.42 ",,,,,,,,,,
Exeter Regional Cooperative,,"$540,095.21 ",,"$426,879.88 ","$1,620,645.48 ","$858,956.05 ","$646,155.27 ",,,,,,,,,,
Fall Mountain Regional,,"$199,752.12 ",,$0.00 ,"$431,072.11 ","$159,801.69 ","$120,211.86 ",,,,,,,,,,
Farmington,,"$230,121.99 ",,$0.00 ,"$577,152.55 ","$184,097.59 ","$138,488.61 ",,,,,,,,,,
Franklin,,"$93,879.55 ",,$0.00 ,"$195,020.73 ","$75,103.64 ","$56,497.20 ",,,,,,,,,,
Fremont,,"$136,889.58 ",,$0.00 ,"$288,601.35 ","$109,511.66 ","$82,380.86 ",,,,,,,,,,
Gilford,,"$188,000.99 ",,$0.00 ,"$693,706.89 ","$150,400.79 ","$113,139.97 ",,,,,,,,,,
Gilmanton,,"$44,348.61 ",,$0.00 ,"$196,060.38 ","$35,478.89 ","$26,689.22 ",,,,,,,,,,
Goffstown,,"$254,402.32 ",,"$192,542.55 ","$649,227.23 ","$396,064.41 ","$297,942.02 ",,,,,,,,,,
Governor Wentworth Regional,,"$181,950.99 ",,$0.00 ,"$434,803.94 ","$145,560.79 ","$109,499.05 ",,,,,,,,,,
Grantham,,"$61,725.61 ",,$0.00 ,"$112,296.20 ","$49,380.49 ","$37,146.79 ",,,,,,,,,,
Hampstead,,"$283,170.54 ",,$0.00 ,"$586,594.08 ","$226,536.43 ","$170,413.50 ",,,,,,,,,,
Hanover,,"$156,505.87 ",,$0.00 ,"$409,358.82 ","$125,204.70 ","$94,186.05 ",,,,,,,,,,
Haverhill Cooperative,,"$239,908.30 ",,"$199,029.27 ","$742,361.11 ","$390,955.91 ","$294,099.12 ",,,,,,,,,,
Hillsboro-Deering Cooperative,,"$249,698.12 ",,"$215,892.39 ","$663,564.25 ","$415,650.88 ","$312,676.08 ",,,,,,,,,,
Hinsdale,,"$142,224.60 ",,$0.00 ,"$395,077.55 ","$113,779.68 ","$85,591.50 ",,,,,,,,,,
Holderness,,"$33,614.52 ",,$0.00 ,"$84,185.11 ","$26,891.62 ","$20,229.39 ",,,,,,,,,,
Hollis,,"$154,887.34 ",,$0.00 ,"$292,429.28 ","$123,909.87 ","$93,212.01 ",,,,,,,,,,
