,,,,,,,,
District  ID,District of Liability,Number of Students Reported,District Cost from 3.5 to 10 * ECPP,"# Students Over 
10*ECPP",District Cost Over 10 * ECPP,Total District Cost,Entitlement,Prorated Entitlement 70%
,State Wide Totals:,825," 32,636,348.90 ",85," 5,673,033.82 "," 83,919,212.13 "," 31,782,112.94 "," 22,317,664.79 "
9,Allenstown,," 118,168.87 ",," 143,920.50 "," 393,553.16 "," 238,455.60 "," 167,445.51 "
15,Alton,," 55,863.26 ",, -   ," 111,176.84 "," 44,690.61 "," 31,382.12 "
17,Amherst,," 468,301.87 ",, -   ," 1,187,378.39 "," 374,641.50 "," 263,076.38 "
19,Andover,," 70,790.79 ",, -   ," 231,615.02 "," 56,632.63 "," 39,767.90 "
29,Auburn,," 335,835.80 ",," 37,491.70 "," 760,522.55 "," 306,160.34 "," 214,988.34 "
33,Barrington,," 173,438.17 ",, -   ," 759,546.05 "," 138,750.54 "," 97,431.78 "
39,Bath,," 18,028.65 ",, -   ," 73,342.23 "," 14,422.92 "," 10,127.89 "
41,Bedford,," 847,701.29 ",," 80,835.13 "," 2,753,884.50 "," 758,996.16 "," 532,973.44 "
51,Berlin,," 9,497.46 ",, -   ," 64,811.04 "," 7,597.97 "," 5,335.36 "
57,Bow,," 556,500.56 ",," 48,208.82 "," 1,323,785.90 "," 493,409.27 "," 346,476.10 "
63,Brentwood,," 71,434.82 ",, -   ," 126,748.40 "," 57,147.86 "," 40,129.70 "
71,Brookline,," 92,575.54 ",, -   ," 203,202.70 "," 74,060.43 "," 52,005.85 "
79,Candia,," 69,234.87 ",, -   ," 290,489.18 "," 55,387.90 "," 38,893.84 "
93,Chester,," 145,424.84 ",," 22,522.02 "," 333,887.59 "," 138,861.89 "," 97,509.98 "
95,Chesterfield,," 15,465.28 ",, -   ," 126,092.44 "," 12,372.22 "," 8,687.88 "
99,Chichester,," 31,241.99 ",, -   ," 86,555.57 "," 24,993.59 "," 17,550.71 "
101,Claremont,," 513,056.25 ",," 2,006.87 "," 1,178,826.06 "," 412,451.87 "," 289,627.14 "
105,Colebrook,," 102,725.22 ",," 44,430.57 "," 202,469.37 "," 126,610.75 "," 88,907.12 "
111,Concord,," 294,175.88 ",, -   ," 771,161.46 "," 235,340.70 "," 165,258.20 "
112,Contoocook Valley,," 227,782.01 ",," 3,489.09 "," 507,838.99 "," 185,714.70 "," 130,410.41 "
113,Conway,," 296,527.27 ",," 29,692.28 "," 713,414.60 "," 266,914.10 "," 187,429.30 "
115,Cornish,," 56,035.04 ",, -   ," 111,348.62 "," 44,828.03 "," 31,478.62 "
117,Croydon,," 33,146.37 ",, -   ," 88,459.95 "," 26,517.10 "," 18,620.53 "
