,New Hampshire Department of Education,,,,,,,
,Division of Education Analytics and Resources,,,,,,,
,Office of School Finance,,,,,,,
,101 Pleasant St,,,,,,,
,"Concord, NH  03301-3860",,,,,,,
,"Telephone   603 271-3876, FAX 603 271-1953",,,,,,,
,,,,,,,,
,,,,,,,,
,Charter School Per Pupil Aid 2018-2019,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,FY2018-19,,,,,
,,,Total ,FY2018-19,FY2018-19,,,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid,,,
, ,,,,,,,
723,Academy of Science and Design Charter School,,526.50,"$3,710,277.09 ","$34,147.16 ",,,
,Capital City Public Charter School,,31.33,"$220,784.39 ","$23,095.22 ",,,
709,Cocheco Arts and Technology Charter Academy,,58.82,"$414,508.07 ","$37,845.36 ",,,
,Compass Classical Academy,,136.77,"$931,738.17 ","$132,247.95 ",,,
719,CSI Charter School,,40.25,"$283,644.17 ","$11,077.92 ",,,
,Gate City Charter School for the Arts,,166.44,"$1,138,006.49 ","$102,835.65 ",,,
,Granite State Arts Academy Charter School,,114.41,"$806,254.13 ","$35,148.51 ",,,
703,Great Bay Charter School,,146.12,"$1,029,716.41 ","$81,282.41 ",,,
,Kreiva Academy Public Charter School,,93.19,"$656,715.52 ","$68,945.28 ",,,
,Leaf Charter School,,42.93,"$302,530.29 ","$16,916.68 ",,,
,Ledyard Charter Academy,,34.02,"$239,740.98 ","$45,301.78 ",,,
,Making Community Connections (MC2) Charter School - Keene,,72.02,"$507,529.26 ","$44,626.22 ",,,
707,Making Community Connections (MC2) Charter School - Manchester,,79.02,"$556,858.68 ","$107,086.56 ",,,
,MicroSociety Academy Charter School of So. NH,,211.38,"$1,457,901.10 ","$67,217.51 ",,,
715,Mill Falls Charter School,,167.91,"$1,139,639.12 ","$61,413.16 ",,,
,Mountain Village Charter School,,87.53,"$616,829.16 ","$33,596.13 ",,,
,Next Charter School ,,67.00,"$472,153.02 ","$30,387.12 ",,,
705,North Country Charter Academy,,39.03,"$275,046.75 ","$48,815.66 ",,,
721,Pace Career Academy Charter School,,43.79,"$308,590.76 ","$55,176.91 ",,,
,Polaris Charter School,,111.22,"$783,774.01 ","$46,539.34 ",,,
,Robert Frost Charter School,,40.38,"$268,470.72 ","$41,923.64 ",,,
,Seacoast Charter School,,298.18,"$2,036,043.25 ","$59,977.22 ",,,
,Strong Foundations Charter School,,269.84,"$1,901,578.67 ","$121,951.22 ",,,
,Surry Village Charter School,,88.58,"$604,230.24 ","$37,071.80 ",,,
,The Birches Academy of Academics & Arts,,218.28,"$1,492,781.51 ","$33,284.93 ",,,
,The Founders Academy Charter School,,332.78,"$2,345,120.63 ","$85,189.38 ",,,
,Windham Academy Public Charter School,,91.63,"$556,347.75 ","$14,006.24 ",,,
,Virtual Learning Academy Charter School,,"1,626.93","$9,368,627.60 ","$58,109.59 ",,,
717,,,,,,,,
,Total,,"5,236.3","$34,425,437.94 ","$1,535,216.55 ",,,
, ,,,   ,,,,
,,,,,,,,
,Total Special Ed. Differentiated Aid to public school districts,,,,"$849,813.88 ",,,
,,,,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,
,,,,,,,,
,#175   14.00,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
