,New Hampshire Department of Education,,,,
,Division of Education Analytics and Resources,,,,
,Office of School Finance,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2752, FAX 603 271-1953",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2019-20,,,,
,,,,,
,,,,,
,,,,,
,,,FY2019-20,,
,,,Total ,FY2019-20,FY2019-20
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid
, ,,,,
723,Academy of Science and Design Charter School,,529.26,"$3,804,320.88 ","$21,979.25 "
709,Cocheco Arts and Technology Charter Academy,,41.11,"$295,498.68 ","$25,127.78 "
719,CSI Charter School,,39.46,"$283,638.48 ","$13,773.41 "
703,Great Bay Charter School,,155.04,"$1,114,427.52 ","$87,608.51 "
,Ledyard Charter Academy,,34.69,"$249,351.72 ","$46,512.68 "
707,Making Community Connections (MC2) Charter School - Manchester,,55.57,"$399,437.16 ","$73,223.04 "
715,Mill Falls Charter School,,167.94,"$1,162,665.90 ","$62,096.58 "
705,North Country Charter Academy,,46.81,"$336,470.28 ","$54,188.32 "
721,Pace Career Academy Charter School,,50.87,"$365,653.56 ","$58,225.12 "
,Polaris Charter School,,109.29,"$785,576.52 ","$51,216.74 "
,Robert Frost Charter School,,48.26,"$346,892.88 ","$52,680.35 "
,Seacoast Charter School,,296.79,"$2,133,326.52 ","$68,569.20 "
,Strong Foundations Charter School,,290.83,"$2,090,486.04 ","$134,595.52 "
,Surry Village Charter School,,87.33,"$627,728.04 ","$50,744.02 "
,Leaf Charter School,,64.95,"$466,860.60 ","$32,904.87 "
,The Birches Academy of Academics & Arts,,223.73,"$1,608,171.24 ","$32,817.97 "
,Next Charter School ,,73.75,"$530,115.00 ","$42,987.88 "
,The Founders Academy Charter School,,359.18,"$2,581,785.84 ","$98,895.64 "
,Gate City Charter School for the Arts,,165.03,"$1,186,235.64 ","$108,291.46 "
,Granite State Arts Academy Charter School,,107.87,"$775,369.56 ","$43,342.98 "
,Mountain Village Charter School,,102.63,"$737,704.44 ","$40,822.55 "
,Compass Classical Academy,,128.01,"$920,135.88 ","$120,615.67 "
,Making Community Connections (MC2) Charter School - Keene,,70.69,"$508,119.72 ","$41,274.06 "
,MicroSociety Academy Charter School of So. NH,,235.77,"$1,661,409.92 ","$62,633.74 "
,Kreiva Academy Public Charter School,,126.52,"$909,425.76 ","$112,165.94 "
,Capital City Public Charter School,,35.25,"$253,377.00 ","$37,316.62 "
,Windham Academy Public Charter School,,167.71,"$1,205,499.48 ","$29,810.28 "
,Spark Academy of Advanced Technologies,,24.5,"$176,106.00 ","$6,400.95 "
,Virtual Learning Academy Charter School,,"1,707.66","$10,030,180.08 ","$86,791.11 "
717,,,,,
,Total,,"5,546.50","$37,545,970.34 ","$1,697,612.24 "
, ,,,   ,
,Total Special Ed. Differentiated Aid to public school districts,,,,"$1,116,616.31 "
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,#175   14.00,,,,
