"SFY 2021
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)"
,Base Adequacy,,Differentiated Aid,,,,,,,,Total Calculated Cost of an Adequate Education,,,
,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,Receiving Special Education Services (SPED)2,,English Language Learners (ELL),,3rd Grader With A Nonproficient Reading Score (3rd Grade),,,,,
,ADM,"$3,708.78 ","F&R 
ADM ","$1,854.38 ","SPED 
ADM","$1,995.21 ","ELL
ADM",$725.63 ,"3rd Grade Reading
ADM",$725.63 ,,"$3,479.22 ","Cost of Adequacy
+
Additional Grant",
,"(ADM x $3,708.78)",,"(F&R ADM x $1,854.38)",,"(SPED ADM x $1,995.21)",,(ELL ADM x $725.63),,(3rd Grade ADM x $725.63),,,"(Pupil x $3,479.22)1",,
State Total,"6,509","$24,140,528 ",865,"$1,604,068 ",619,"$1,234,294 ",58,"$42,410 ",63,"$45,525 ","$27,066,824 ","$19,462,947 ","$46,529,771 ","$45,295,477 "
Academy of Science and Design Charter School,532,"1,973,256",14,"25,961",11,"21,431",4,"3,050", - , - ,"2,023,699","1,851,119","3,874,818","3,853,387"
Birches Academy of Academics & Arts,223,"827,688",18,"32,833",32,"64,800",2,"1,798",4,"2,790","929,909","776,458","1,706,366","1,641,566"
Cocheco Arts and Technology Charter Academy,37,"138,523",12,"21,996",4,"7,528", - , - , - , - ,"168,047","129,949","297,996","290,468"
Compass Classical Academy,140,"518,525",79,"146,119",45,"90,648", - , - , - , - ,"755,292","486,430","1,241,722","1,151,074"
CSI Charter School,28,"104,143",6,"10,486", - , - , - , - , - , - ,"114,628","97,696","212,325","212,325"
Founders Academy Charter School,360,"1,333,492",69,"127,232",30,"59,562",3,"2,119", - , - ,"1,522,405","1,250,954","2,773,358","2,713,796"
Gate City Charter School for the Arts,139,"515,928",40,"74,749",21,"41,425",3,"2,177",5,"3,628","637,907","483,994","1,121,902","1,080,476"
Granite State Arts Academy Charter School,104,"386,529",24,"44,652",13,"25,300", - , - , - , - ,"456,481","362,604","819,085","793,786"
Great Bay Charter School,143,"529,948",32,"60,221",52,"102,787", - , - , - , - ,"692,955","497,146","1,190,101","1,087,314"
Kreiva Academy Public Charter School,147,"544,709",83,"154,092",42,"84,616",4,"3,025", - , - ,"786,441","510,993","1,297,434","1,212,819"
Leaf Charter School,74,"273,634",13,"24,547",13,"26,680",1,726, - , - ,"325,587","256,697","582,284","555,604"
Ledyard Charter Academy,35,"128,101",24,"44,926",4,"8,957",1,726, - , - ,"182,710","120,172","302,882","293,925"
Making Community Connections (MC2) Charter School - Keene,46,"171,642",29,"53,652",15,"30,244",1,593, - , - ,"256,131","161,018","417,149","386,905"
Making Community Connections (MC2) Charter School - Manchester,54,"198,716",13,"23,908",16,"31,205",1,726, - , - ,"254,554","186,417","440,971","409,766"
MicroSociety Academy Charter School of So. NH,237,"880,798",35,"64,780",18,"36,681",9,"6,531",10,"7,256","996,045","826,280","1,822,325","1,785,645"
Mill Falls Charter School,167,"618,587",32,"59,140",32,"64,349",7,"4,987",1,726,"747,789","580,299","1,328,088","1,263,739"
Mountain Village Charter School,99,"368,727",14,"25,527",13,"26,669", - , - ,3,"2,177","423,099","345,904","769,003","742,335"
Next Charter School ,75,"277,046",24,"45,277",38,"75,818",1,726, - , - ,"398,866","259,898","658,764","582,946"
North Country Charter Academy,44,"162,778",27,"50,083",3,"5,792", - , - , - , - ,"218,654","152,703","371,357","365,564"
Northeast Woodland Chartered Public School,124,"458,331",18,"34,144",9,"18,769", - , - ,7,"5,428","516,671","429,962","946,633","927,865"
Pace Career Academy Charter School,65,"239,216",24,"44,103",20,"39,062", - , - , - , - ,"322,381","224,410","546,791","507,729"
Polaris Charter School,109,"405,963",22,"39,934",13,"26,426",5,"3,563",7,"5,282","481,169","380,835","862,004","835,578"
Robert Frost Charter School,39,"145,458",23,"41,973",2,"3,990", - , - , - , - ,"191,422","136,455","327,877","323,886"
Seacoast Charter School,299,"1,107,553",27,"50,492",46,"90,857",1,780,4,"2,903","1,252,584","1,038,999","2,291,584","2,200,727"
Spark Academy of Advanced Technologies,35,"129,436",2,"3,709",2,"3,990", - , - , - , - ,"137,136","121,425","258,560","254,570"
Strong Foundations Charter School,305,"1,130,510",69,"128,821",70,"140,330",11,"7,982",7,"5,079","1,412,722","1,060,536","2,473,258","2,332,928"
Surry Village Charter School,95,"350,665",29,"54,406",18,"35,294", - , - ,1,830,"441,195","328,960","770,155","734,861"
Virtual Learning Academy Charter School1,"2,513","9,320,391",45,"82,928",6,"12,434", - , - , - , - ,"9,415,753","5,560,123","14,975,875","14,963,442"
Windham Academy Public Charter School,243,"900,232",18,"33,379",29,"58,651",4,"2,903",13,"9,426","1,004,591","844,511","1,849,102","1,790,451"
"1 Virtual Learning Academy Charter School receives an additional grant amount of $2,212.49 per RSA 194-B:11, I(b)(1)(B).
2 Differential aid for special education is sent to the responsible school district.
",,,,,,,,,,,,,,
