,,,,,,,,,,,,,,
,"SFY 2024
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)",
,,Base Adequacy,,Differentiated Aid,,,,,,Total Calculated Cost of an Adequate Education,,,,
,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,Receiving Special Education Services (SPED)2,,English Language Learners (ELL),,,,,,
,,ADM,"$4,100.00 ","F&R 
ADM ","$2,300.00 ","SPED 
ADM","$2,100.00 ","ELL
ADM",$800.00 ,,"$4,900.00 ","Cost of Adequacy
+
Additional Grant",,
,,"(ADM x $4,100.00)",,"(F&R ADM x $2,300.00)",,"(SPED ADM x $2,100.00)",,(ELL ADM x $800.00),,,"(Pupil x $4,900.00)1",,,
,State Total,"6,940 "," $28,452,174 "," 1,121 "," $2,578,502 ", 843 ," $1,770,082 ", 106 ," $84,564 "," $32,885,323 "," $29,112,493 "," $61,997,816 "," $60,227,733 ",
,Academy of Science and Design Charter School, 633.92 ," 2,599,072.00 ", 21.71 ," 49,938.98 ", 17.83 ," 37,432.71 ", 8.93 ," 7,143.04 "," 2,693,586.73 "," 3,106,208.00 "," 5,799,794.73 "," 5,762,362.02 ",
,Arts Academy of New Hampshire Chartered Public High School, 107.54 ," 440,914.00 ", 18.26 ," 41,994.09 ", 16.98 ," 35,655.48 ", -   , -   ," 518,563.57 "," 526,946.00 "," 1,045,509.57 "," 1,009,854.09 ",
,Benjamin Franklin Academy, 45.72 ," 187,452.00 ", 7.08 ," 16,293.66 ", 5.25 ," 11,026.89 ", -   , -   ," 214,772.55 "," 224,028.00 "," 438,800.55 "," 427,773.66 ",
,Birches Academy of Academics & Arts, 233.24 ," 956,284.00 ", 23.73 ," 54,573.71 ", 29.36 ," 61,648.44 ", 9.00 ," 7,200.00 "," 1,079,706.15 "," 1,142,876.00 "," 2,222,582.15 "," 2,160,933.71 ",
,Coastal Waters, 36.05 ," 147,805.00 ", 13.15 ," 30,240.17 ", 7.69 ," 16,144.80 ", -   , -   ," 194,189.97 "," 176,645.00 "," 370,834.97 "," 354,690.17 ",
,Compass Classical Academy, 165.29 ," 677,689.00 ", 101.05 ," 232,406.26 ", 43.83 ," 92,048.88 ", 1.00 , 800.00 ," 1,002,944.14 "," 809,921.00 "," 1,812,865.14 "," 1,720,816.26 ",
,CSI Charter School, 46.88 ," 192,208.00 ", 6.93 ," 15,941.30 ", 12.67 ," 26,612.04 ", -   , -   ," 234,761.34 "," 229,712.00 "," 464,473.34 "," 437,861.30 ",
,Founders Academy Charter School, 384.78 ," 1,577,598.00 ", 67.85 ," 156,057.99 ", 39.41 ," 82,752.60 ", 4.40 ," 3,516.32 "," 1,819,924.91 "," 1,885,422.00 "," 3,705,346.91 "," 3,622,594.31 ",
,Gate City Charter School for the Arts, 143.46 ," 588,186.00 ", 58.86 ," 135,383.75 ", 28.85 ," 60,593.61 ", 1.00 , 800.00 ," 784,963.36 "," 702,954.00 "," 1,487,917.36 "," 1,427,323.75 ",
,Gathering Waters Charter School, 270.54 ," 1,109,214.00 ", 74.62 ," 171,617.03 ", 47.70 ," 100,161.18 ", 4.81 ," 3,845.60 "," 1,384,837.81 "," 1,325,646.00 "," 2,710,483.81 "," 2,610,322.63 ",
,Great Bay Charter School, 149.08 ," 611,228.00 ", 40.32 ," 92,744.97 ", 52.26 ," 109,751.04 ", 0.39 , 312.88 ," 814,036.89 "," 730,492.00 "," 1,544,528.89 "," 1,434,777.85 ",
,Heartwood Charter Schools, 61.59 ," 252,519.00 ", 23.63 ," 54,346.93 ", 13.53 ," 28,404.81 ", -   , -   ," 335,270.74 "," 301,791.00 "," 637,061.74 "," 608,656.93 ",
,Kreiva Academy Public Charter School, 139.80 ," 573,180.00 ", 102.70 ," 236,207.93 ", 42.16 ," 88,545.87 ", 1.23 , 985.92 ," 898,919.72 "," 685,020.00 "," 1,583,939.72 "," 1,495,393.85 ",
,Leaf Charter School, 55.08 ," 225,828.00 ", 12.35 ," 28,403.39 ", 8.07 ," 16,943.85 ", -   , -   ," 271,175.24 "," 269,892.00 "," 541,067.24 "," 524,123.39 ",
,Ledyard Charter Academy, 38.98 ," 159,818.00 ", 31.12 ," 71,581.06 ", 10.31 ," 21,640.92 ", -   , -   ," 253,039.98 "," 191,002.00 "," 444,041.98 "," 422,401.06 ",
,Lionheart, 268.99 ," 1,102,859.00 ", 36.70 ," 84,407.93 ", 24.80 ," 52,069.50 ", 1.00 , 800.00 ," 1,240,136.43 "," 1,318,051.00 "," 2,558,187.43 "," 2,506,117.93 ",
,Making Community Connections (MC2) Charter School - Manchester, 67.20 ," 275,520.00 ", 22.28 ," 51,243.77 ", 16.84 ," 35,364.00 ", -   , -   ," 362,127.77 "," 329,280.00 "," 691,407.77 "," 656,043.77 ",
,MicroSociety Academy Charter School of So. NH, 303.65 ," 1,244,965.00 ", 36.20 ," 83,262.76 ", 38.86 ," 81,611.04 ", 35.02 ," 28,015.52 "," 1,437,854.32 "," 1,487,885.00 "," 2,925,739.32 "," 2,844,128.28 ",
,Mill Falls Charter School, 167.68 ," 687,488.00 ", 31.00 ," 71,300.00 ", 30.92 ," 64,924.65 ", 10.00 ," 8,000.00 "," 831,712.65 "," 821,632.00 "," 1,653,344.65 "," 1,588,420.00 ",
,Mountain Village Charter School, 110.02 ," 451,082.00 ", 24.74 ," 56,910.28 ", 20.88 ," 43,854.09 ", -   , -   ," 551,846.37 "," 539,098.00 "," 1,090,944.37 "," 1,047,090.28 ",
,Next Charter School , 75.99 ," 311,559.00 ", 17.84 ," 41,022.80 ", 30.50 ," 64,039.71 ", -   , -   ," 416,621.51 "," 372,351.00 "," 788,972.51 "," 724,932.80 ",
,North Country Charter Academy, 27.77 ," 113,857.00 ", 15.63 ," 35,954.98 ", 4.25 ," 8,922.06 ", -   , -   ," 158,734.04 "," 136,073.00 "," 294,807.04 "," 285,884.98 ",
,Northeast Woodland Chartered Public School, 146.56 ," 600,896.00 ", 35.50 ," 81,658.05 ", 22.21 ," 46,630.71 ", -   , -   ," 729,184.76 "," 718,144.00 "," 1,447,328.76 "," 1,400,698.05 ",
,Polaris Charter School, 120.99 ," 496,059.00 ", 34.68 ," 79,774.35 ", 18.67 ," 39,215.82 ", 7.00 ," 5,600.00 "," 620,649.17 "," 592,851.00 "," 1,213,500.17 "," 1,174,284.35 ",
,River View Charter School(Claremont Learning Partnership), 15.33 ," 62,853.00 ", 9.62 ," 22,128.07 ", 4.44 ," 9,321.06 ", -   , -   ," 94,302.13 "," 75,117.00 "," 169,419.13 "," 160,098.07 ",
,Robert Frost Charter School, 30.07 ," 123,287.00 ", 18.16 ," 41,774.21 ", 6.08 ," 12,764.85 ", -   , -   ," 177,826.06 "," 147,343.00 "," 325,169.06 "," 312,404.21 ",
,Seacoast Charter School, 287.42 ," 1,178,422.00 ", 37.80 ," 86,945.29 ", 58.26 ," 122,342.85 ", 2.35 ," 1,879.04 "," 1,389,589.18 "," 1,408,358.00 "," 2,797,947.18 "," 2,675,604.33 ",
,Spark Academy of Advanced Technologies, 82.73 ," 339,193.00 ", 6.21 ," 14,274.03 ", 10.00 ," 21,000.00 ", 1.00 , 800.00 ," 375,267.03 "," 405,377.00 "," 780,644.03 "," 759,644.03 ",
,Strong Foundations Charter School, 338.79 ," 1,389,039.00 ", 74.72 ," 171,864.05 ", 83.37 ," 175,085.19 ", 12.00 ," 9,600.00 "," 1,745,588.24 "," 1,660,071.00 "," 3,405,659.24 "," 3,230,574.05 ",
,Surry Village Charter School, 92.56 ," 379,496.00 ", 25.70 ," 59,113.22 ", 26.72 ," 56,120.61 ", 1.00 , 800.00 ," 495,529.83 "," 453,544.00 "," 949,073.83 "," 892,953.22 ",
