,,"October 12, 2007",
New Hampshire Department of Education,,,
Division of Program Support,,,
Bureau of Data Management,,,
101 Pleasant St,,,
"Concord, NH  03301-3860",,,
"Telephone   603 271-2778, FAX 603 271-3875",,,
,,,
Charter School Per Pupil Aid 2006-2007,,,
,,,
Aid per student,"$3,598.00 ",,
,,,
,,,
,FY2006-07,,
,Total ,FY2007,
District,ADM-A,Per Pupil Aid,
 ,,,
Cocheco Arts and Technology Charter Academy,48.4,"$174,143.20 ",
Franklin Career Charter Academy,35.1,"$126,289.80 ",
Great Bay eLearning Charter School,75.0,"$269,850.00 ",
New Hampshire Equestrian Academy Charter School,20.8,"$74,838.40 ",
New Heights Charter Academy,4.0,"$14,392.00 ",
North Country Charter Academy,48.2,"$173,423.60 ",
Seacoast Charter School,59.2,"$213,001.60 ",
Surry Village Charter School,26.1,"$93,907.80 ",
,,,
Total,316.8,"$1,139,846.40 ",
 ,,   ,
,,,
,,,
,,,
,,,
,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,
,,,
,,,
