,,,,,"September 9, 2008",
,,,,,,
,,New Hampshire Department of Education,,,,
,,Division of Program Support,,,,
,,Bureau of Data Management,,,,
,,101 Pleasant St,,,,
,,"Concord, NH  03301-3860",,,,
,,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,,
,,,,,,
,,Charter School Per Pupil Aid 2007-2008,,,,
,,,,,,
,,,,,,
,,Aid per student,,"$3,706.00 ",,
,,,,,,
,,,,,,
,,,,FY2007-08,,
,,,,Total ,FY2008,
SAU,DIST,District,,ADM-A,Per Pupil Aid,
,, ,,,,
,725,Academy of Science and Design Charter School,,32.2,"$119,333.20 ",
,707,Cocheco Arts and Technology Charter Academy,,63.9,"$236,813.40 ",
,723,CSI Charter School,,26.7,"$98,950.20 ",
,701,Franklin Career Charter Academy,,28.1,"$104,138.60 ",
,709,Great Bay e-Learning Charter School,,98.7,"$365,782.20 ",
,715,New Hampshire Equestrian Academy Charter School,,19.8,"$73,378.80 ",
,703,North Country Charter Academy,,49.9,"$184,929.40 ",
,705,Seacoast Charter School,,50.6,"$187,523.60 ",
,721,Strong Foundations Charter School,,53.0,"$196,418.00 ",
,717,Surry Village Charter School,,45.3,"$167,881.80 ",
,,Virtual Learning Academy Charter School,,53.2,"$197,159.20 ",
,,,,,,
,,Total,,521.4,"$1,932,308.40 ",
,, ,,,   ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
