,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2008-2009,,,,
,,,,,
,,,,,
,,,,,
,,,FY2008-09,,
,,,Total ,FY2009,
,Charter School Name,,ADM-A,Per Pupil Aid,
, ,,,,
,"     Per pupil aid of $3,832",,,,
,CSI Charter School ,,37.18,"$142,473.76 ",
,Great Bay e-Learning Charter School ,,128.47,"$492,297.04 ",
,Ledyard Charter Academy ,,6.69,"$25,636.08 ",
,North Country Charter Academy ,,44.95,"$172,248.40 ",
,Virtual Learning Academy Charter School ,,250.18,"$958,689.76 ",
,,,,,
,"     Per pupil aid of $5,000 - HB1642FN",,,,
,Academy of Science and Design Charter School ,,57.66,"$288,300.00 ",
,Cocheco Arts and Technology Charter Academy  ,,58.34,"$291,700.00 ",
,New Hampshire Equestrian Academy Charter School ,,20.74,"$103,700.00 ",
,Seacoast Charter School ,,104.34,"$521,700.00 ",
,Strong Foundations Charter School ,,70.98,"$354,900.00 ",
,Surry Village Charter School ,,35.55,"$177,750.00 ",
,,,,,
,,,,,
,Total,,815.1,"$3,529,395.04 ",
, ,,,   ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
