New Hampshire Department of Education,,,,
Division of Program Support,,,,
Bureau of Data Management,,,,
101 Pleasant St,,,,
"Concord, NH  03301-3860",,,,
"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,
,,,,
Charter School Per Pupil Aid 2013-2014,,,,
,,,,
,,,,
,,,,
,,FY2013-14,,
,,Total ,FY2013-14,FY2014
Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid
 ,,,,
Academy of Science and Design Charter School,,442.08,"$2,430,688.46 ","$3,498.30 "
Cocheco Arts and Technology Charter Academy,,68.82,"$378,393.01 ","$26,272.23 "
CSI Charter School,,48.73,"$267,932.16 ","$17,613.94 "
Great Bay e-Learning Charter School,,154.00,"$846,738.20 ","$70,105.93 "
Ledyard Charter Academy,,42.33,"$232,743.04 ","$12,926.22 "
Making Community Connections (MC2) Charter School,,68.92,"$378,942.84 ","$55,305.08 "
Mill Falls Charter School,,118.66,"$610,973.42 ","$11,754.29 "
North Country Charter Academy,,42.53,"$233,842.70 ","$47,489.42 "
Pace Career Academy Charter School,,27.97," 142,287.95 ","$5,297.65 "
Polaris Charter School,,89.70,"$493,197.51 ","$1,471.57 "
Robert Frost Charter School,,71.68,"$380,124.94 ","$1,703.52 "
Seacoast Charter School,,262.06,"$1,389,844.30 ","$36,769.42 "
Strong Foundations Charter School,,222.30,"$1,222,272.09 ","$58,603.37 "
Surry Village Charter School,,89.91,"$475,111.50 ","$58,371.42 "
TEAMS Charter School,,23.04,"$126,680.83 ","$19,450.55 "
The Birches Academy of Academics & Arts,,167.50,"$920,965.25 ","$11,782.43 "
Next Charter School ,,30.00,"$164,949.00 ","$15,742.35 "
,,,,
Total,,"1,970.23","$10,695,687.21 ","$454,157.69 "
,,,,
Virtual Learning Academy Charter School,,"1,006.65","$5,578,948.36 ",Not Applicable
,,,,
Total Aid,,,"$16,274,635.57 ","$454,157.69 "
 ,,,   ,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,
,,,,
#175   14.00,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
