,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2009-2010,,,,
,,,,,
,,,,,
,,,,,
,,,FY2009-10,,
,,,Total ,FY2010,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,
, ,,,,
723,Academy of Science and Design Charter School,,107.14,"$583,913.00 ",
709,Cocheco Arts and Technology Charter Academy,,70.76,"$385,642.00 ",
719,CSI Charter School,,39.42,"$214,839.00 ",
703,Great Bay e-Learning Charter School,,149.24,"$813,358.00 ",
,Ledyard Charter Academy,,29.34,"$159,903.00 ",
725,NH Equestrian Academy,,21.55,"$117,447.50 ",
707,North Country Charter Academy,,45.89,"$250,100.50 ",
715,Seacoast Charter School,,146.50,"$798,425.00 ",
705,Strong Foundations Charter School,,92.38,"$503,471.00 ",
721,Surry Village Charter School,,62.98,"$343,241.00 ",
,Virtual Learning Academy Charter School,,250.18,"$2,281,097.50 ",
717,,,,,
,Total,,"1,015.4","$6,451,437.50 ",
, ,,,   ,
,Differentiated Aid - Free and Reduced ,,,,
,,,,,
,Charter School Name,,,Total Aid,
,,,,,
,Cocheco Arts and Technology Charter Academy,,,$193.95 ,
,CSI Charter School,,,"$1,034.40 ",
,Great Bay e-Learning Charter School,,,"$106,743.97 ",
,Ledyard Charter Academy,,,$930.96 ,
,North Country Charter Academy,,,"$118,763.32 ",
,Seacoast Charter School,,,"$5,383.19 ",
,Strong Foundations Charter School,,,"$4,331.55 ",
,Surry Village Charter School,,,$155.16 ,
,,,,,
,Total,,,"$237,536.50 ",
,,,,,
,,,,,
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,#175                    14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
