,,,"December 12, 2007",,
New Hampshire Department of Education,,,,,
Division of Career Technology and Adult Learning,,,,,
Bureau of Career Development,,,,,
,,,,,
 2006-07 CTE Tuiton and Transportation Distribution,,,,,
,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,
State Total," 5,805,007.31 "," 727,068.50 "," 6,532,075.81 ",,
Bath," 15,998.25 ", 952.00 ," 16,950.25 ",,
Benton," 13,420.50 "," 1,428.00 "," 14,848.50 ",,
Berlin," 34,116.59 ", -   ," 34,116.59 ",,
Bow, -   ," 5,265.12 "," 5,265.12 ",,
Claremont," 5,439.24 "," 7,492.80 "," 12,932.04 ",,
Columbia, -   ," 3,275.22 "," 3,275.22 ",,
Concord," 752,050.46 "," 1,118.40 "," 753,168.86 ",,
Contoocook Valley," 87,982.95 "," 5,992.96 "," 93,975.91 ",,
Dover," 283,930.57 "," 35,100.00 "," 319,030.57 ",,
Dresden," 25,650.00 "," 1,008.00 "," 26,658.00 ",,
Epping, -   ," 18,926.08 "," 18,926.08 ",,
Exeter Region Cooperative," 1,226,331.49 ", -   ," 1,226,331.49 ",,
Fall Mountain Regional," 105,000.00 "," 16,651.60 "," 121,651.60 ",,
Farmington, -   ," 9,752.64 "," 9,752.64 ",,
Franklin, -   ," 11,416.96 "," 11,416.96 ",,
Gilford, -   ," 3,028.48 "," 3,028.48 ",,
Goffstown, -   ," 35,963.84 "," 35,963.84 ",,
Gorham Randolph Shelburne Coop, -   ," 3,085.60 "," 3,085.60 ",,
Governor Wentworth Regional," 99,286.09 ", -   ," 99,286.09 ",,
Haverhill Cooperative," 124,941.75 "," 10,480.16 "," 135,421.91 ",,
Hillsboro-Deering Cooperative, -   ," 13,075.04 "," 13,075.04 ",,
Hinsdale," 49,431.50 "," 2,101.60 "," 51,533.10 ",,
Hollis/Brookline Cooperative, -   ," 5,734.72 "," 5,734.72 ",,
Hopkinton, -   ," 4,265.60 "," 4,265.60 ",,
Hudson," 130,476.06 "," 2,018.40 "," 132,494.46 ",,
Inter-Lakes Cooperative, -   ," 14,349.28 "," 14,349.28 ",,
Jaffrey-Rindge Cooperative, -   ," 15,202.08 "," 15,202.08 ",,
John Stark Regional, -   ," 26,436.80 "," 26,436.80 ",,
Kearsarge Regional, -   ," 7,828.48 "," 7,828.48 ",,
Keene," 119,636.11 ", -   ," 119,636.11 ",,
Laconia," 519,658.67 "," 1,375.20 "," 521,033.87 ", ,
Lebanon," 294,284.93 "," 11,503.68 "," 305,788.61 ", ,
Lincoln-Woodstock Cooperative, -   ," 8,487.04 "," 8,487.04 ", ,
Lisbon Regional, -   ," 4,614.72 "," 4,614.72 ", ,
Litchfield, -   ," 4,932.48 "," 4,932.48 ", ,
Littleton," 121,776.28 "," 2,412.96 "," 124,189.24 ", ,
Londonderry, -   ," 29,434.88 "," 29,434.88 ",,
Lyme," 26,047.00 ", -   ," 26,047.00 ",,
Manchester," 481,252.22 ", -   ," 481,252.22 ", ,
Mascenic Regional," 34,856.04 "," 11,290.88 "," 46,146.92 ", ,
Mascoma Valley," 215,142.32 "," 19,579.20 "," 234,721.52 ", ,
Merrimack, -   ," 6,593.28 "," 6,593.28 ", ,
Merrimack Valley, -   ," 15,984.64 "," 15,984.64 ", ,
Milford," 157,456.38 "," 3,361.28 "," 160,817.66 ", ,
Milton, -   ," 7,725.08 "," 7,725.08 ", ,
Monadnock Regional, -   ," 4,744.00 "," 4,744.00 ", ,
Moultonboro, -   ," 5,728.32 "," 5,728.32 ", ,
Nashua," 130,872.06 "," 3,713.92 "," 134,585.98 ", ,
Newfound Area, -   ," 12,948.48 "," 12,948.48 ",,
Newmarket, -   ," 12,901.44 "," 12,901.44 ",,
Newport," 51,081.60 "," 5,881.60 "," 56,963.20 ",,
Northumberland, -   ," 13,970.72 "," 13,970.72 ",,
Oyster River Cooperative, -   ," 4,244.48 "," 4,244.48 ",,
Pelham, -   ," 31,206.36 "," 31,206.36 ",,
Pembroke," 1,481.62 "," 10,884.48 "," 12,366.10 ",,
Pemi-Baker Regional," 88,022.68 ", -   ," 88,022.68 ",,
Piermont," 37,683.75 ", 952.00 ," 38,635.75 ",,
Pittsfield, -   ," 7,483.20 "," 7,483.20 ",,
Profile, -   ," 3,205.12 "," 3,205.12 ",,
Raymond, -   ," 20,144.32 "," 20,144.32 ",,
Rochester," 66,523.05 "," 35,100.00 "," 101,623.05 ",,
Salem," 110,440.12 "," 2,406.72 "," 112,846.84 ",,
Sanborn Regional," 8,691.75 "," 16,300.48 "," 24,992.23 ",   ,
Shaker Regional, -   ," 7,136.00 "," 7,136.00 ",,
Somersworth," 103,478.46 "," 35,100.00 "," 138,578.46 ",,
