New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
School Year 2009-2010 CTE Tuition and Transportation Distribution,,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
State Total,"6,259,043.29 ","692,004.23 "," 6,951,047.52 ",,,,,
Bath," 8,952.94 ", 589.91 ," 9,542.85 ",,,,,
Bedford, -   ," 7,021.83 "," 7,021.83 ",,,,,
Benton," 4,476.47 ", 287.17 ," 4,763.64 ",,,,,
Berlin," 35,813.60 ", -   ," 35,813.60 ",,,,,
Bow, -   ," 6,350.81 "," 6,350.81 ",,,,,
Claremont," 9,119.54 "," 4,382.11 "," 13,501.65 ",,,,,
Colebrook, -   ," 2,440.57 "," 2,440.57 ",,,,,
Concord," 764,878.99 ", -   ," 764,878.99 ",,,,,
Contoocook Valley," 77,438.86 "," 3,003.74 "," 80,442.60 ",,,,,
Dover," 241,559.59 "," 61,380.26 "," 302,939.85 ",,,,,
Dresden," 11,543.58 ", 425.57 ," 11,969.15 ",,,,,
Epping, -   ," 8,981.94 "," 8,981.94 ",,,,,
Exeter Region Cooperative," 1,179,622.50 ", -   ," 1,179,622.50 ",,,,,
Fall Mountain Regional," 188,743.07 "," 19,407.61 "," 208,150.68 ",,,,,
Farmington, -   ," 4,928.92 "," 4,928.92 ",,,,,
Franklin, -   ," 5,197.99 "," 5,197.99 ",,,,,
Gilford, -   ," 3,899.29 "," 3,899.29 ",,,,,
Goffstown, -   ," 17,789.03 "," 17,789.03 ",,,,,
Gorham Randolph Shelburne Coop, -   ," 3,094.50 "," 3,094.50 ",,,,,
Governor Wentworth Regional," 136,759.51 ",," 136,759.51 ",,,,,
Haverhill Cooperative," 75,264.82 "," 4,575.51 "," 79,840.33 ",,,,,
Hillsboro-Deering Cooperative, -   ," 18,511.09 "," 18,511.09 ",,,,,
Hinsdale," 75,450.17 "," 2,270.74 "," 77,720.91 ",,,,,
Hollis/Brookline Cooperative, -   ," 3,086.65 "," 3,086.65 ",,,,,
Hopkinton, -   ," 3,277.61 "," 3,277.61 ",,,,,
Hudson," 158,355.30 "," 2,173.09 "," 160,528.39 ",,,,,
Inter-Lakes Cooperative, -   ," 9,908.14 "," 9,908.14 ",,,,,
Jaffrey-Rindge Cooperative, -   ," 10,122.39 "," 10,122.39 ",,,,,
John Stark Regional, -   ," 14,395.92 "," 14,395.92 ",,,,,
Kearsarge Regional, -   ," 39,777.28 "," 39,777.28 ",,,,,
Keene," 155,133.40 ", -   ," 155,133.40 ",,,,,
Laconia," 566,158.42 ", -   ," 566,158.42 ", ,,,,
Lebanon," 293,178.38 "," 9,816.88 "," 302,995.26 ", ,,,,
Lincoln-Woodstock Cooperative, -   ," 2,136.63 "," 2,136.63 ", ,,,,
Lisbon Regional, -   ," 18,597.06 "," 18,597.06 ", ,,,,
Litchfield, -   ," 2,831.68 "," 2,831.68 ", ,,,,
Littleton," 217,633.16 "," 19,961.06 "," 237,594.22 ", ,,,,
Londonderry, -   ," 20,064.73 "," 20,064.73 ",,,,,
Lyme," 16,510.68 ", -   ," 16,510.68 ",,,,,
Manchester," 546,982.94 ", -   ," 546,982.94 ", ,,,,
Mascenic Regional," 54,948.64 "," 7,226.70 "," 62,175.34 ", ,,,,
Mascoma Valley," 213,490.24 "," 18,200.50 "," 231,690.74 ", ,,,,
Merrimack, -   ," 7,184.39 "," 7,184.39 ", ,,,,
Merrimack Valley, -   ," 14,745.64 "," 14,745.64 ", ,,,,
Milford," 131,822.56 "," 1,375.45 "," 133,198.01 ", ,,,,
Milton, -   ," 1,730.49 "," 1,730.49 ", ,,,,
Monadnock Regional, -   ," 4,959.66 "," 4,959.66 ", ,,,,
Moultonboro, -   ," 3,003.74 "," 3,003.74 ", ,,,,
Nashua," 136,299.93 "," 3,036.74 "," 139,336.67 ", ,,,,
Newfound Area, -   ," 8,257.89 "," 8,257.89 ",,,,,
Newmarket, -   ," 9,524.89 "," 9,524.89 ",,,,,
Newport," 67,742.44 "," 1,996.11 "," 69,738.55 ",,,,,
Northumberland, -   ," 33,268.44 "," 33,268.44 ",,,,,
Oyster River Cooperative, -   ," 3,400.17 "," 3,400.17 ",,,,,
Pelham, -   ," 11,526.45 "," 11,526.45 ",,,,,
Pembroke, -   ," 13,742.79 "," 13,742.79 ",,,,,
Pemi-Baker Regional," 73,375.89 ", -   ," 73,375.89 ",,,,,
Piermont," 24,620.57 ", -   ," 24,620.57 ",,,,,
Pittsfield, -   ," 2,994.16 "," 2,994.16 ",,,,,
Profile, -   ," 4,200.74 "," 4,200.74 ",,,,,
Raymond, -   ," 18,503.64 "," 18,503.64 ",,,,,
Rivendell Instersate," 11,191.17 ", 455.24 ," 11,646.41 ",,,,,
Rochester," 49,646.84 "," 30,690.13 "," 80,336.97 ",,,,,
Salem," 106,587.06 "," 2,392.13 "," 108,979.19 ",,,,,
Sanborn Regional, -   ," 20,208.58 "," 20,208.58 ",   ,,,,
Shaker Regional, -   ," 7,976.44 "," 7,976.44 ",,,,,
Somersworth," 98,171.31 "," 30,690.13 "," 128,861.44 ",,,,,
Souhegan Cooperative, -   ," 1,159.52 "," 1,159.52 ",,,,,
South Hampton," 48,006.35 "," 2,169.64 "," 50,175.99 ",,,,,
Sunapee, -   , 848.21 , 848.21 ,,,,,
Timberlane Regional, -   ," 12,085.09 "," 12,085.09 ",,,,,
Warren," 17,905.87 "," 1,121.01 "," 19,026.88 ",,,,,
White Mountains Regional," 56,096.48 "," 26,674.96 "," 82,771.44 ",,,,,
Wilton-Lyndeboro Cooperative, -   ," 1,640.80 "," 1,640.80 ",,,,,
Winnacunnet Cooperative, -   ," 12,622.98 "," 12,622.98 ",,,,,
Winnisquam Regional," 46,151.26 "," 5,300.33 "," 51,451.59 ",,,,,
Pinkerton Academy," 79,323.10 "," 26,761.55 "," 106,084.65 ", ,,,,
Prospect Mountain, -   ," 7,736.91 "," 7,736.91 ",,,,,
,,,,,,,,
Tuition & Transportation  Alternative Education,,,,,,,,
,,,,,,,,
Concord," 10,853.44 ", -   ," 10,853.44 ",,,,,
Exeter Region Cooperative," 161,044.15 ", -   ," 161,044.15 ",,,,,
Hinsdale," 8,758.41 ", -   ," 8,758.41 ",,,,,
Laconia," 77,085.88 ", -   ," 77,085.88 ",,,,,
Litchfield," 15,407.44 ", -   ," 15,407.44 ",,,,,
Newport," 5,872.92 ", 180.98 ," 6,053.90 ",,,,,
Rochester," 1,065.42 ", -   ," 1,065.42 ",,,,,
Shaker Regional, -   , 838.36 , 838.36 ,,,,,
Winnisquam Regional, -   , 884.94 , 884.94 ,,,,,
,,,,,,,,
 ,   ,   ,   ,,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
