New Hampshire Department of Education,,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,,
Bureau of Career Development,,,,,,,,,
,,,,,,,,,
School Year 2011-2012 CTE Tuition and Transportation Distribution,,,,,,,,,
,,,,,,,   ,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,,
State Total," 6,380,581.28 "," 519,418.72 "," 6,900,000.00 ",,,,,,
Bath," 8,940.05 ", 709.57 ," 9,649.62 ",,,,,,
Bedford, -   ," 8,298.21 "," 8,298.21 ",,,,,,
Benton," 8,940.05 ", 707.49 ," 9,647.54 ",,,,,,
Berlin," 63,084.61 ", -   ," 63,084.61 ",,,,,,
Bow, -   ," 4,574.35 "," 4,574.35 ",,,,,,
Claremont," 8,925.82 "," 7,414.85 "," 16,340.67 ",,,,   ,,
Colebrook," 7,989.79 "," 2,634.94 "," 10,624.73 ",,,,,,
Concord*," 893,126.27 ", -   ," 893,126.27 ",,,,,,
Contoocook Valley," 45,517.80 "," 2,842.57 "," 48,360.37 ",,,,,,
Dover," 105,642.00 "," 1,678.31 "," 107,320.31 ",,,,,,
Dresden," 14,782.61 ", 632.00 ," 15,414.61 ",,,,,,
Epping, -   ," 8,144.52 "," 8,144.52 ",,,,,,
Exeter Region Cooperative," 1,057,142.79 ", 219.60 ," 1,057,362.39 ",,,,,,
Fall Mountain Regional," 200,313.39 "," 18,656.34 "," 218,969.73 ",,,,,,
Farmington, -   ," 10,808.83 "," 10,808.83 ",,,,,,
Franklin, -   ," 7,204.50 "," 7,204.50 ",,,,,,
Gilford, -   ," 6,704.80 "," 6,704.80 ",,,,,,
Goffstown, -   ," 17,953.64 "," 17,953.64 ",,,,,,
Gorham Randolph Shelburne Coop, -   ," 3,345.94 "," 3,345.94 ",,,,,,
Governor Wentworth Regional," 214,081.16 ", -   ," 214,081.16 ",,,,,,
Haverhill Cooperative," 151,086.78 "," 11,743.10 "," 162,829.88 ",,,,,,
Hillsboro-Deering Cooperative, -   ," 17,490.96 "," 17,490.96 ",,,,,,
Hinsdale," 31,983.42 "," 1,647.03 "," 33,630.45 ",,,,,,
Hollis/Brookline Cooperative, -   ," 4,320.91 "," 4,320.91 ",,,,,,
Hopkinton, -   ," 2,430.65 "," 2,430.65 ",,,,,,
Hudson," 157,056.64 "," 2,551.15 "," 159,607.79 ",,,,,,
Inter-Lakes Cooperative, -   ," 8,897.34 "," 8,897.34 ",,,,,,
Jaffrey-Rindge Cooperative, -   ," 6,747.73 "," 6,747.73 ",,,,,,
John Stark Regional, -   ," 11,847.64 "," 11,847.64 ",,,,,,
Kearsarge Regional, -   ," 10,927.73 "," 10,927.73 ",,,,,,
Keene," 161,584.30 ", -   ," 161,584.30 ",,,,,,
Laconia," 711,117.97 ", 690.25 ," 711,808.22 ", ,,,,,
Lebanon," 277,322.11 "," 9,250.97 "," 286,573.08 ", ,,,,,
Lincoln-Woodstock Cooperative, -   ," 4,715.11 "," 4,715.11 ", ,,,,,
Lisbon Regional, -   ," 7,282.06 "," 7,282.06 ", ,,,,,
Litchfield, -   ," 1,833.41 "," 1,833.41 ", ,,,,,
Littleton*," 274,843.37 "," 1,088.13 "," 275,931.50 ", ,,,,,
Londonderry, -   ," 21,328.93 "," 21,328.93 ",,,,,,
Lyme," 36,726.19 ", -   ," 36,726.19 ",,,,,,
Manchester," 543,862.80 ", -   ," 543,862.80 ", ,,,,,
Mascenic Regional," 23,207.91 "," 4,078.69 "," 27,286.60 ", , , ,,,
Mascoma Valley," 180,059.77 "," 17,127.24 "," 197,187.01 ", ,,,,,
Merrimack, -   ," 10,481.65 "," 10,481.65 ", ,,,,,
