New Hampshire Department of Education,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,
Bureau of Career Development,,,,,,,
,,,,,,,
School Year 2013-14 CTE Tuition and Transportation Distribution,,,,,,,
,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,
State Total," 6,317,978.75 "," 709,021.25 "," 7,027,000.00 ",,,,
Bath," 7,217.99 "," 1,068.96 "," 8,286.95 ",,   ,,
Bedford, -   ," 6,829.00 "," 6,829.00 ",, ,   ,   
Benton," 5,774.40 ", 864.96 ," 6,639.36 ",, ,   ,   
Berlin," 70,255.18 ", -   ," 70,255.18 ",,, ,   
Bow, -   ," 8,734.80 "," 8,734.80 ",,,,   
Claremont," 5,774.39 "," 5,394.00 "," 11,168.39 ",,,,
Colebrook," 5,774.40 ", 637.20 ," 6,411.60 ",,,,
Concord*," 1,027,863.73 ", -   ," 1,027,863.73 ",,,,
Contoocook Valley," 21,172.54 "," 2,362.60 "," 23,535.14 ",,,,
Dover," 227,127.76 "," 3,028.80 "," 230,156.56 ",,,,
Dresden," 17,323.19 "," 1,203.60 "," 18,526.79 ",,,,
Epping, -   ," 10,464.00 "," 10,464.00 ",,,,
Exeter Region Cooperative," 1,059,602.57 ", -   ," 1,059,602.57 ",,,,
Fall Mountain Regional," 158,796.16 "," 28,637.20 "," 187,433.36 ",,,,
Farmington, -   ," 19,271.20 "," 19,271.20 ",,,,
Franklin, -   ," 7,797.80 "," 7,797.80 ",,,,
Gilford, -   ," 7,993.60 "," 7,993.60 ",,,,
Goffstown, -   ," 21,778.00 "," 21,778.00 ",,,,
Gorham Randolph Shelburne Coop, -   ," 5,153.40 "," 5,153.40 ",,,,
Governor Wentworth Regional," 226,645.31 ", -   ," 226,645.31 ",,,,
Haverhill Cooperative," 98,165.30 "," 13,409.60 "," 111,574.90 ",,,,
Hillsboro-Deering Cooperative, -   ," 17,309.80 "," 17,309.80 ",,,,
Hinsdale," 17,323.19 "," 1,222.40 "," 18,545.59 ",,,,
Hollis/Brookline Cooperative, -   ," 8,958.70 "," 8,958.70 ",,,,
Hopkinton, -   ," 5,087.00 "," 5,087.00 ",,,,
Hudson," 121,262.30 "," 1,902.00 "," 123,164.30 ",,,,
Inter-Lakes Cooperative, -   ," 13,874.00 "," 13,874.00 ",,,,
Jaffrey-Rindge Cooperative, -   ," 3,444.00 "," 3,444.00 ",,,,
John Stark Regional, -   ," 13,065.00 "," 13,065.00 ",,,,
Kearsarge Regional, -   ," 31,510.60 "," 31,510.60 ",,,,
Keene," 207,748.76 ", -   ," 207,748.76 ",,,,
Laconia," 650,102.37 ", 648.00 ," 650,750.37 ", ,,,
Lebanon," 179,006.98 "," 10,055.52 "," 189,062.50 ", ,,,
Lincoln-Woodstock Cooperative, -   ," 12,086.40 "," 12,086.40 ", ,,,
Lisbon Regional, -   ," 10,104.60 "," 10,104.60 ", ,,,
Litchfield, -   ," 2,617.30 "," 2,617.30 ", ,,,
Littleton*," 228,399.35 "," 5,874.40 "," 234,273.75 ", ,,,
Londonderry, -   ," 27,733.20 "," 27,733.20 ",,,,
Lyme," 10,105.19 ", -   ," 10,105.19 ",,,,
Manchester," 674,163.55 ", -   ," 674,163.55 ", ,,,
Mascenic Regional," 47,638.76 "," 1,740.00 "," 49,378.76 ", ,,,
Mascoma Valley," 116,931.80 "," 15,619.20 "," 132,551.00 ", ,,,
Merrimack, -   ," 7,315.20 "," 7,315.20 ", ,,,
Merrimack Valley, -   ," 19,414.80 "," 19,414.80 ", ,,,
Milford," 77,954.34 "," 10,664.50 "," 88,618.84 ", ,,,
Milton, -   ," 7,235.60 "," 7,235.60 ", ,,,
