,, , ,,,,
New Hampshire Department of Education,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,
Bureau of Career Development,,,,,,,
,,,,,,,
School Year 2014-15 CTE Tuition and Transportation Distribution,,,,,,,
,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,
State Total," 6,716,379.69 "," 683,620.31 "," 7,400,000.00 ",,,,
Bath," 3,214.46 ", 424.32 ," 3,638.78 ",,   ,,
Bedford, -   ," 7,937.00 "," 7,937.00 ",, ,   ,   
Benton," 13,929.38 "," 1,868.64 "," 15,798.02 ",, ,   ,   
Berlin," 87,862.43 ", -   ," 87,862.43 ",,, ,   
Bow, -   ," 8,084.28 "," 8,084.28 ",,,,   
Claremont," 4,821.69 "," 4,566.00 "," 9,387.69 ",,,,
Colebrook," 3,214.46 ", 281.60 ," 3,496.06 ",,,,
Concord*," 1,083,780.52 ", -   ," 1,083,780.52 ",,,,
Contoocook Valley," 27,858.60 "," 11,618.39 "," 39,476.99 ",,,,
Dover," 158,580.39 "," 2,680.80 "," 161,261.19 ",,,,
Dresden," 22,501.22 "," 1,406.40 "," 23,907.62 ",,,,
Epping, -   ," 12,376.00 "," 12,376.00 ",,,,
Exeter Region Cooperative," 1,096,134.44 ", -   ," 1,096,134.44 ",,,,
Fall Mountain Regional," 92,683.96 "," 23,541.80 "," 116,225.76 ",,,,
Farmington, -   ," 16,483.20 "," 16,483.20 ",,,,
Franklin, -   ," 9,529.80 "," 9,529.80 ",,,,
Gilford, -   ," 9,410.14 "," 9,410.14 ",,,,
Goffstown, -   ," 22,576.00 "," 22,576.00 ",,,,
Gorham Randolph Shelburne Coop, -   ," 5,871.60 "," 5,871.60 ",,,,
Governor Wentworth Regional," 237,334.97 ", -   ," 237,334.97 ",,,,
Haverhill Cooperative," 116,256.56 "," 15,645.44 "," 131,902.00 ",,,,
Hillsboro-Deering Cooperative, -   ," 9,038.50 "," 9,038.50 ",,,,
Hinsdale," 27,322.91 ", -   ," 27,322.91 ",,,,
Hollis/Brookline Cooperative, -   ," 5,926.60 "," 5,926.60 ",,,,
Hopkinton, -   ," 4,488.28 "," 4,488.28 ",,,,
Hudson," 109,827.48 "," 2,201.00 "," 112,028.48 ",,,,
Inter-Lakes Cooperative, -   ," 10,106.80 "," 10,106.80 ",,,,
Jaffrey-Rindge Cooperative, -   ," 4,958.00 "," 4,958.00 ",,,,
John Stark Regional, -   ," 16,223.66 "," 16,223.66 ",,,,
Kearsarge Regional, -   ," 26,070.20 "," 26,070.20 ",,,,
Keene," 220,127.82 "," 2,260.80 "," 222,388.62 ",,,,
Laconia," 819,154.58 ", -   ," 819,154.58 ", ,,,
Lebanon," 172,510.09 "," 9,199.76 "," 181,709.85 ", ,,,
Lincoln-Woodstock Cooperative, -   ," 11,052.80 "," 11,052.80 ", ,,,
Lisbon Regional, -   ," 12,938.20 "," 12,938.20 ", ,,,
Litchfield, -   ," 3,860.16 "," 3,860.16 ", ,,,
Littleton*," 285,497.15 "," 6,168.40 "," 291,665.55 ", ,,,
Londonderry, -   ," 23,146.60 "," 23,146.60 ",,,,
Lyme," 7,500.46 ", -   ," 7,500.46 ",,,,
Manchester," 694,329.23 ", -   ," 694,329.23 ", ,,,
Mascenic Regional," 67,504.30 "," 1,392.00 "," 68,896.30 ", ,,,
Mascoma Valley," 158,580.55 "," 19,557.20 "," 178,137.75 ", ,,,
Merrimack, -   ," 8,697.50 "," 8,697.50 ", ,,,
Merrimack Valley, -   ," 22,544.50 "," 22,544.50 ", ,,,
Milford," 80,361.49 "," 5,569.25 "," 85,930.74 ", ,,,
Milton, -   ," 6,209.80 "," 6,209.80 ", ,,,
Monadnock Regional, -   ," 8,301.00 "," 8,301.00 ", ,,,
Moultonboro, -   ," 6,231.60 "," 6,231.60 ", ,,,
Nashua," 198,763.86 "," 2,194.00 "," 200,957.86 ", ,,,
Newfound Area, -   ," 8,142.00 "," 8,142.00 ",,,,
Newmarket, -   ," 14,713.60 "," 14,713.60 ",,,,
Newport," 40,716.76 "," 1,452.00 "," 42,168.76 ",,,,
Northumberland, -   ," 18,726.60 "," 18,726.60 ",,,,
Oyster River Cooperative, -   ," 3,123.00 "," 3,123.00 ",,,,
Pelham, -   ," 18,476.80 "," 18,476.80 ",,,,
Pembroke,," 18,393.69 "," 18,393.69 ",,,,
Pemi-Baker Regional," 57,324.74 ", -   ," 57,324.74 ",,,,
Piermont," 19,286.76 "," 2,741.76 "," 22,028.52 ",,,,
Pittsfield, -   ," 6,534.00 "," 6,534.00 ",,,,
Portsmouth, -   , 376.80 , 376.80 ,,,,
Profile, -   ," 5,089.40 "," 5,089.40 ",,,,
Raymond, -   ," 29,187.20 "," 29,187.20 ",,,,
Rivendell ," 6,428.92 ", 464.10 ," 6,893.02 ",,,,
Rochester," 24,108.61 "," 8,321.60 "," 32,430.21 ",,, ,
Salem," 242,156.82 "," 6,080.00 "," 248,236.82 ",,, ,
Sanborn Regional, -   ," 25,954.20 "," 25,954.20 ",   ,, ,
Shaker Regional, -   ," 20,018.60 "," 20,018.60 ",,, ,
Somersworth," 34,823.69 "," 3,296.00 "," 38,119.69 ",,,,
Souhegan Cooperative, -   ," 5,614.21 "," 5,614.21 ",,,,
South Hampton," 34,119.00 ", 697.20 ," 34,816.20 ",,,,
Sunapee, -   , 650.40 , 650.40 ,,,,
Timberlane Regional, -   ," 37,740.60 "," 37,740.60 ",,,,
Warren," 16,072.30 "," 2,287.52 "," 18,359.82 ",,,,
White Mountains Regional*," 97,514.59 "," 8,884.40 "," 106,398.99 ",,,,
Wilton-Lyndeboro Cooperative, -   ," 2,018.00 "," 2,018.00 ",,,,
Windham, -   ," 7,674.20 "," 7,674.20 ",,,,
Winnacunnet Cooperative, -   ," 13,045.20 "," 13,045.20 ",,,,
Winnisquam Regional," 34,287.84 "," 16,242.00 "," 50,529.84 ",,,,
Pinkerton Academy," 265,729.25 ", -   ," 265,729.25 ", ,,,
Prospect Mountain, -   ," 12,204.00 "," 12,204.00 ",,,,
," 6,662,222.28 ",,,,,,
,,   ,,,,,
Tuition & Transportation  Alternative Education,,   ,,,,,
,,,,,,,
Franklin, -   , 197.60 , 197.60 ,,,,
Hudson, -   , 218.01 ,,,,,
Gilford, -   , 306.40 , 306.40 ,,,,
Interlakes, -   , 475.20 , 475.20 ,,,,
Litchfield," 3,000.00 ", -   ," 3,000.00 ",,,,
Londonderry," 11,812.50 ", -   ," 11,812.50 ",,,,
Laconia," 34,287.68 ", -   ," 34,287.68 ",,,,
Nashua," 3,450.00 ", -   ," 3,450.00 ",,,,
Pinkerton Academy," 1,607.23 ", -   ," 1,607.23 ",,,,
Shaker Regional, -   , -   , -   ,,,,
Winnisquam Regional, -   ," 1,636.00 "," 1,636.00 ",,,,
,   ,   ,   ,,,,
*Tuition Payment includes tuition differential,,,,,,,
 ,   ,   ,   ,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,
,,,,,,,
,   ,,,,,,
,,, ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
