,, , ,,,,,
New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
School Year 2015-16 CTE Tuition and Transportation Distribution,,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
State Total," 6,709,591.77 "," 690,408.23 "," 7,400,000.00 ",,,,,
Bath," 6,006.22 ", 796.96 ," 6,803.18 ",,,,,
Bedford, -   ," 7,098.00 "," 7,098.00 ",,,,,
Benton," 11,466.30 "," 1,425.28 "," 12,891.58 ",,,,,
Berlin," 82,994.39 ", -   ," 82,994.39 ",,,,,
Bow, -   ," 6,790.80 "," 6,790.80 ",,,,,
Claremont," 7,098.30 "," 4,604.00 "," 11,702.30 ",,,,,
Colebrook," 3,276.09 ", 281.60 ," 3,557.69 ",,,,,
Concord*," 1,159,416.48 ", -   ," 1,159,416.48 ",,,,,
Contoocook Valley," 16,926.39 "," 8,529.90 "," 25,456.29 ",,,,,
Dover," 180,731.01 "," 2,100.00 "," 182,831.01 ",,,,,
Dresden," 15,288.51 ", 940.80 ," 16,229.31 ",,,,,
Epping, -   ," 11,558.40 "," 11,558.40 ",,,,,
Exeter Region Cooperative," 1,126,429.06 ", -   ," 1,126,429.06 ",,,,,
Fall Mountain Regional," 82,448.43 "," 20,654.00 "," 103,102.43 ",,,,,
Farmington, -   ," 16,224.80 "," 16,224.80 ",,,,,
Franklin, -   ," 8,456.00 "," 8,456.00 ",,,,,
Gilford, -   ," 10,984.80 "," 10,984.80 ",,,,,
Goffstown, -   ," 21,642.00 "," 21,642.00 ",,,,,
Gorham Randolph Shelburne Coop, -   ," 5,405.40 "," 5,405.40 ",,,,,
Governor Wentworth Regional," 228,781.20 ", -   ," 228,781.20 ",,,,,
Haverhill Cooperative," 138,141.89 "," 17,919.36 "," 156,061.25 ",,,,,
Hillsboro-Deering Cooperative, -   ," 16,178.20 "," 16,178.20 ",,,,,
Hinsdale," 15,834.47 ", -   ," 15,834.47 ",,,,,
Hollis/Brookline Cooperative, -   ," 9,498.10 "," 9,498.10 ",,,,,
Hopkinton, -   ," 3,726.00 "," 3,726.00 ",,,,,
Hudson," 135,957.07 "," 2,580.10 "," 138,537.17 ",,,,,
Inter-Lakes Cooperative, -   ," 13,608.20 "," 13,608.20 ",,,,,
Jaffrey-Rindge Cooperative, -   ," 4,260.00 "," 4,260.00 ",,,,,
John Stark Regional, -   ," 17,560.50 "," 17,560.50 ",,,,,
Kearsarge Regional, -   ," 37,950.80 "," 37,950.80 ",,,,,
Keene," 239,154.60 ", -   ," 239,154.60 ",,,,,
Laconia," 736,029.21 ", -   ," 736,029.21 ", ,,,,
Lebanon," 198,203.20 "," 9,913.42 "," 208,116.62 ", ,,,,
Lincoln-Woodstock Cooperative, -   ," 16,278.40 "," 16,278.40 ", ,,,,
Lisbon Regional, -   ," 10,870.20 "," 10,870.20 ", ,,,,
Litchfield, -   ," 9,315.89 "," 9,315.89 ", ,,,,
Littleton*," 284,242.86 "," 5,986.40 "," 290,229.26 ", ,,,,
Londonderry, -   ," 20,137.20 "," 20,137.20 ",,,,,
Lyme," 6,552.17 ", -   ," 6,552.17 ",,,,,
Manchester," 624,643.11 ", -   ," 624,643.11 ", ,,,,
Mascenic Regional," 79,718.31 "," 2,632.50 "," 82,350.81 ", ,,,,
Mascoma Valley," 182,915.01 "," 28,221.00 "," 211,136.01 ", ,,,,
Merrimack, -   ," 10,887.00 "," 10,887.00 ", ,,,,
Merrimack Valley, -   ," 24,251.70 "," 24,251.70 ", ,,,,
Milford," 63,883.67 "," 3,763.50 "," 67,647.17 ", ,,,,
Milton, -   ," 3,540.00 "," 3,540.00 ", ,,,,
Monadnock Regional, -   ," 8,558.00 "," 8,558.00 ", ,,,,
Moultonboro, -   ," 6,894.00 "," 6,894.00 ", ,,,,
Nashua," 188,376.58 "," 3,118.50 "," 191,495.08 ", ,,,,
Newfound Area, -   ," 5,598.00 "," 5,598.00 ",,,,,
Newmarket, -   ," 17,155.20 "," 17,155.20 ",,,,,
Newport," 47,503.41 "," 1,328.00 "," 48,831.41 ",,,,,
Northumberland, -   ," 15,122.00 "," 15,122.00 ",,,,,
Oyster River Cooperative, -   ," 2,550.60 "," 2,550.60 ",,,,,
Pelham, -   ," 15,870.60 "," 15,870.60 ",,,,,
Pembroke,," 12,034.20 "," 12,034.20 ",,,,,
Pemi-Baker Regional," 38,767.23 ", -   ," 38,767.23 ",,,,,
Piermont," 13,104.34 "," 1,330.08 "," 14,434.42 ",,,,,
Pittsfield, -   ," 3,585.00 "," 3,585.00 ",,,,,
Portsmouth, -   , -   , -   ,,,,,
Profile, -   ," 5,430.60 "," 5,430.60 ",,,,,
Raymond, -   ," 18,589.20 "," 18,589.20 ",,,,,
Rivendell ," 8,736.34 ", 440.00 ," 9,176.34 ",,,,,
Rochester," 19,656.68 "," 10,007.20 "," 29,663.88 ",,,,,
Salem," 217,313.92 "," 9,675.00 "," 226,988.92 ",,,,,
Sanborn Regional, -   ," 28,249.20 "," 28,249.20 ",   ,,,,
Shaker Regional, -   ," 8,442.00 "," 8,442.00 ",,,,,
Somersworth," 20,202.64 "," 4,696.90 "," 24,899.54 ",,,,,
Souhegan Cooperative, -   ," 4,525.70 "," 4,525.70 ",,,,,
South Hampton," 6,552.17 ", 509.60 ," 7,061.77 ",,,,,
Sunapee, -   ," 1,716.40 "," 1,716.40 ",,,,,
Timberlane Regional, -   ," 36,967.60 "," 36,967.60 ",,,,,
Warren," 7,098.30 ", 998.24 ," 8,096.54 ",,,,,
White Mountains Regional*," 121,646.80 "," 13,008.80 "," 134,655.60 ",,,,,
Wilton-Lyndeboro Cooperative, -   ," 3,077.00 "," 3,077.00 ",,,,,
Windham, -   ," 8,154.20 "," 8,154.20 ",,,,,
Winnacunnet Cooperative, -   ," 14,537.60 "," 14,537.60 ",,,,,
Winnisquam Regional," 37,674.99 "," 17,826.00 "," 55,500.99 ",,,,,
Pinkerton Academy," 303,584.40 ", 745.00 ," 304,329.40 ", ,,,,
Prospect Mountain, -   ," 10,588.80 "," 10,588.80 ",,,,,
,   ,,,,,,,
,,   ,,,,,,
Tuition & Transportation  Alternative Education,,   ,,,,,,
,,,,,,,,
Franklin, -   , 431.60 , 431.60 ,,,,,
Hudson, -   , -   ,,,,,,
Gilford, -   , 244.00 , 244.00 ,,,,,
Interlakes, -   , 618.20 , 618.20 ,,,,,
Litchfield," 2,437.50 ", -   ," 2,437.50 ",,,,,
Londonderry," 13,500.00 ", -   ," 13,500.00 ",,,,,
Laconia," 32,761.02 ", -   ," 32,761.02 ",,,,,
Nashua," 3,787.50 ", -   ," 3,787.50 ",,,,,
Pinkerton Academy, 750.00 , -   , 750.00 ,,,,,
Shaker Regional, -   , -   , -   ,,,,,
Winnisquam Regional, -   ," 1,214.00 "," 1,214.00 ",,,,,
,   ,   ,   ,,,,,
*Tuition Payment includes tuition differential,,   ,   ,,,,,
 ,   ,   ,   ,,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,,
,,,,,,,,
,   ,   ,   ,,,,,
,   ,,   ,,,,,
,,,,,,,,
,   ,,,,,,,
