,, , ,,,,,
New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
FY18 CTE Tuition and Transportation Distribution,,,,,,,,
(School Year 2016-17),,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
State Total," 6,868,292.27 "," 677,707.73 "," 7,546,000.00 ",,   ,,,
Bath," 3,346.68 ", 456.96 ," 3,803.64 ",,   ,,,
Bedford, -   ," 5,281.00 "," 5,281.00 ",,,,,
Benton," 8,924.58 "," 1,109.76 "," 10,034.34 ",,,,,
Berlin," 70,280.68 ", -   ," 70,280.68 ",,,,,
Bow, -   ," 9,558.60 "," 9,558.60 ",,,,,
Claremont," 13,386.70 "," 3,459.00 "," 16,845.70 ",,,,,
Columbia," 10,040.03 ", 819.20 ," 10,859.23 ",,,,,
Concord*," 1,269,192.44 ", -   ," 1,269,192.44 ",,,,,
Contoocook Valley," 8,366.69 "," 6,166.60 "," 14,533.29 ",,,,,
Dover," 244,307.92 "," 2,700.00 "," 247,007.92 ",,,,,
Dresden," 10,040.03 ", 630.00 ," 10,670.03 ",,,,,
Epping, -   ," 11,993.60 "," 11,993.60 ",,,,,
Exeter Region Cooperative," 1,176,358.49 ", -   ," 1,176,358.49 ",,,,,
Fall Mountain Regional," 72,511.73 "," 17,209.20 "," 89,720.93 ",,,,,
Farmington, -   ," 11,988.40 "," 11,988.40 ",,,,,
Franklin, -   ," 7,613.40 "," 7,613.40 ",,,,,
Gilford, -   ," 10,430.80 "," 10,430.80 ",,,,,
Goffstown, -   ," 23,344.00 "," 23,344.00 ",,,,,
Gorham Randolph Shelburne Coop, -   ," 4,397.40 "," 4,397.40 ",,,,,
Governor Wentworth Regional," 185,183.39 ", -   ," 185,183.39 ",,,,,
Haverhill Cooperative," 137,213.83 "," 18,229.44 "," 155,443.27 ",,,,,
Hillsboro-Deering Cooperative, -   ," 18,745.00 "," 18,745.00 ",,,,,
Hinsdale," 23,426.72 ", -   ," 23,426.72 ",,,,,
Hollis/Brookline Cooperative, -   ," 10,452.50 "," 10,452.50 ",,,,,
Hopkinton, -   ," 4,975.00 "," 4,975.00 ",,,,,
Hudson," 169,007.23 "," 2,244.40 "," 171,251.63 ",,,,,
Inter-Lakes Cooperative, -   ," 13,877.80 "," 13,877.80 ",,,,,
Jaffrey-Rindge Cooperative, -   ," 4,219.40 "," 4,219.40 ",,,,,
John Stark Regional, -   ," 15,210.00 "," 15,210.00 ",,,,,
Kearsarge Regional, -   ," 36,767.00 "," 36,767.00 ",,,,,
Keene," 182,394.93 "," 2,061.60 "," 184,456.53 ",,,,,
Laconia," 737,385.37 ", 388.00 ," 737,773.37 ", ,,,,
