,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
State Total,"527,360,567","363,653,009","891,013,576","921,443,751","47,893,278","363,594,112","622,219,580","550,614,487","27,622,118","578,236,605"
,,,,,,,,115%,,
Acworth,"438,012","215,123","653,135","595,909",0,"220,224","375,685","375,685","57,226","432,911 "
Albany,"483,886","226,124","710,010","659,050",0,"238,867","420,183","420,183","50,960","471,143 "
Alexandria,"693,151","484,965","1,178,116","1,334,087",0,"467,430","866,657","797,124",0,"797,124 "
Allenstown,"4,012,756","662,977","4,675,733","3,638,038","1,402,040","643,043","4,397,035","4,397,035",0,"4,397,035 "
Alstead,"1,363,535","415,255","1,778,790","1,496,125",0,"405,228","1,090,897","1,090,897","282,665","1,373,562 "
Alton,0,"3,449,876","3,449,876","3,832,731",0,"3,600,436","232,295",0,0,0 
Amherst,"3,641,010","3,949,800","7,590,810","8,677,513",0,"3,762,836","4,914,677","4,187,162",0,"4,187,162 "
Andover,"715,467","636,142","1,351,609","1,432,417",0,"609,720","822,697","822,697",0,"822,697 "
Antrim,"2,532,436","601,397","3,133,833","2,517,469","628,513","612,906","2,533,076","2,533,076",0,"2,533,076 "
Ashland,"649,974","525,694","1,175,668","1,291,451",0,"567,277","724,174","724,174",0,"724,174 "
Atkinson,"910,814","2,179,898","3,090,712","3,950,800",0,"2,225,314","1,725,486","1,047,436",0,"1,047,436 "
Auburn,"1,623,460","1,533,602","3,157,062","3,508,438",0,"1,606,865","1,901,573","1,866,979",0,"1,866,979 "
Barnstead,"2,413,019","1,213,152","3,626,171","4,014,252",0,"1,187,751","2,826,501","2,774,972",0,"2,774,972 "
Barrington,"3,413,322","1,959,528","5,372,850","6,319,050",0,"2,102,217","4,216,833","3,925,320",0,"3,925,320 "
