FY 22 Special Education Aid School Year 2020-2021,,,,,,,
District of Liability,Number of Students Reported,Sum of District Liability,Sum of District Cost from 3.5 to 10 * ECPP,Sum of # Students Over ,Sum of District Cost Over 10 * ECPP,Sum of District Cost,Sum of Entitlement
State Totals,763,"$43,702,860.97 ","$33,183,709.93 ",71,"$5,250,281.97 ","$82,085,907.63 ","$31,797,249.91 "
Allenstown,,"$213,711.73 ","$288,266.41 ",,"$60,120.96 ","$562,099.10 ","$290,734.09 "
Alton,,"$59,217.97 ","$63,902.81 ",, $-   ,"$123,120.78 ","$51,122.25 "
Amherst,,"$482,531.70 ","$310,893.15 ",, $-   ,"$793,424.85 ","$248,714.52 "
Andover,,"$177,653.91 ","$119,029.90 ",, $-   ,"$296,683.81 ","$95,223.92 "
Auburn,,"$217,347.71 ","$231,402.90 ",, $-   ,"$448,750.62 ","$185,122.32 "
Barnstead,,"$236,871.88 ","$172,841.94 ",, $-   ,"$409,713.82 ","$138,273.55 "
Barrington,,"$355,307.81 ","$146,764.67 ",, $-   ,"$502,072.48 ","$117,411.74 "
Bartlett,,"$59,217.97 ","$109,976.23 ",,"$69,964.75 ","$239,158.95 ","$157,945.73 "
Bedford,,"$2,191,064.84 ","$1,093,604.40 ",,"$172,634.55 ","$3,457,303.79 ","$1,047,518.07 "
Bow,,"$296,089.84 ","$371,901.14 ",,"$214,778.03 ","$882,769.01 ","$512,298.94 "
Brookline,,"$118,435.94 ","$188,881.11 ",, $-   ,"$307,317.05 ","$151,104.89 "
Candia,,"$296,089.84 ","$188,782.52 ",,"$35,754.35 ","$520,626.71 ","$186,780.37 "
Chester,,"$177,653.91 ","$147,352.72 ",, $-   ,"$325,006.63 ","$117,882.18 "
Chesterfield,,"$59,217.97 ","$6,266.11 ",, $-   ,"$65,484.08 ","$5,012.89 "
Chichester,,"$118,435.94 ","$72,845.41 ",, $-   ,"$191,281.35 ","$58,276.33 "
Claremont,,"$806,110.52 ","$880,287.76 ",,"$104,644.30 ","$1,791,042.58 ","$808,874.51 "
Colebrook,,"$59,217.97 ","$46,153.40 ",, $-   ,"$105,371.37 ","$36,922.72 "
Concord,,"$812,511.99 ","$646,300.14 ",,"$123,523.74 ","$1,575,798.70 ","$640,563.85 "
Contoocook Valley,,"$236,871.88 ","$146,305.83 ",, $-   ,"$383,177.71 ","$117,044.66 "
Conway,,"$177,653.91 ","$125,491.11 ",,"$23,763.84 ","$326,908.86 ","$124,156.73 "
Deerfield,,"$177,653.91 ","$203,213.91 ",, $-   ,"$380,867.82 ","$162,571.13 "
Derry Cooperative,,"$1,065,923.44 ","$353,303.56 ",, $-   ,"$1,419,227.00 ","$282,642.85 "
