 ,,,,,,,,,
FY'24 Special Education School Year 2022-2023,,,,,,,,,
,,,,,,,,,
,Districts ,Sum of Number of Students Reported,Sum of District Liability for CAP,Sum of District Cost from 3.5 to 10 * ECPP,"Sum of # Students Over 
10*ECPP",Sum of District Cost Over 10 * ECPP,Sum of District Cost,Sum of Entitlement,  Prorated at 87.038%
,Grand Total,762.5," $50,835,941.05 "," $39,972,973.11 ",68," $6,989,574.36 "," $97,798,488.52 "," $38,967,952.85 "," $33,917,000.00 "
,Allenstown,," $133,238.56 "," $59,931.64 ",, $-   ," $193,170.20 "," $47,945.31 "," $41,730.73 "
,Alton,," $70,083.48 "," $50,344.02 ",, $-   ," $120,427.50 "," $40,275.21 "," $35,054.82 "
,Amherst,," $532,954.25 "," $308,289.44 ",, $-   ," $841,243.69 "," $246,631.55 "," $214,663.63 "
,Andover,," $66,619.28 "," $123,721.52 ",," $4,475.20 "," $194,816.00 "," $103,452.42 "," $90,043.11 "
,Auburn,," $344,161.87 "," $259,951.99 ",, $-   ," $604,113.86 "," $207,961.59 "," $181,006.00 "
,Barnstead,," $133,238.56 "," $113,219.93 ",, $-   ," $246,458.49 "," $90,575.94 "," $78,835.66 "
,Barrington,," $66,619.28 "," $54,762.42 ",, $-   ," $121,381.70 "," $43,809.94 "," $38,131.37 "
,Bartlett,," $66,619.28 "," $114,614.94 ",, $-   ," $181,234.22 "," $91,691.95 "," $79,807.01 "
,Bedford,," $2,864,629.09 "," $1,616,435.84 ",," $510,586.55 "," $4,991,651.48 "," $1,803,735.22 "," $1,569,938.45 "
,Benton,," $66,619.28 "," $7,780.72 ",, $-   ," $74,400.00 "," $6,224.58 "," $5,417.76 "
,Berlin,," $133,238.56 "," $5,095.48 ",, $-   ," $138,334.04 "," $4,076.38 "," $3,548.01 "
,Bow,," $199,857.84 "," $334,038.73 ",," $221,000.84 "," $754,897.41 "," $488,231.82 "," $424,948.13 "
,Brookline,," $206,812.90 "," $332,565.66 ",," $100,058.64 "," $639,437.19 "," $366,111.17 "," $318,656.52 "
,Campton,," $47,399.62 "," $39,511.73 ",, $-   ," $86,911.35 "," $31,609.39 "," $27,512.24 "
,Candia,," $333,096.41 "," $170,246.19 ",," $179,589.68 "," $682,932.28 "," $315,786.63 "," $274,854.96 "
,Chester,," $333,096.41 "," $191,950.07 ",, $-   ," $525,046.48 "," $153,560.06 "," $133,655.89 "
,Chesterfield,," $66,619.28 "," $68,179.42 ",, $-   ," $134,798.70 "," $54,543.54 "," $47,473.71 "
,Chichester,," $199,857.84 "," $220,903.90 ",, $-   ," $420,761.74 "," $176,723.12 "," $153,816.60 "
,Claremont,," $1,065,908.50 "," $704,975.74 ",," $87,721.25 "," $1,858,605.49 "," $651,701.84 "," $567,229.47 "
