,,"April 25, 2025",,,,
,New Hampshire Department of Education,,,,,
,Bureau of School Finance,,,,,
,"25 Hall Street, Concord, NH 03301",,,,,
,Telephone 731-6514,,,,,
,,,,,,
, Allocation For Special Education ADM-R In ,,,,,
,Adequate Education Aid,,,,,
,For FY2025,,,,,
,,,,,,
,,Allocation for Special Education,,,,
Loc ID,District Name,Pupils for Adequacy Aid,,,,
,,,,,,
5,Albany," 35,711.85 ",,,,
9,Allenstown," 226,143.36 ",,,,
15,Alton," 293,077.01 ",,,,
17,Amherst," 483,028.07 ",,,,
19,Andover," 135,766.17 ",,,,
23,Ashland," 68,714.93 ",,,,
29,Auburn," 249,594.19 ",,,,
31,Barnstead," 313,977.36 ",,,,
33,Barrington," 605,743.03 ",,,,
35,Bartlett," 93,162.65 ",,,,
39,Bath," 46,542.88 ",,,,
41,Bedford," 1,330,644.46 ",,,,
47,Benton," 19,278.00 ",,,,
51,Berlin," 426,538.39 ",,,,
53,Bethlehem," 53,665.24 ",,,,
57,Bow," 481,532.74 ",,,,
63,Brentwood," 130,637.58 ",,,,
71,Brookline," 231,689.00 ",,,,
75,Campton," 120,415.96 ",,,,
79,Candia," 127,185.75 ",,,,
91,Chatham," 22,383.90 ",,,,
93,Chester," 289,451.89 ",,,,
95,Chesterfield," 96,119.68 ",,,,
99,Chichester," 95,641.37 ",,,,
101,Claremont," 809,684.78 ",,,,
103,Clarksville," 5,331.22 ",,,,
105,Colebrook," 101,032.36 ",,,,
107,Columbia," 26,157.46 ",,,,
111,Concord," 1,566,789.25 ",,,,
112,Con Val Reg.," 903,293.41 ",,,,
113,Conway," 417,101.81 ",,,,
114,Coos, -   ,,,,
115,Cornish," 54,318.98 ",,,,
117,Croydon," 34,304.34 ",,,,
127,Deerfield," 287,555.36 ",,,,
131,Derry," 2,184,273.01 ",,,,
141,Dover," 1,500,872.63 ",,,,
142,Dresden," 102,815.79 ",,,,
147,Dummer," 12,852.00 ",,,,
149,Dunbarton," 178,264.52 ",,,,
153,East Kingston," 66,402.00 ",,,,
159,Eaton," 11,721.45 ",,,,
162,Ellsworth," 2,142.00 ",,,,
165,Epping," 353,811.92 ",,,,
167,Epsom," 242,016.23 ",,,,
171,Errol," 4,284.00 ",,,,
172,Exeter Reg Coop," 959,433.50 ",,,,
173,Exeter," 314,830.30 ",,,,
174,Fall Mountain Reg," 620,076.02 ",,,,
175,Farmington," 329,964.60 ",,,,
185,Franklin," 608,960.10 ",,,,
187,Freedom," 67,849.99 ",,,,
189,Fremont," 241,669.65 ",,,,
191,Gilford," 288,395.88 ",,,,
195,Gilmanton," 137,514.04 ",,,,
199,Goffstown," 995,395.97 ",,,,
203,G-R-S Coop," 155,434.87 ",,,,
204,Goshen," 37,521.41 ",,,,
208,Governor Wentworth Reg.," 743,112.07 ",,,,
211,Grantham," 110,601.53 ",,,,
215,Greenland," 180,866.20 ",,,,
222,Hale's Location, -   ,,,,
223,Hampstead," 560,776.46 ",,,,
225,Hampton," 367,153.37 ",,,,
227,Hampton Falls," 87,808.72 ",,,,
233,Hanover," 193,859.57 ",,,,
235,Harrisville," 27,882.63 ",,,,
236,Hart's Location, -   ,,,,
238,Haverhill," 245,323.26 ",,,,
245,Henniker," 188,442.24 ",,,,
247,Hill," 43,658.24 ",,,,
251,Hillsboro-Deering Coop," 463,973.27 ",,,,
255,Hinsdale," 270,903.67 ",,,,
257,Holderness," 53,666.31 ",,,,
259,Hollis," 238,715.83 ",,,,
260,Hollis-Brookline Coop," 314,832.23 ",,,,
261,Hooksett," 811,363.47 ",,,,
263,Hopkinton," 365,242.27 ",,,,
267,Hudson," 1,042,822.20 ",,,,
269,Inter-Lakes Coop," 348,517.97 ",,,,
271,Jackson," 39,567.45 ",,,,
274,Jaffrey-Rindge Coop," 519,620.71 ",,,,
275,John Stark Regional," 228,212.75 ",,,,
276,Kearsarge Regional," 571,553.29 ",,,,
279,Keene," 1,049,111.76 ",,,,
281,Kensington," 58,520.94 ",,,,
285,Laconia," 870,835.24 ",,,,
288,Lafayette Regional," 32,130.00 ",,,,
291,Landaff," 10,710.00 ",,,,
295,Lebanon," 516,943.64 ",,,,
299,Lempster," 61,964.42 ",,,,
305,Lincoln-Woodstock Coop," 113,761.83 ",,,,
306,Lisbon Regional," 132,339.40 ",,,,
315,Litchfield," 482,884.98 ",,,,
317,Littleton," 275,868.39 ",,,,
319,Londonderry," 1,633,114.35 ",,,,
327,Lyme," 96,328.74 ",,,,
333,Madison," 86,214.64 ",,,,
335,Manchester," 5,520,577.67 ",,,,
339,Marlborough," 105,963.67 ",,,,
341,Marlow," 40,352.07 ",,,,
342,Mascenic Regional," 285,441.64 ",,,,
343,Mascoma Valley," 497,384.82 ",,,,
345,Mason," 44,982.00 ",,,,
351,Merrimack," 1,562,816.69 ",,,,
352,Merrimack Valley," 1,148,415.53 ",,,,
353,Middleton," 95,844.22 ",,,,
355,Milan," 33,733.07 ",,,,
357,Milford," 797,891.14 ",,,,
359,Milton," 252,724.51 ",,,,
363,Monadnock Regional," 643,504.13 ",,,,
365,Monroe," 68,544.00 ",,,,
367,Mont Vernon," 103,988.96 ",,,,
369,Moultonborough," 185,115.28 ",,,,
371,Nashua," 4,310,128.54 ",,,,
375,Nelson," 15,697.65 ",,,,
377,New Boston," 369,414.68 ",,,,
381,New Castle," 6,426.00 ",,,,
387,Newfields," 58,832.17 ",,,,
388,Newfound Area," 398,914.30 ",,,,
391,Newington," 21,305.83 ",,,,
399,Newmarket," 415,446.26 ",,,,
401,Newport," 388,516.60 ",,,,
405,North Hampton," 126,582.13 ",,,,
407,Northumberland," 173,627.74 ",,,,
411,Northwood," 245,609.22 ",,,,
413,Nottingham," 203,088.16 ",,,,
423,Oyster River Coop," 712,599.28 ",,,,
425,Pelham," 612,464.42 ",,,,
427,Pembroke," 457,727.84 ",,,,
428,Pemi-Baker Coop," 166,859.45 ",,,,
435,Piermont," 29,225.66 ",,,,
437,Pittsburg," 23,032.71 ",,,,
439,Pittsfield," 311,656.72 ",,,,
441,Plainfield," 104,235.08 ",,,,
447,Plymouth," 190,080.65 ",,,,
449,Portsmouth," 892,449.95 ",,,,
450,Profile Regional," 64,785.65 ",,,,
453,Raymond," 462,973.81 ",,,,
461,Rochester," 1,743,099.41 ",,,,
463,Rollinsford," 66,317.82 ",,,,
467,Rumney," 51,537.38 ",,,,
471,Rye," 131,215.49 ",,,,
473,Salem," 1,269,193.05 ",,,,
476,Sanborn Regional," 649,801.19 ",,,,
485,Seabrook," 260,891.10 ",,,,
486,Shaker Regional," 507,722.76 ",,,,
491,Somersworth," 688,343.91 ",,,,
493,Souhegan Coop," 269,887.50 ",,,,
495,South Hampton," 44,309.84 ",,,,
499,Stark," 10,870.01 ",,,,
501,Stewartstown," 37,711.41 ",,,,
503,Stoddard," 70,935.97 ",,,,
507,Strafford," 238,799.37 ",,,,
509,Stratford," 50,571.33 ",,,,
511,Stratham," 177,786.00 ",,,,
513,Sullivan," 37,056.60 ",,,,
515,Sunapee," 128,047.26 ",,,,
519,Surry," 24,847.20 ",,,,
525,Tamworth," 150,511.70 ",,,,
531,Thornton," 77,461.36 ",,,,
534,Timberlane Regional," 1,409,524.03 ",,,,
539,Unity," 73,826.17 ",,,,
543,Wakefield," 250,339.40 ",,,,
549,Warren," 32,453.44 ",,,,
551,Washington," 37,406.82 ",,,,
553,Waterville Valley," 15,640.24 ",,,,
555,Weare," 482,950.74 ",,,,
559,Wentworth," 32,305.86 ",,,,
563,Westmoreland," 68,778.33 ",,,,
568,White Mountains Regional," 504,979.50 ",,,,
572,Wilton-Lyndeborough Coop," 252,793.06 ",,,,
573,Winchester," 243,437.01 ",,,,
575,Windham," 1,079,261.27 ",,,,
579,Windsor," 8,568.00 ",,,,
581,Winnacunnet Coop," 445,802.90 ",,,,
582,Winnisquam Regional," 554,551.38 ",,,,
417,Orford," 45,103.24 ",,,,
,Total," 67,411,519.30 ",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
